"","DWpM","WWP","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4",0.0169566750308956,-0.345332589312542,0.18581736834684,16.3446662819256,0.0197011213599214,0.170987804915771,-0.514501630794265,-0.0352716563556689,-0.343468395844794
"SL18-OI-5",-0.0492860258685486,-0.5795044147031,0.132612730194537,-18.1086391205391,0.0395352339717233,-0.0810988811662166,-0.0750166855904559,0.201834346647047,0.0231221947694192
"SL18-OI-6",0.0823002318354323,0.727337729612181,0.411793799410705,-26.9871675127365,-0.35953930524559,-0.223743148950132,-0.291063799388544,-0.229078443051615,-0.449870410075124
"SL18-OI-11",0.0468133060702818,0.413517735277269,0.120623288930021,-8.95727187056601,-0.106638725915099,0.167780672630946,-0.139571016805673,0.158614865787668,0.224419429057328
"SL18-OI-15",0.0532962084778759,0.73627376189703,-0.0176594056118511,18.9013212550206,-0.304808918477499,-0.258004076533332,0.135783747279696,-0.446084421800194,0.0335913087470378
"SL18-OI-16",-0.0706877774926424,-1.19350388252101,0.106349904341814,-2.93671239276703,-0.212569031836231,-0.303091298875176,-0.531417066415549,-0.596495968818387,-0.560853909841323
"SL18-OI-17",-0.00178638011176962,-0.139935747435128,-0.00686180358357978,-20.0263894199062,0.111609615765641,0.176200919351274,0.150899719420828,-0.30642831676424,-0.478209829889106
"SL18-OI-18",-0.0131233592850469,-0.448179367948535,0.191276884340835,-38.5209112870817,-0.0312717637699005,0.141888791655159,0.148306903971828,-0.203993648404465,0.31111647056871
"SL18-LD-1",-0.0198450525936868,-0.773123144835382,0.297639442744938,-22.2555697259678,-0.0525035290394646,-0.049234338849375,-0.181139984893283,-0.272095342758974,-0.326312613249644
"SL18-LD-3",0.0000696106258213994,-0.181019356503771,0.131977609492107,-8.76038973149218,0.0205659790817221,0.0510843392583953,-0.0955091212601348,-0.0752358993576466,-0.0709467041596181
"SL18-LD-4",-0.00274627570521698,-0.228110518117599,0.130635033632724,-11.7832276223501,0.137664501579192,-0.164529736855278,0.527065049842046,-0.0405709503817971,0.673059436427312
"SL18-LD-5",-0.0155315234941164,-0.254018359012816,0.0565828136862988,-21.9125623257755,0.124162990540158,-0.0949439727692671,0.155592794786468,-0.0985594426658521,0.0890455594364166
"SL18-LD-9",0.003855212522278,-0.173424798784641,0.133576026234593,-27.9485183824778,-0.0236457061786269,-0.0775955348062096,0.550844536815581,-0.174918467551958,0.337091892280642
"SL18-LD-10",0.0157215976545916,0.0356011384009102,0.114056685279931,2.47179965528572,-0.0823548782483407,0.101753011377998,0.901879540076203,-0.271300634317713,0.15356621368557
"SL18-LD-13",-0.0247498735251131,-0.559017157125433,0.160924926996986,8.21195050119934,0.0961713037478299,0.150761524217594,0.0467568848960938,-0.0643667147087389,0.0965877776067442
"SL18-FW-2",0.0440902986739733,0.659173162899685,0.00631568328785214,13.2437897278202,0.0127259510808372,-0.0138631816991575,-0.0717186336609969,-0.076222728541722,-0.0340387769471261
"SL18-FI-1",0.0400338515540393,0.558143475660823,-0.00604229468520561,12.6884062434403,0.0114096588926552,0.00616566506736928,-0.0997388179805938,-0.118940249595756,-0.231690944035165
"SL18-FI-2",0.0386180410566161,0.559601506386849,-0.00681927259172647,11.7150174235665,0.0439671170841773,0.0614044369106417,-0.108191721126182,-0.109941676279675,-0.103212391158152
"SL18-CC-1",0.0184498460552297,0.39935560073793,0.00296515871659974,6.90355754883683,-0.0750799198398521,-0.0591990397655726,0.743198422282398,0.716586853649461,0.7982581202086
"SL18-CC-2",0.0292887633140265,0.826627643872186,-0.137290364865883,-8.14246148887281,-0.0672442410410234,-0.0980149634761802,-0.101303315503844,0.440177377071995,-0.123182035286431
"SL18-CC-3",0.143812472145035,2.03102900139445,0.0357844432507229,12.5531430181375,0.195540813089424,-0.0294212108987477,-0.143691489335225,0.104435431737567,0.180388296053198
"SL18-CC-4",0.00543440939968888,0.216219267225162,-0.0645510672407684,-5.60102223732011,0.0709544686117519,0.000609771380082757,-0.0404567828843899,0.272133803627375,-0.177508732913124
"SL18-CC-5",0.0156067230022981,0.359634619728573,-0.198385988283761,-6.03395799536794,0.01747164027125,0.0911306387508803,-0.675308467223204,0.13727124981117,-0.653604123074901
"SL18-CC-6",0.0282699665135332,0.398566089676813,0.0173638055495125,-12.6409580451309,-0.016024416029214,-0.0933276085575126,-0.350511400205155,0.131106902283713,0.0431669208349662
"SL18-CC-7",-0.0144588224176127,-0.366809037698568,-0.155702749027135,10.3296080817724,-0.0717288099834426,0.0180121081169078,-0.478996213420004,0.402440410886093,-0.169583844224007
"SL18-CC-8",-0.0238874881848624,-0.126101254360782,-0.125118574764672,-0.641415932827891,0.0483377183364568,0.0869125390267084,-0.656321769611682,-0.30015750395798,-0.322125602022817
"SL18-CC-9",-0.00697867109092202,-0.129595238171185,-0.108369972945447,-1.31505367075013,0.233931140435815,0.167712020190336,0.27549219917233,0.911325563681376,0.24622935119649
"SL18-CC-12",0.124023327177001,2.06210014216922,-0.143498980602976,42.3749309741851,0.0733692472922535,0.145431302601332,-0.169389700525662,-0.116379975004327,-0.216231505724658
"SL18-FW-14",0.0373021575045727,0.535984008179351,0.0171375029239272,8.32995925547723,0.0453594634352028,-0.00896911893949828,0.0108199258804165,-0.028689360527254,0.0458433850214834
