"","dryWgtPerM","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.244889493923994,0.227589498078119,0.0432941316609691,0.203482163713663
"Vus",0.0123222020477797,2.60271938143824,0.256684377735134,3533.19994565462
"ErrVars",0.0379951956091574,8.83330646077733,5.67216481931534,13830.4838346421
