"","DWpM","WWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4",0.0156765019385413,0.0253282485411905,0.136898782720108,16.3446662819256,-0.56317242442107,-0.100786175151099,-0.16008299792471,-0.520001516818727,-0.296848938288106
"SL18-OI-5",-0.0511627935319432,-0.250957013255276,0.110122840328268,-18.1086391205391,0.00223631505101116,0.322739979941342,-0.00130006327343779,-0.0737160035694631,-0.111663526947047
"SL18-OI-6",0.085453385100831,0.220866046626412,0.293850275286826,-26.9871675127365,-0.198481513788256,0.335781962449798,0.0281188481356816,0.380514052745841,0.112855919407106
"SL18-OI-11",0.0258930172373716,0.134209758241833,-0.00805714311715325,-8.95727187056601,0.137564355669065,0.0651569375232844,0.00679202397153569,0.508951132240548,0.165476480923774
"SL18-OI-15",0.0625542797955969,0.216733633658909,0.0356765756726747,18.9013212550206,0.134174071445857,-0.068207049935903,0.0858815712764426,0.580686486700893,0.196498403876261
"SL18-OI-16",-0.0778397486337514,-0.188929128181244,0.0748570710970116,-2.93671239276703,0.0618827690387383,-0.0886282368945121,-0.055471530089953,-0.0423931006474906,-0.0944599470394473
"SL18-OI-17",-0.000549088808709813,-0.0146773375032021,0.00596508773880971,-20.0263894199062,-0.244399454457483,-0.0458589386521796,0.0239317550422584,-1.46902352642557,-0.476050988653812
"SL18-OI-18",-0.00380264152944338,-0.0506371471926457,0.18402799119474,-38.5209112870817,0.359842197682876,0.414527973234829,0.0100593498059993,0.246515192999152,0.127259506850811
"SL18-LD-1",-0.0327533237663954,-0.195288118105523,0.164477249989047,-22.2555697259678,0.020030458616213,-0.0925645502036562,0.0615658326492447,0.485555798716306,0.116608977067645
"SL18-LD-3",-0.00416885325273731,-0.0408529183525028,0.0788491081695093,-8.76038973149218,-0.0111122567228394,-0.0266062296153224,-0.00390887967398985,0.103613206749785,-0.0720755607370627
"SL18-LD-4",-0.00725203631922264,-0.0692197733758887,0.0778787495005675,-11.7832276223501,0.0392700339268863,0.510900933417509,0.0836594217791865,0.847155841597721,0.38489103735308
"SL18-LD-5",-0.0222724892594728,-0.0617427180125807,0.0272600593494409,-21.9125623257755,0.194572888168683,-0.0244240327160246,0.00613292945636073,-0.387764943017454,0.00835539009036136
"SL18-LD-9",0.00219453071209187,-0.0551609415079681,0.081902177345461,-27.9485183824778,0.0742291826709705,0.00264956016610552,0.0515320478759175,-0.82487848948971,-0.0688317643739418
"SL18-LD-10",0.0106857353477612,-0.00361538428330708,0.0603072373731558,2.47179965528572,0.305190489988496,-0.231911635127769,0.22094642546035,0.44932084488046,0.121453554730742
"SL18-LD-13",-0.0314940134711413,-0.103634956401622,0.0832066209837613,8.21195050119934,0.206468781730467,-0.0366807172426915,-0.0242923609139986,0.190537229332442,-0.0508356737422913
"SL18-FW-2",0.047076035633354,0.131972233032031,0.0127766212328729,13.2437897278202,0.0115989581044637,-0.121614740481398,0.00801747622400434,0.127160853102892,0.0495060040481535
"SL18-FI-1",0.0422290269362459,0.127255431875722,0.000924465597348701,12.6884062434403,0.0461702437055177,-0.161229853975644,0.0340551310910771,-0.0502518929929833,-0.0221955118552511
"SL18-FI-2",0.0412744527229517,0.122229760056591,0.00137772431578653,11.7150174235665,-0.00355159069521177,-0.107681353165457,0.0115038480362012,-0.0524721189373598,-0.000308163428062044
"SL18-CC-1",0.0307083572137671,0.0781322893109456,0.032431987514289,6.90355754883683,0.132772402035188,0.454699515038508,0.115579649849005,-0.204532501736725,0.128466199933233
"SL18-CC-2",0.023609628118184,0.135068551334518,-0.124575906441196,-8.14246148887281,0.262340240638421,0.237198803234484,0.0235717254503733,0.323668093794565,-0.0131202900306753
"SL18-CC-3",0.131176007308094,0.294333497285524,-0.0156358288993833,12.5531430181375,0.391375935317897,0.212545340012693,0.0292882379211439,0.0572439337837655,0.135298454226166
"SL18-CC-4",0.00457460283674436,0.0145543570610069,-0.0399814334772554,-5.60102223732011,0.0613996905422141,0.287431445159508,0.01058284338952,-0.402762626039469,-0.0314839283298611
"SL18-CC-5",0.0125270562781096,0.118341759143488,-0.113332180059386,-6.03395799536794,-0.0468272101889475,-0.309218105406928,-0.13268035827549,-0.538929919399432,-0.315321451866494
"SL18-CC-6",0.0272823269542711,0.104318223689053,-0.0485668388599315,-12.6409580451309,-0.199633059677538,0.127690837436981,-0.0427059805219919,0.355140607624748,0.149849892042337
"SL18-CC-7",-0.00664876642685322,0.0946523973250699,-0.0661632286521519,10.3296080817724,-0.089231266082746,0.215228731127815,0.0202856397138163,0.464423285443319,0.222993606577951
"SL18-CC-8",-0.0236581081840387,-0.0621125360997971,-0.07696663440546,-0.641415932827891,-0.275735069220965,0.208120713784605,-0.137774820941668,-0.158516666861788,-0.141605164675178
"SL18-CC-9",-0.0116221751157129,0.00315255195589595,-0.0486485890426367,-1.31505367075013,0.0351949926769447,0.329719482679747,-0.0234676628901978,-0.0925438564397256,-0.0915982270531712
"SL18-CC-12",0.137162663712883,0.407061592893582,-0.0455537492784785,42.3749309741851,-0.345766878678553,-0.0929980102135951,-0.0705481952793459,-0.77581885374372,-0.255008062634565
"SL18-FW-14",0.0408841783362145,0.108724772539344,0.0195985421883943,8.32995925547723,0.0927086777207394,-0.0115488048119289,0.0172898260176544,0.0769494364717365,0.0618954141873254
"SL18-NC-2",0.0283600721261478,0.0667872419705004,0.0248785292063302,47.0916937942419,-0.0526179382433242,0.0995189684000596,-0.00428238016700665,0.00544626042782064,0.00868805337942882
"SL18-NC-1",-0.0675860925570007,-0.189772143978468,-0.0436739082160218,-4.86428303559826,0.15231573724104,0.555222697398796,-0.0121229129555468,0.102596501025767,0.126461659345973
"SL18-NC-5",-0.109315269645119,-0.43100142669559,-0.104183061412879,-14.1465319911884,-0.146491385323823,0.290603286947623,0.0129652505510346,-0.628393835093616,-0.0161262641495537
"SL18-JS-6",0.0143755072785965,0.077281959766401,0.263298423317482,-8.33080787617601,0.227093013875104,0.157053056239619,-0.0622501384358391,0.304857036836273,0.0776647581594074
"SL18-JS-5",-0.0562718944940099,-0.0715485905214566,-0.202696451681617,-4.54164823416359,-0.102553529280788,-0.373525421226942,-0.0332031704007226,-0.536872734606428,-0.205520219299519
"SL18-JS-9",-0.105245118607627,-0.306352355590135,-0.0477762512751521,-11.8214187542974,-0.525975699905914,-0.0855012646270577,-0.172818377408086,-0.544837823707478,-0.190360771340891
"SL18-NC-8",-0.0698356107537269,-0.221825835254436,0.00397552777842755,-18.1858875649541,0.750082191975919,0.783629397816591,0.187975541354359,1.24535749996284,0.64503274131837
"SL18-NC-10",-0.127863539721069,-0.343353427111267,-0.255843541562541,-10.0076218798412,-0.0968426461102813,-0.0561835015674001,-0.0391011543314487,-0.0535796152443356,0.0300568616341565
"SL18-NC-9",-0.0173719521187538,-0.0162444587128908,0.0456031120670367,2.86249031593061,-0.460705701970404,-0.159374802006111,-0.127350014293084,-0.103852768216036,-0.170397131895423
"SL18-NC-12",-0.097726354793226,-0.222353628643869,-0.0327831676011301,-14.3339815773843,0.0034862322463955,-0.309086356552715,-0.0228046663932867,-0.105153976626854,0.00638750028842252
"SL18-NL-2",-0.0777958207940187,-0.225454934686289,-0.0429958500519719,-16.1361503624878,0.0064450189339978,-0.155379894784439,0.0298724619965591,0.206547962804188,0.00712831059333467
"SL18-NL-3",-0.0484913253251381,-0.154853379446594,-0.0874846948395828,-12.1834691388466,-0.0812758812374245,-0.0357075799412579,-0.0279975598163556,0.0142015495679575,-0.046542898365084
"SL18-NL-5",-0.0231746642375206,-0.128560682374055,-0.029204310458196,-1.79529056995177,0.028637894239009,0.0835460061092007,-0.0763904113755238,0.435923876901012,0.0711019618568306
"SL18-NL-7",-0.0667066077844586,-0.275158626219731,0.0244581247202965,-26.8378032647271,0.11128915340618,0.243293745474851,0.00324766684861455,0.927500195340461,0.228081067223089
"SL18-NL-6",0.00452165210911946,0.0999772947064452,-0.13113822566975,66.0977132893089,-0.387448640879986,-0.428141409530332,0.0207037083705811,0.438779955151515,0.085650519117287
"SL18-NL-9",-0.0666901668704619,-0.162422350565416,-0.180156201078738,-7.97286438780189,-0.313878610732467,-0.128055029630559,-0.06056355733144,0.693350789092606,0.124736968299335
"SL18-NL-10",-0.0339906331390396,-0.106859008013485,-0.0765860395000704,11.8767069935283,0.357701643570638,-0.400580884526949,0.140818919895556,0.106381213582674,-0.0114641961081961
