"","AshFDwPM","AshOnly","DWpM","WWP","PDW"
"SL18-OI-4",0.0480574449338066,0.141037612868673,0.024175138857201,0.0219402046193122,0.22297910997273
"SL18-OI-5",-0.0150546384136711,-0.602672139774581,-0.0954835519647377,-0.388391586522149,0.160433275507991
"SL18-OI-6",0.218567902860392,-0.983747360536167,0.157317486692994,0.347007660438984,0.508290758155729
"SL18-OI-11",0.0470059080376121,0.303160921833194,0.0422121492334564,0.17512906852801,0.0347211661084122
"SL18-OI-15",0.073069170859436,0.235052073552168,0.0873410461459678,0.334475463102639,0.0734731384848414
"SL18-OI-16",-0.0432789514035774,0.0679447826093984,-0.0687231180524789,-0.191062433024203,0.131099236515516
"SL18-OI-17",0.0504173569306057,-0.450665839090302,0.0220086771178466,0.0156457224943599,-0.0309918747396877
"SL18-OI-18",-0.0102199804635372,-0.294821106712145,-0.0248414421434464,-0.132659515886393,0.274024055108592
"SL18-LD-1",0.00523366199847938,-0.262447196471782,-0.066511563624398,-0.344812963409916,0.280635058826693
"SL18-LD-3",-0.0135436281419657,0.105425606055461,-0.0409265977643731,-0.186769299536013,0.144806414499242
"SL18-LD-4",-0.000380949515841485,-0.0231041974267229,-0.0520836996424899,-0.231235750836771,0.166055652089526
"SL18-LD-5",-0.0152043881260083,-0.146021170578468,-0.0647652733472777,-0.129765222614114,0.034626936294187
"SL18-LD-9",-0.00668192063800558,-0.195792079486,-0.0249995913232022,-0.133511727605304,0.143416690453466
"SL18-LD-10",-0.0146749233983816,0.0910621520965926,-0.0201521022748872,-0.100025131847233,0.157486310379842
"SL18-LD-13",-0.0512308471286377,-0.300701720333029,-0.0476143432214684,-0.166561213311142,0.14712839402933
"SL18-FW-2",0.000237042995666998,-0.915558838711409,0.068593367678458,0.220228171400738,0.00310431699458394
"SL18-FI-1",-0.00961817846623934,-1.17313506820128,0.0563205268122682,0.186429728913232,-0.00372238934937911
"SL18-FI-2",-0.0176431871900422,-1.05789817489056,0.0486673058469754,0.164433451241887,-0.00381774560565771
"SL18-CC-1",-0.00463854043832196,1.69130023259687,-0.00285669409894196,0.019999568279252,0.0480702887796171
"SL18-CC-2",0.0806441877351693,0.510168987604188,0.111339939731235,0.371448868310641,-0.142698117239952
"SL18-CC-3",0.0824662990439777,0.168790009074998,0.0867176963004868,0.190315621639728,0.0747301358796786
"SL18-CC-4",0.0210098741515872,0.341983667176972,0.00624321299744643,0.0425978114950677,-0.0529586289405262
"SL18-CC-5",0.0956822978190611,0.573994777498149,0.0995969926313625,0.390705095345827,-0.189954242998977
"SL18-CC-6",-0.0266061636831647,0.805373814894115,-0.0405791384599177,-0.00990396033252396,-0.110850151332775
"SL18-CC-7",0.0553486696044202,0.288228880449755,0.0886613118760898,0.33554028306852,-0.0974573713500985
"SL18-CC-8",-0.0196487678076229,-0.0924441922502751,-0.0505318024316773,-0.0932021249504751,-0.142565273840097
"SL18-CC-9",0.0135796976014022,0.384276520038911,0.00572245165596158,0.0407915963736294,-0.0786363259224589
"SL18-CC-12",0.115689571342951,0.811478148793502,0.167092219496308,0.52072835271956,-0.00841163464925781
"SL18-FW-14",-0.00642242428420173,-0.947913173493576,0.0580744420684304,0.167883481818027,0.0247941778934812
"SL18-NC-2",0.0570651992540776,0.836631747933622,0.0918668131803177,0.313160392899774,-0.0947942768631927
"SL18-NC-1",-0.0463564400390736,-0.0169017435523256,-0.08653385297624,-0.261111693958158,-0.0700268073277543
"SL18-NC-5",-0.0862744346783966,1.22447682860139,-0.164453711493335,-0.62127429901644,-0.182617033366331
"SL18-JS-6",0.0912593388932731,0.360010912707771,0.154651004708826,0.295633915528675,0.557617882741879
"SL18-JS-5",-0.0553224286780121,0.309032389721016,-0.103109801377082,-0.215541948053101,-0.312655024707644
"SL18-JS-9",-0.101834846911726,0.51194421170948,-0.18175193800786,-0.53491755810537,-0.139775737268973
"SL18-NC-8",-0.0769478068329824,0.71727586532133,-0.126773792198325,-0.371618806344493,0.0249650870003582
"SL18-NC-10",-0.0973663796298639,0.271097989740413,-0.162714599092861,-0.390729367301463,-0.4857850088795
"SL18-NC-9",-0.0415347262514781,-0.143039188929706,-0.0520972141248551,-0.077178992689347,0.092820205158487
"SL18-NC-12",-0.072316495208665,0.497257710639911,-0.0964777986197364,-0.225951209016146,-0.0480269615183216
"SL18-NL-2",-0.0753416345575319,0.337803905718645,-0.0725421016917721,-0.241988600896544,-0.0724527734297298
