"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",0.0185554261356828,0.0381078204347954,0.302365006334394,46.2896735418228
"SL18-OI-5",-0.0649896878309193,-0.245227699243602,0.507966083884729,-14.4845921532073
"SL18-OI-6",0.190309555463529,0.422010936984624,2.28069755605121,27.4216611503065
"SL18-OI-11",0.0246792006476142,0.106626598423591,-0.0494954389224561,0.157034857604924
"SL18-OI-15",0.0452823822608354,0.139853129275412,0.334098554763447,3.99920989618661
"SL18-OI-16",-0.0879079200562225,-0.247974314509123,0.436934254116755,-18.5338899874511
"SL18-OI-17",0.0378229136521035,0.122442875991159,-0.173817387558941,2.40677875049273
"SL18-OI-18",-0.0392101800753375,-0.104934993159793,0.365481068407748,-4.79010656836478
"SL18-LD-1",0.0105884350362354,0.0420741981471867,0.104783075465279,9.46315890470004
"SL18-LD-3",0.0138408243776341,0.0521766955177285,-0.209308503886329,17.8834299168125
"SL18-LD-4",0.0198220455890447,0.0576705840601029,-0.221467026468679,19.5573399497739
"SL18-LD-5",0.0111287709748664,0.0512803466638758,-0.140790339615456,18.5618691942195
"SL18-LD-9",0.00900388277632432,0.0883534706755441,-0.543100016104506,29.9807885935684
"SL18-LD-10",0.0206090164906728,0.0679113115663172,-0.281974768069573,17.3091475878557
"SL18-LD-13",-0.0605195839765611,-0.1838295345363,-0.211565397130482,5.29983864084725
"SL18-FW-2",0.0378406079764731,0.0871216184464316,0.170245093799994,7.40887491390233
"SL18-FI-1",0.0348289191662071,0.066909615486989,0.172472497197745,6.3507709973839
"SL18-FI-2",0.032178926753096,0.0643820928929162,0.141201221339179,7.96187784357096
"SL18-CC-1",-0.00109753701214285,0.0348387194942919,0.126572704558803,10.9789332807754
"SL18-CC-2",0.0715861719213463,0.245509638642606,-0.755819038679257,3.35125528290103
"SL18-CC-3",0.0748318171425333,0.19737296900118,0.166709373422797,3.55547140131662
"SL18-CC-4",-0.00546340213303072,-0.00426436852155242,-0.238284224071457,-15.999976372312
"SL18-CC-5",0.0659329427085013,0.270661831175311,-0.719806540464876,-3.55280037935101
"SL18-CC-6",-0.0356226121616931,-0.0202335435157109,-0.541939892483308,-24.6091652258831
"SL18-CC-7",0.0639289029960857,0.242899325414246,-0.494602900368332,12.5263037824535
"SL18-CC-8",-0.0462621802992379,-0.122474071895562,-0.486000412601225,-6.8239123030884
"SL18-CC-9",-0.00177887649570782,0.00827222159314067,-0.288770311001816,-2.4765299297101
"SL18-CC-12",0.125655837097609,0.411210026740659,-0.10564566811887,48.4994532685736
"SL18-FW-14",0.0357050008242986,0.074498725981369,0.253509829533533,4.83949382505201
"SL18-NC-2",0.0744630388840365,0.270235250525546,-0.12534365655158,10.8369299908161
"SL18-NC-1",-0.0708581947435828,-0.204494524524725,-0.195313997525399,-13.1716598178824
"SL18-NC-5",-0.13062398896584,-0.489560241777745,-0.608728069416708,-22.0190789036462
"SL18-JS-6",0.114095197344424,0.233681182672768,2.67777672775644,-19.9045450716664
"SL18-JS-5",-0.0792536139780218,-0.186612783663543,-0.931471742297584,-32.719556057241
"SL18-JS-9",-0.137120072314754,-0.391918161564623,-0.245976395942303,-28.9052672010973
"SL18-NC-8",-0.0940198266162481,-0.295877172421004,0.398300825427706,-32.5459448609733
"SL18-NC-10",-0.130781872166345,-0.337216321828249,-1.69686488280435,-8.77513069616986
"SL18-NC-9",-0.0425494664240506,-0.0784606530449776,0.742659918019601,-13.9690668406735
"SL18-NC-12",-0.0761036040955339,-0.149374255212129,-0.0255915466735764,-12.9817547146701
"SL18-NL-2",-0.0947479701851566,-0.283848586056543,0.0529883930063185,-27.7614917651075
"SL18-NL-3",-0.0623365899319444,-0.106229047883217,-0.792229456214041,-14.6739072297398
"SL18-NL-5",-0.0234371072077293,-0.106262619958923,0.165680745308086,-5.12509278812782
"SL18-NL-7",-0.063780466346711,-0.228503185783479,0.436556367947919,-11.0437405761442
"SL18-NL-6",-0.0243853466860094,-0.0835213780866996,0.0125858914578309,-7.94262226679957
"SL18-NL-9",-0.0515355912936106,-0.141247627393844,-0.133474698673023,-13.1266327305167
"SL18-NL-10",-0.0469370474143689,-0.154315417153797,0.093485842706777,-13.1979923964396
"SL18-JS-19",-0.0939227867549728,-0.231147718302932,0.163126601842101,-52.828302537831
"SL18-JS-16",-0.0851126042230097,-0.225647787392835,0.0985144799578074,-33.3143551664241
"SL18-JS-11",-0.0858695270924204,-0.292765305387547,-0.465471045767128,-4.63117148084978
"SL18-BL-10",0.0228874954306414,0.0448963060118434,0.105217078554681,5.38907901124141
"SL18-BL-11",0.0369543625743185,0.0771481047464126,0.168368109321017,5.99443418174438
