"","Row.names","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Year.x","plotNo.x","Crosses.x","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Year.y","plotNo.y","Crosses.y"
"26","2019_147",0.209553611873868,0.653647046422663,0.0976710014694356,-5.07391424231576,0.0142912590351982,-102.693798612518,2019,"2019_147","SL18-OI-18-FG2xSA18-CB-7-MG1",-114.306061476718,53.3891256769738,22.5981776720294,90.2872667929763,-100.812631378331,2019,"2019_147","SL18-OI-18-FG2xSA18-CB-7-MG1"
"27","2019_148",1.00514067020418,-0.786825794185611,0.0849537613686625,NA,NA,53.7550865447308,2019,"2019_148","SL18-OI-18-FG2xSL18-LD-10-MG1",-176.671286286553,14.7348332109721,1.58196524074689,7.5536443783613,76.6461349446655,2019,"2019_148","SL18-OI-18-FG2xSL18-LD-10-MG1"
"28","2019_149",-0.78034377633495,1.68204003552101,0.0330419731747053,NA,NA,-32.761991907216,2019,"2019_149","SL18-OI-18-FG2xSL18-LD-9-MG1",-138.476929178021,-51.5608268435077,10.3629238652119,-93.2405625987638,10.1466173398508,2019,"2019_149","SL18-OI-18-FG2xSL18-LD-9-MG1"
"29","2019_150",-0.444656884622055,-0.196661107820477,-0.0209909468956651,NA,NA,36.8986935083759,2019,"2019_150","SL18-OI-18-FG2xSL18-NL-2-MG2",-97.1938858513248,-35.5018757936198,-4.39951819299949,-91.8834839316575,-82.0597372884788,2019,"2019_150","SL18-OI-18-FG2xSL18-NL-2-MG2"
"30","2019_151",-1.91420758504239,0.22136470924395,-0.14560887380839,NA,NA,-170.302674949589,2019,"2019_151","SL18-OI-18-FG2xSL18-LD-2-MG3",30.1238353435752,-13.6120887213515,-23.9334543431795,45.1913257012066,-76.2000685149259,2019,"2019_151","SL18-OI-18-FG2xSL18-LD-2-MG3"
"31","2019_152",-1.46286529097667,1.28226271652554,-0.113361752450214,NA,NA,-205.748023493397,2019,"2019_152","SL18-OI-18-FG3xSL18-LL-9-MG1",113.662592999131,-58.8055226500908,-19.0963365579847,-22.4785778642381,24.7859579186478,2019,"2019_152","SL18-OI-18-FG3xSL18-LL-9-MG1"
"32","2019_153",0.181358165819378,0.461024918876403,0.0337174996052651,NA,NA,-63.036159788822,2019,"2019_153","SL18-OI-18-FG3xSL18-OI-7-MG1",12.2481060007819,-48.7063592140321,5.88714754144821,0.4896311513566,-22.5979048235286,2019,"2019_153","SL18-OI-18-FG3xSL18-OI-7-MG1"
"33","2019_154",-1.67478499945298,4.62547265222032,-0.0542762245534268,NA,NA,-155.308630329383,2019,"2019_154","SL18-OI-18-FG5xSA18-CB-4-MG3",-83.1376429712826,71.5812789696929,-2.3730550717165,-59.3549654624048,-101.694223689887,2019,"2019_154","SL18-OI-18-FG5xSA18-CB-4-MG3"
"34","2019_155",-0.415527114881704,-0.0971016111556628,0.0391775383579572,-1.63755793093947,-0.034603756005978,40.7836204064734,2019,"2019_155","SL18-OI-18-FG5xSL18-LD-2-MG1",-112.780112827641,-10.0258710182894,-11.2217332232515,-43.4162981353,-47.5865961368222,2019,"2019_155","SL18-OI-18-FG5xSL18-LD-2-MG1"
"35","2019_157",1.90816729670243,1.09506058568913,0.270817138430165,1.04757178754168,0.114768236137597,-28.2343323827585,2019,"2019_157","SL18-OI-18-FG5xSL18-SF-15-MG2",5.05411411986548,12.5244082058909,-1.08123808036165,-9.62216931903993,134.164967892846,2019,"2019_157","SL18-OI-18-FG5xSL18-SF-15-MG2"
"36","2019_158",1.64304836998418,-1.93893831774782,0.0574993689758015,NA,NA,30.0856839294481,2019,"2019_158","SL18-OI-18-FG6xSA18-CB-1-MG2",-98.6997684747859,38.8248267480881,15.2531336702282,75.5966851518968,-49.5349388170617,2019,"2019_158","SL18-OI-18-FG6xSA18-CB-1-MG2"
"37","2019_159",-1.49724239705547,0.61169510814944,-0.0906906447004045,-9.32944123315667,-0.0867257052053784,-5.82777640884432,2019,"2019_159","SL18-OI-18-FG6xSL18-NL-6-MG1",276.594264257858,-134.204128670817,-25.4916335424912,-197.460454333925,-58.367919832285,2019,"2019_159","SL18-OI-18-FG6xSL18-NL-6-MG1"
"38","2019_162",-2.05511397106818,0.770519480926576,-0.13970770230589,NA,NA,-222.339626524247,2019,"2019_162","SL18-OI-2-FG2xSL18-LD-1-MG2",28.6829772627558,-43.7079140801059,-13.1111672510141,35.4176062048441,46.0954905618969,2019,"2019_162","SL18-OI-2-FG2xSL18-LD-1-MG2"
"39","2019_17",-1.34031398753263,-0.589848747088219,-0.0808610212347373,-2.79940655700508,-0.0806434776078368,91.71206494026,2019,"2019_17","SL18-LD-1-FG1xSL18-NL-2-MG2",-52.2988156880245,-14.0360869982627,-14.3023154487069,-16.4355336875568,-81.7577812013563,2019,"2019_17","SL18-LD-1-FG1xSL18-NL-2-MG2"
"40","2019_170",-2.07283295062439,3.06377069101726,-0.14560887380839,NA,NA,-87.3199703846045,2019,"2019_170","SL18-OI-2-FG3xSL18-NL-9-MG1",108.756677537142,-35.8028998925666,-32.3427866773264,36.4246322556361,-114.326449891382,2019,"2019_170","SL18-OI-2-FG3xSL18-NL-9-MG1"
"41","2019_172",-1.35307463041407,0.51059909045308,-0.0710293693279161,NA,NA,-245.788188794332,2019,"2019_172","SL18-OI-2-FG3xSL18-SF-17-MG1",56.2410036197425,-7.19312135087,-2.61416984581751,6.55626533245885,-55.3541081371219,2019,"2019_172","SL18-OI-2-FG3xSL18-SF-17-MG1"
"42","2019_174",-1.93663428432157,3.62464167845488,-0.138945081757644,NA,NA,-174.444641929076,2019,"2019_174","SL18-OI-6-FG1xSA18-CB-2-MG1",83.243447192828,75.657040217585,3.61772835356902,89.2925897510343,5.87999843803201,2019,"2019_174","SL18-OI-6-FG1xSA18-CB-2-MG1"
"43","2019_175",0.605604602055841,-2.28026106676118,-0.0150439734329805,NA,NA,-50.1394736772704,2019,"2019_175","SL18-OI-6-FG1xSA18-CB-4-MG1",-95.5696048764465,20.4379304137497,-8.87363249193177,-38.4750760243146,-39.4333617991119,2019,"2019_175","SL18-OI-6-FG1xSA18-CB-4-MG1"
