"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",0.000837518092833943,-0.0291151021089909,0.057229486563471,-18.4683073596076
"SL18-OI-5",0.00333907556167911,0.00285509330184062,0.0249796394636686,-3.92831926467381
"SL18-OI-6",-0.0158755849557561,0.0129400235113482,-0.00847081585922364,-70.259825072143
"SL18-OI-11",-0.00686273081234297,-0.0345924552741122,0.021379707638125,10.9059240488045
"SL18-OI-15",0.0744285151344439,0.373985345155938,-0.00585850408362059,74.8136272575638
"SL18-OI-16",0.0154346149036745,0.0799422946528681,0.00937084846878172,35.8648488560304
"SL18-OI-17",-0.0094719754203626,-0.0618717031474288,-0.00460744659309942,-15.1568844252851
"SL18-OI-18",0.0219450281749157,-0.00135148458545951,0.0776071396250276,-53.3426071253721
"SL18-LD-1",-0.0466990403338041,-0.255594290926122,0.084218744475572,-30.2312201577483
"SL18-LD-3",-0.0187025785289805,-0.053429699030894,0.053463352125856,-25.0519279533952
"SL18-LD-4",-0.0311324948792517,-0.103631980734043,0.0524336500640677,-26.7101986002357
"SL18-LD-5",-0.0300373943510973,-0.0657762407427459,0.0107402317851686,-34.2116300272655
"SL18-LD-9",-0.0271961732055315,-0.182737114844942,0.0800482019468368,-71.5442985403676
"SL18-LD-10",-0.00217949167865224,-0.0301466894419006,0.0501230132989168,3.58081119977543
"SL18-LD-13",0.013714980947616,0.0590938942194026,0.0674606697968596,43.8700143751685
"SL18-FW-2",0.0119051891848683,0.0733099833418919,-0.0103213907961901,10.7072202035078
"SL18-FI-1",0.0165294156554656,0.097470040259268,-0.0166827441353777,16.6428674034281
"SL18-FI-2",0.0154228460299089,0.0902325258784542,-0.0143974495642219,10.6785266382744
"SL18-CC-1",-0.00160520031390809,-0.00189150687294839,0.00668805708064215,-0.595177301623187
"SL18-CC-2",-0.00415636214549036,-0.0144071935870464,0.00547617515776994,-0.100871024723439
"SL18-CC-3",-0.0122516030685276,-0.0623228176889494,0.00745291497823872,-8.55582564719314
"SL18-CC-4",-0.000119836089160287,0.00164188903509222,-0.0005354231560437,9.07498836255116
"SL18-CC-5",0.00212095788458607,0.00405468195305175,0.0119103498047729,0.259466237333547
"SL18-CC-6",-0.00155001813762577,-0.0142488001107361,0.0101794939722678,0.842414815610402
"SL18-CC-7",-0.00662078024393297,-0.0304357953423579,0.0051746558072453,-1.46812509587254
"SL18-CC-8",-0.0014694839329533,-0.00108083224426364,-0.000988418667597659,-0.794612235697093
"SL18-CC-9",0.000145166603884292,0.00476517478439469,-0.00294294652379277,8.18025935937042
"SL18-CC-12",-0.00244562970274501,-0.0061776316984716,0.00380040993327697,-1.03634745800739
"SL18-FW-14",0.00605882290451964,0.0431956006534328,-0.0123124745483438,5.90048029279149
"SL18-NC-2",-0.00654216270046855,-0.0379421267559552,-0.0181720806897422,-0.356230305584582
"SL18-NC-1",-0.00587296792466345,-0.0396543600501411,-0.00668265282057783,3.26625794310668
"SL18-NC-5",-0.00148893250308977,-0.0165529751064029,-0.0135471838809315,-2.49257525932437
"SL18-JS-6",-0.00421905002637932,-0.0256225085238963,-0.0103801342626756,6.97809634002843
"SL18-JS-5",-0.00351975810688484,-0.025507298009181,-0.0184088647854973,-2.65201842720718
"SL18-JS-9",-0.00799437092293287,-0.0366462488643183,-0.0250637124662254,-0.927551875926981
"SL18-NC-8",0.0059948064300589,0.0304590629538188,-0.020531218418947,7.99084528729071
