"","DWpM","WWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4",0.000837518092833943,-0.0291151021089909,0.057229486563471,-18.4683073596076,-0.0686030980518535,0.26195520151876,-0.0939375265347367,-0.274565306465193,-0.0142466716038926
"SL18-OI-5",0.00333907556167911,0.00285509330184062,0.0249796394636686,-3.92831926467381,0.00877041315170241,-0.013641536388913,-0.00268022923466499,-0.146931460362983,-0.0488080885646004
"SL18-OI-6",-0.0158755849557561,0.0129400235113482,-0.00847081585922364,-70.259825072143,-0.164980668555688,0.140457583644168,-0.0254847331987333,0.0658921630736742,-0.0626729311840043
"SL18-OI-11",-0.00686273081234297,-0.0345924552741122,0.021379707638125,10.9059240488045,0.20034828428898,-0.111501229778207,-0.0433547305912262,0.383598572011466,0.0845447261456985
"SL18-OI-15",0.0744285151344439,0.373985345155938,-0.00585850408362059,74.8136272575638,0.0940348516725839,-0.017232154378244,0.00826611199612775,0.161814522901524,0.0507626455750659
"SL18-OI-16",0.0154346149036745,0.0799422946528681,0.00937084846878172,35.8648488560304,-0.0329465294709451,-0.0650388561978138,-0.0397193171976641,-0.324616968002904,-0.144196988106421
"SL18-OI-17",-0.0094719754203626,-0.0618717031474288,-0.00460744659309942,-15.1568844252851,-0.282028014046003,-0.16335292937383,-0.0871330082571125,-1.64487329137321,-0.439879718743338
"SL18-OI-18",0.0219450281749157,-0.00135148458545951,0.0776071396250276,-53.3426071253721,0.431870086120965,0.586607373803977,-0.0105767737317092,-0.0639448376876543,0.0568508976302941
"SL18-LD-1",-0.0466990403338041,-0.255594290926122,0.084218744475572,-30.2312201577483,-0.334744200929586,0.0864423140058626,0.00993566046954824,-0.0108953555199337,-0.0000484168689354327
"SL18-LD-3",-0.0187025785289805,-0.053429699030894,0.053463352125856,-25.0519279533952,-0.0700033946051646,-0.072079987477702,-0.0233928193323853,-0.0907062950198398,-0.106517056960942
"SL18-LD-4",-0.0311324948792517,-0.103631980734043,0.0524336500640677,-26.7101986002357,-0.0876828246791436,0.55291447031133,0.00793658352454279,0.141299621366303,0.154120177119537
"SL18-LD-5",-0.0300373943510973,-0.0657762407427459,0.0107402317851686,-34.2116300272655,0.0443956828309225,0.100683958838567,0.00743366336521082,-0.180493708845175,0.13051941432683
"SL18-LD-9",-0.0271961732055315,-0.182737114844942,0.0800482019468368,-71.5442985403676,-0.334617113483009,-0.280231530663226,0.0404490802960738,-1.17857649699757,-0.19113680628732
"SL18-LD-10",-0.00217949167865224,-0.0301466894419006,0.0501230132989168,3.58081119977543,0.0398635129106068,-0.348308704125262,0.176098946139731,-0.0267458622699055,-0.0138945048525407
"SL18-LD-13",0.013714980947616,0.0590938942194026,0.0674606697968596,43.8700143751685,-0.0849604448548434,0.072682414200479,-0.0631109728721511,-0.027342344464259,-0.0810828151691309
"SL18-FW-2",0.0119051891848683,0.0733099833418919,-0.0103213907961901,10.7072202035078,-0.0319744642284436,-0.0166784875922972,0.00993061042734071,-0.001187114697837,0.00821235698358582
"SL18-FI-1",0.0165294156554656,0.097470040259268,-0.0166827441353777,16.6428674034281,0.0315184084419935,0.00532491577000512,0.0220413486931056,-0.0441456972807947,-0.00345901358355687
"SL18-FI-2",0.0154228460299089,0.0902325258784542,-0.0143974495642219,10.6785266382744,0.0207690591089746,0.0176726949266525,0.0225707713807195,0.0282158028933318,0.0272456716236963
