"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"551","SL18-UCONN-S183","SL18-OI-7-FG3","OI","SA18-CB-2-MG3","CB","OI X CB","GOM",2,1,"3",30,"5",3,1.67,0.75,2.226666667,9.71,0.16,260,"181","2019_183","2019","SL18-OI-7-FG3xSA18-CB-2-MG3","OI X CB","ES","0","0"
"473","SL18-UCONN-S186","SL18-OI-9-FG1","OI","SL18-LL-9-MG2","LL","OI X LL","GOM",2,1,"2",50,"9",3,2,0.85,2.352941176,8.49,0.17,300,"184","2019_186","2019","SL18-OI-9-FG1xSL18-LL-9-MG2","OI X LL","ES","0","0"
"552","SL18-UCONN-S189","SL18-SF-13-FG1","SF","SL18-LL-9-MG3","LL","SF X LL","GOM",2,4,"3",19,"4",3,2.04,0.93,2.193548387,12.02,0.25,80,"187","2019_189","2019","SL18-SF-13-FG1xSL18-LL-9-MG3","SF X LL","ES","0","0"
"499","SL18-UCONN-S19","SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","LD X CB","GOM",2,1,"3",16,"3",3,5.14,0.77,6.675324675,8.91,0.46,180,"19","2019_19","2019","SL18-LD-1-FG2xSA18-CB-4-MG3","LD X CB","ES","0","0"
"367","SL18-UCONN-S190","SL18-SF-17-FG1","SF","SL18-LL-9-MG1","LL","SF X LL","GOM",2,1,"1",53,"9",2,1.01,0.91,1.10989011,10.27,0.1,80,"188","2019_190","2019","SL18-SF-17-FG1xSL18-LL-9-MG1","SF X LL","ES","0","0"
"476","SL18-UCONN-S192","SL18-SF-17-FG3","SF","SA18-CB-10-MG1","CB","SF X CB","GOM",2,4,"1",6,"1",3,4.25,0.9,4.722222222,7.46,0.32,420,"190","2019_192","2019","SL18-SF-17-FG3xSA18-CB-10-MG1","SF X CB","ES","0","0"
"553","SL18-UCONN-S193","SL18-SF-17-FG3","SF","SA18-CB-3-MG3","CB","SF X CB","GOM",2,4,"1",24,"4",3,1.97,0.83,2.373493976,8.83,0.17,20,"191","2019_193","2019","SL18-SF-17-FG3xSA18-CB-3-MG3","SF X CB","ES","0","0"
"352","SL18-UCONN-S194","SL18-SF-17-FG3","SF","SL18-LD-2-MG1","LD","SF X LD","GOM",2,1,"4",35,"6",2,1.59,0.92,1.72826087,9.29,0.15,240,"192","2019_194","2019","SL18-SF-17-FG3xSL18-LD-2-MG1","SF X LD","ES","0","0"
"368","SL18-UCONN-S195","SL18-SF-17-FG3","SF","SL18-NL-10-MG2","NL","SF X NL","GOM",3,1,"1",44,"8",2,0.55,0.95,0.578947368,10.99,0.06,160,"193","2019_195","2019","SL18-SF-17-FG3xSL18-NL-10-MG2","SF X NL","ES","0","0"
"554","SL18-UCONN-S196","SL18-SF-17-FG3","SF","SL18-NL-2-MG3","NL","SF X NL","GOM",3,4,"4",22,"4",3,2.64,0.81,3.259259259,8.47,0.22,NA,"194","2019_196","2019","SL18-SF-17-FG3xSL18-NL-2-MG3","SF X NL","ES","0","0"
