"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Paint2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","AshFreedryWgtPerM","Ash.Free..","densityBlades","Carbon..Celignis.","Hydrogen..Celignis.","Nitrogen..Celignis.","Sulphur..Celignis.","Oxygen..Celignis.","Ash..Celignis.","Ash..WHOI.","Moisture","HHV","LHV","Total.Sugars","Mannuronic","Guluronic","Glucuronic","Mannitol","Fucose","Glucan","Xylan","Mannan","Galactan","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Se78","Rb85","Sr88","Mo98","Cd111","C..UCONN.","N..UCONN.","C.N..UCONN.","Ash","C_N1","C_N_Combine","AshFDwPM","popChk","withinLoc","isSelf"
"338","SL19-UCONN-S140",246,"2020","2020_140","GOM","140","6_9_2020","185",NA,"SL18-JS-5-FG1","JS","SL18-LD-2-MG4","LD","SL18-JS-5-FG1xSL18-LD-2-MG4","JS X LD",1,1,"3",26,"5",2,1.68,0.955,1.76,9.19,0.161994864,0.097664546,60.288668,30,NA,NA,NA,NA,NA,39.71,NA,10.87,NA,NA,34.99,8.47,6.4,0.91,10.19,0.91,6.63,0.29,0.46,0.74,153.7707859,23416.78146,10661.98027,47.81850656,3206.475207,9164.156935,98417.02781,10456.68647,196.443276,4.252345279,0.073197997,0.299365926,1.405033669,37.98536961,50.13770911,0.038833412,26.76844973,937.7873718,0.197401057,1.002581367,25.82,1.36,18.99,39.71,NA,18.99,0.0975154576,"ES","0","0"
"422","SL19-UCONN-S141",247,"2020","2020_141","GOM","141","6_9_2020","185",NA,"SL18-OD-5-FG3","OD","SA18-CB-1-MG12","CB","SL18-OD-5-FG3xSA18-CB-1-MG12","OD X CB",3,1,"3",27,"5",3,1.05,1.03,1.02,10.96,0.111509655,0.071427486,64.054979,110,NA,NA,NA,NA,NA,35.95,NA,10.92,NA,NA,40.72,10.64,7.47,0.82,13.2,0.74,6.53,0.26,0.41,0.65,174.9247167,23952.37208,10571.33314,69.58076293,2477.104085,8349.004965,89116.82587,10876.81497,246.8822252,5.004291733,0.077530487,0.309925432,1.523583836,31.3845079,30.37860151,0.040506074,23.62027069,914.4960114,0.167960351,0.760405314,26.74,1.08,24.76,35.95,NA,24.76,0.071602776,"ES","0","0"
"444","SL19-UCONN-S143",249,"2020","2020_143","GOM","143","6_9_2020","185",NA,"SL18-CC-5-FG3","CC","SL18-JS-5-MG2","JS","SL18-CC-5-FG3xSL18-JS-5-MG2","CC X JS",3,1,"3",29,"5",3,3.8,1.05,3.62,4.37,0.157828887,0.094180777,59.672712,190,NA,NA,NA,NA,NA,40.33,NA,10.21,NA,NA,30.18,9.62,6.26,0.61,5.96,0.87,5.58,0.19,0.4,0.68,156.5386261,23764.25277,10397.40905,50.35175268,3159.62266,10906.62659,118943.5613,10144.48536,238.5275036,4.561213606,0.087992857,0.266184639,0.941001383,48.90296239,42.85335892,0.060571915,30.8678759,851.6437244,0.192477332,0.999775092,25.94,1.07,24.24,40.33,NA,24.24,0.0943943598,"ES","0","0"
"319","SL19-UCONN-S144",250,"2020","2020_144","GOM","144","6_9_2020","185",NA,"SL18-SF-13-FG1","SF","SA18-CB-7-MG1","CB","SL18-SF-13-FG1xSA18-CB-7-MG1","SF X CB",2,1,"3",30,"5",2,1.49,1.049,1.42,10.55,0.149539341,0.097960426,65.50813,50,NA,NA,NA,NA,NA,34.49,NA,10.23,NA,NA,42.23,12.06,7.5,0.81,14.04,0.5,6.08,0.2,0.35,0.66,196.4293584,21509.86611,9559.587108,123.7750298,2470.553573,7789.109723,89590.01647,10503.33939,399.0048438,6.622593181,0.097831572,0.268923726,0.968357427,50.29581405,36.62107029,0.057679552,22.71751692,930.0660282,0.152277532,0.761596297,25.06,1.28,19.58,34.49,NA,19.58,0.098140531,"ES","0","0"
"382","SL19-UCONN-S145",251,"2020","2020_145","GOM","145","6_9_2020","185",NA,"SL18-LL-9-FG6","LL","SA18-CB-10-MG3","CB","SL18-LL-9-FG6xSA18-CB-10-MG3","LL X CB",2,1,"3",31,"6",2,0.22,0.93,0.24,10.14,0.02452874,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES","0","0"
"591","SL19-UCONN-S146",252,"2020","2020_146","GOM","146","6_9_2020","185",NA,"SL18-OI-15-FG2","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG2xSA18-CB-2-MG3","OI X CB",3,1,"3",32,"6",3,4.16,0.91,4.57,13.33,0.608846704,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES","0","0"
"474","SL19-UCONN-S147",253,"2020","2020_147","GOM","147","6_9_2020","185",NA,"SA18-CB-2-FG3","CB","SL18-NC-9-MG1","NC","SA18-CB-2-FG3xSL18-NC-9-MG1","CB X NC",1,1,"3",33,"6",3,2.81,0.983,2.86,14.75,0.421900032,0.234476731,55.576372,120,NA,NA,NA,NA,NA,44.42,NA,10.83,NA,NA,37.39,11.75,7.19,0.67,10.41,0.41,5.79,0.14,0.34,0.71,162.5733622,25029.00257,10300.55445,325.1962908,2820.600841,7237.664765,106833.3998,9697.20654,878.8105589,12.59720513,0.347492252,0.794490781,2.401272652,46.90656238,42.46378966,0.053554494,28.84186123,763.501811,0.207697704,0.658306862,NA,NA,NA,44.42,NA,NA,0.23446423,"ES","0","0"
"340","SL19-UCONN-S149",255,"2020","2020_149","GOM","149","6_9_2020","185",NA,"SL18-NL-2-FG3","NL","SA18-CB-4-MG1","CB","SL18-NL-2-FG3xSA18-CB-4-MG1","NL X CB",1,1,"3",35,"6",2,0.34,0.99,0.34,11.3,0.038884822,0.023421897,60.234034,60,NA,NA,NA,NA,NA,39.77,NA,11.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,1.3,18.96,39.77,NA,18.96,0.023140366,"ES","0","0"
"592","SL19-UCONN-S151",258,"2020","2020_151","GOM","151","6_9_2020","185",NA,"SA18-CB-5-FG4","CB","SL18-CC-1-MG3","CC","SA18-CB-5-FG4xSL18-CC-1-MG3","CB X CC",1,1,"3",37,"7",3,3.77,0.97,3.89,12.42,0.482847742,NA,NA,60,NA,NA,NA,NA,NA,NA,45.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.06,NA,NA,0.2654360172,"ES","0","0"
"460","SL19-UCONN-S152",259,"2020","2020_152","GOM","152","6_9_2020","185",NA,"SL18-CC-3-FG1","CC","SL18-JS-6-MG3","JS","SL18-CC-3-FG1xSL18-JS-6-MG3","CC X JS",3,1,"3",38,"7",3,6.41,1.035,6.19,12.52,0.775134127,0.444025477,57.283696,180,NA,NA,NA,NA,NA,42.72,NA,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.19,1.63,14.23,42.72,NA,14.23,0.4439131264,"ES","0","0"
