"","dryWgtPerM","wetWgtPerM","percDryWgt","plotDensity"
"h2hMat",0.263305153861979,0.326302557250551,0.0303026636320427,0.203482163713663
"Vus",0.0134882346372875,0.107340457284413,0.166182505094687,3533.19994565462
"ErrVars",0.0377383913495243,0.221619444804225,5.3179065212892,13830.4838346421
