crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Paint2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,CrossLoc,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,AshFreedryWgtPerM,Ash Free %,densityBlades,Carbon (Celignis),Hydrogen (Celignis),Nitrogen (Celignis),Sulphur (Celignis),Oxygen (Celignis),Ash (Celignis),Ash (WHOI),Moisture,HHV,LHV,Total Sugars,Mannuronic,Guluronic,Glucuronic,Mannitol,Fucose,Glucan,Xylan,Mannan,Galactan,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111,C (UCONN),N (UCONN),C:N (UCONN)
SL19-UCONN-S103,205,2020,2020_103,GOM,103,6_9_2020,185,,SL18-CC-7-FG2,CC,SL18-JS-9-MG3,JS,SL18-CC-7-FG2xSL18-JS-9-MG3,CC X JS,2,1,2,50,9,1,0.4,1.02,0.39,10.51,0.041066051,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S106,208,2020,2020_106,GOM,106,6_9_2020,185,,SL18-LL-9-FG2,LL,SA18-CB-4-MG3,CB,SL18-LL-9-FG2xSA18-CB-4-MG3,LL X CB,1,1,2,53,9,1,0.21,1.07,0.19,11.61,0.022262517,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S107,209,2020,2020_107,GOM,107,6_9_2020,185,,SA18-CB-2-FG3,CB,SL18-CC-6-MG11,CC,SA18-CB-2-FG3xSL18-CC-6-MG11,CB X CC,2,1,2,54,9,1,1.82,0.9,2.02,18.93,0.382083608,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S109,211,2020,2020_109,GOM,109,6_9_2020,185,,SL18-NC-5-FG2,NC,SL18-LD-1-MG3,LD,SL18-NC-5-FG2xSL18-LD-1-MG3,NC X LD,2,1,2,56,10,1,0.25,1.03,0.24,10.21,0.024581347,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S11,212,2020,2020_11,GOM,11,6_9_2020,185,,SL18-NL-3-FG3,NL,SA18-CB-10-MG3,CB,SL18-NL-3-FG3xSA18-CB-10-MG3,NL X CB,1,1,1,12,2,1,0.23,0.96,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S110,213,2020,2020_110,GOM,110,6_9_2020,185,,SL18-CC-11-FG3,CC,SL18-NC-12-MG1,NC,SL18-CC-11-FG3xSL18-NC-12-MG1,CC X NC,3,1,2,57,10,1,0.08,0.97,0.08,8.29,0.007017626,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S114,217,2020,2020_114,GOM,114,6_9_2020,185,,SA18-CB-7-FG1,CB,SL18-CC-8-MG2,CC,SA18-CB-7-FG1xSL18-CC-8-MG2,CB X CC,3,1,2,61,11,1,1.39,1.08,1.29,11.54,0.148995516,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S116,219,2020,2020_116,GOM,116,6_9_2020,185,,SL18-NL-2-FG3,NL,SL18-NC-10-MG3,NC,SL18-NL-2-FG3xSL18-NC-10-MG3,NL X NC,1,1,2,63,11,1,0.36,0.97,0.37,8.85,0.033030591,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S117,220,2020,2020_117,GOM,117,6_9_2020,185,,SL18-NL-6-FG2,NL,SA18-CB-1-MG12,CB,SL18-NL-6-FG2xSA18-CB-1-MG12,NL X CB,1,1,3,1,1,1,0.71,0.88,0.81,11.37,0.091493268,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S118,221,2020,2020_118,GOM,118,6_9_2020,185,,SL18-OI-18-FG1,OI,SL18-NC-10-MG1,NC,SL18-OI-18-FG1xSL18-NC-10-MG1,OI X NC,1,1,3,2,1,1,0.35,0.945,0.37,10.42,0.039026255,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S122,226,2020,2020_122,GOM,122,6_9_2020,185,,SL18-JS-5-FG2,JS,SL18-NL-2-MG1,NL,SL18-JS-5-FG2xSL18-NL-2-MG1,JS X NL,1,1,3,6,1,1,1.03,1.03,1,8.47,0.084550267,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S125,229,2020,2020_125,GOM,125,6_9_2020,185,,SL18-NL-2-FG2,NL,SA18-CB-3-MG1,CB,SL18-NL-2-FG2xSA18-CB-3-MG1,NL X CB,1,1,3,9,2,1,0.14,1.03,0.13,12.1,0.016199741,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S127,231,2020,2020_127,GOM,127,6_9_2020,185,,SL18-CC-8-FG1,CC,SL18-JS-5-MG2,JS,SL18-CC-8-FG1xSL18-JS-5-MG2,CC X JS,1,1,3,11,2,1,0.05,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S129,233,2020,2020_129,GOM,129,6_9_2020,185,,SL18-JS-9-FG2,JS,SL18-CC-7-MG2,CC,SL18-JS-9-FG2xSL18-CC-7-MG2,JS X CC,2,1,3,14,3,1,0.07,0.98,0.07,5.36,0.003903061,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S13,234,2020,2020_13,GOM,13,6_9_2020,185,,SL18-CC-3-FG3,CC,SL18-JS-5-MG1,JS,SL18-CC-3-FG3xSL18-JS-5-MG1,CC X JS,3,1,1,14,3,1,0.95,0.99,0.96,11.97,0.114992195,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S134,239,2020,2020_134,GOM,134,6_9_2020,185,,SL18-LD-2-FG4,LD,SL18-JS-5-MG3,JS,SL18-LD-2-FG4xSL18-JS-5-MG3,LD X JS,1,1,3,19,4,1,0.36,0.99,0.36,10.95,0.039889491,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S136,241,2020,2020_136,GOM,136,6_9_2020,185,,SL18-OD-10-FG1,OD,SL18-JS-5-MG3,JS,SL18-OD-10-FG1xSL18-JS-5-MG3,OD X JS,1,1,3,21,4,1,0.17,1.003,0.17,11.35,0.019208406,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S142,248,2020,2020_142,GOM,142,6_9_2020,185,,SL18-NL-9-FG5,NL,SL18-NC-15-MG2,NC,SL18-NL-9-FG5xSL18-NC-15-MG2,NL X NC,3,1,3,28,5,1,0.57,1.01,0.56,9.4,0.052976523,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S15,256,2020,2020_15,GOM,15,6_9_2020,185,,SL18-NC-15-FG3,NC,SL18-NL-2-MG3,NL,SL18-NC-15-FG3xSL18-NL-2-MG3,NC X NL,1,1,1,16,3,1,0.22,1.01,0.22,14.01,0.030427018,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S150,257,2020,2020_150,GOM,150,6_9_2020,185,,SL18-JS-19-FG2,JS,SL18-CC-6-MG2,CC,SL18-JS-19-FG2xSL18-CC-6-MG2,JS X CC,1,1,3,36,6,1,0.97,1.04,0.93,14.61,0.135859339,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S155,262,2020,2020_155,GOM,155,6_9_2020,185,,SL18-NC-10-FG3,NC,SL18-LD-2-MG1,LD,SL18-NC-10-FG3xSL18-LD-2-MG1,NC X LD,1,1,3,41,7,1,0.57,0.87,0.65,6.95,0.045437846,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S167,275,2020,2020_167,GOM,167,6_9_2020,185,,SL18-NC-9-FG3,NC,SL18-NL-10-MG2,NL,SL18-NC-9-FG3xSL18-NL-10-MG2,NC X NL,1,1,3,55,10,1,0.08,1,0.08,11.05,0.008841556,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S17,278,2020,2020_17,GOM,17,6_9_2020,185,,SL18-CC-1-FG3,CC,SL18-OI-5-MG3,OI,SL18-CC-1-FG3xSL18-OI-5-MG3,CC X OI,2,1,1,19,4,1,0.84,0.84,1,8.38,0.083890356,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S171,280,2020,2020_171,GOM,171,6_9_2020,185,,SL18-NL-3-FG3,NL,SL18-JS-16-MG2,JS,SL18-NL-3-FG3xSL18-JS-16-MG2,NL X JS,2,1,3,59,10,1,0.05,0.98,0.05,12.31,0.006458379,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S173,282,2020,2020_173,GOM,173,6_9_2020,185,,SL18-CC-6-FG3,CC,SL18-NC-15-MG4,NC,SL18-CC-6-FG3xSL18-NC-15-MG4,CC X NC,3,1,3,61,11,1,0.72,1.04,0.69,12.2,0.084164375,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S175,284,2020,2020_175,GOM,175,6_9_2020,185,,SL18-OI-18-FG1,OI,SL18-OI-17-MG3,OI,SL18-OI-18-FG1xSL18-OI-17-MG3,OI X OI,3,1,4,1,1,1,0.36,0.879,0.41,9.1,0.037111505,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S178,287,2020,2020_178,GOM,178,6_9_2020,185,,SL18-NC-11-FG1,NC,SA18-CB-10-MG1,CB,SL18-NC-11-FG1xSA18-CB-10-MG1,NC X CB,1,1,4,5,1,1,0.55,1.01,0.54,12.03,0.06540226,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S183,293,2020,2020_183,GOM,183,6_9_2020,185,,SL18-NL-6-FG1,NL,SA18-CB-7-MG2,CB,SL18-NL-6-FG1xSA18-CB-7-MG2,NL X CB,1,1,4,11,2,1,0.13,0.95,0.14,12.01,0.016875955,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S187,297,2020,2020_187,GOM,187,6_9_2020,185,,SL18-NC-8-FG3,NC,SL18-OI-15-MG1,OI,SL18-NC-8-FG3xSL18-OI-15-MG1,NC X OI,1,1,4,15,3,1,0.53,0.885,0.6,11.05,0.065921451,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S188,298,2020,2020_188,GOM,188,6_9_2020,185,,SL18-NC-15-FG3,NC,SL18-JS-19-MG2,JS,SL18-NC-15-FG3xSL18-JS-19-MG2,NC X JS,1,1,4,16,3,1,0.04,1.08,0.04,7.88,0.003239634,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S19,300,2020,2020_19,GOM,19,6_9_2020,185,,SL18-SF-19-FG5,SF,SL18-NC-8-MG3,NC,SL18-SF-19-FG5xSL18-NC-8-MG3,SF X NC,1,1,1,21,4,1,0.44,0.945,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S193,304,2020,2020_193,GOM,193,6_9_2020,185,,SL18-SF-19-FG4,SF,SL18-NC-5-MG3,NC,SL18-SF-19-FG4xSL18-NC-5-MG3,SF X NC,1,1,4,21,4,1,0.02,0.97,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S194,305,2020,2020_194,GOM,194,6_9_2020,185,,SL18-JS-5-FG2,JS,SL18-OI-9-MG1,OI,SL18-JS-5-FG2xSL18-OI-9-MG1,JS X OI,1,1,4,22,4,1,0.07,0.955,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S195,306,2020,2020_195,GOM,195,6_9_2020,185,,SL18-CC-7-FG3,CC,SA18-CB-3-MG3,CB,SL18-CC-7-FG3xSA18-CB-3-MG3,CC X CB,1,1,4,23,4,1,0.25,1.07,0.23,12.42,0.028461319,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S196,307,2020,2020_196,GOM,196,6_9_2020,185,,SL18-NC-12-FG3,NC,SA18-CB-4-MG2,CB,SL18-NC-12-FG3xSA18-CB-4-MG2,NC X CB,1,1,4,24,4,1,0.06,0.99,0.06,9.59,0.005880973,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S197,308,2020,2020_197,GOM,197,6_9_2020,185,,SL18-NL-5-FG1,NL,SA18-CB-7-MG2,CB,SL18-NL-5-FG1xSA18-CB-7-MG2,NL X CB,1,1,4,25,5,1,0.16,1.03,0.15,10.34,0.015852145,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S198,309,2020,2020_198,GOM,198,6_9_2020,185,,SL18-OI-15-FG3,OI,SL18-NC-2-MG3,NC,SL18-OI-15-FG3xSL18-NC-2-MG3,OI X NC,1,1,4,26,5,1,0.41,0.92,0.44,12.16,0.05362655,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S203,316,2020,2020_203,GOM,203,6_9_2020,185,,SL18-NC-2-FG2,NC,SL18-JS-19-MG2,JS,SL18-NC-2-FG2xSL18-JS-19-MG2,NC X JS,1,1,4,31,6,1,1.53,1.01,1.51,12.45,0.188514603,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S209,322,2020,2020_209,GOM,209,6_9_2020,185,,SL18-OI-15-FG1,OI,SL18-SF-15-MG1,SF,SL18-OI-15-FG1xSL18-SF-15-MG1,OI X SF,1,1,4,37,7,1,0.4,1.01,0.4,11.17,0.044145672,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S211,325,2020,2020_211,GOM,211,6_9_2020,185,,SL18-JS-16-FG1,JS,SL18-CC-1-MG11,CC,SL18-JS-16-FG1xSL18-CC-1-MG11,JS X CC,3,1,4,39,7,1,0.23,0.83,0.28,9.25,0.025832277,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S212,326,2020,2020_212,GOM,212,6_9_2020,185,,SL18-NL-7-FG4,NL,SL18-JS-5-MG1,JS,SL18-NL-7-FG4xSL18-JS-5-MG1,NL X JS,1,1,4,40,7,1,0.12,0.89,0.13,16,0.021161566,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S214,328,2020,2020_214,GOM,214,6_9_2020,185,,SL18-CC-12-FG2,CC,SL18-JS-6-MG1,JS,SL18-CC-12-FG2xSL18-JS-6-MG1,CC X JS,1,1,4,42,7,1,0.62,0.99,0.63,10.56,0.066193426,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S216,330,2020,2020_216,GOM,216,6_9_2020,185,,SL18-OI-15-FG3,OI,SL18-LL-9-MG4,LL,SL18-OI-15-FG3xSL18-LL-9-MG4,OI X LL,1,1,4,44,8,1,0.32,1.02,0.31,11.33,0.035383477,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S217,331,2020,2020_217,GOM,217,6_9_2020,185,,SL18-LL-9-FG5,LL,SA18-CB-10-MG3,CB,SL18-LL-9-FG5xSA18-CB-10-MG3,LL X CB,3,1,4,45,8,1,0.27,1.01,0.27,13.99,0.037293246,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S218,332,2020,2020_218,GOM,218,6_9_2020,185,,SL18-OI-17-FG1,OI,SL18-JS-5-MG1,JS,SL18-OI-17-FG1xSL18-JS-5-MG1,OI X JS,1,1,4,47,8,1,0.32,1.068,0.3,9.95,0.029377605,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S22,334,2020,2020_22,GOM,22,6_9_2020,185,,SL18-CC-11-FG3,CC,SL18-OI-5-MG2,OI,SL18-CC-11-FG3xSL18-OI-5-MG2,CC X OI,2,1,1,24,4,1,0.17,1.03,0.16,10.51,0.017138395,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S222,337,2020,2020_222,GOM,222,6_9_2020,185,,SL18-CC-2-FG4,CC,SA18-CB-10-MG3,CB,SL18-CC-2-FG4xSA18-CB-10-MG3,CC X CB,3,1,4,51,9,1,0.07,1.02,0.07,14.04,0.009443727,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S223,338,2020,2020_223,GOM,223,6_9_2020,185,,SL18-NC-5-FG1,NC,SL18-NL-9-MG3,NL,SL18-NC-5-FG1xSL18-NL-9-MG3,NC X NL,2,1,4,52,9,1,0.05,0.87,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL19-UCONN-S225,340,2020,2020_225,GOM,225,6_9_2020,185,,SL18-LD-4-FG3,LD,SA18-CB-4-MG1,CB,SL18-LD-4-FG3xSA18-CB-4-MG1,LD X CB,1,1,4,54,9,1,0.79,1.014,0.78,12.03,0.093646141,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
