"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",0.052660610006494,-0.179870236910538,0.233365573699037,33.17383401561
"SL18-OI-5",-0.108994587553198,-1.29107061952646,0.178866563829697,-17.0891107569694
"SL18-OI-6",0.242252434939531,1.77502772199894,0.537317480141676,-24.966685021738
"SL18-OI-11",0.0392760943546083,0.214011016161321,0.0469449721913316,9.48460786807039
"SL18-OI-15",0.109351266352094,1.10292204986093,0.0839607843169344,51.4822684130381
"SL18-OI-16",-0.0976875921860376,-0.960155258704317,0.147092634117193,13.3666947150207
"SL18-OI-17",0.0466832828095394,0.577802845670645,-0.0330272619395843,-8.22208685123902
"SL18-OI-18",-0.0243014918490488,-0.652665244030183,0.277404391963973,-43.4661385789031
"SL18-LD-1",-0.0537907885555529,-1.18534066145545,0.235866521427935,-17.2091259035793
"SL18-LD-3",-0.0104637013097112,-0.377320458653409,0.100344766758941,-7.3875185168605
"SL18-LD-4",-0.0186996786176011,-0.505621444354779,0.0972133158231363,-8.96231254863427
"SL18-LD-5",-0.0632785380994591,-0.68363938492802,-0.0137205054097088,-18.1180794027398
"SL18-LD-9",-0.0163126826339619,-0.506323144048071,0.0918221165716409,-29.5115564304313
"SL18-LD-10",0.0146096003837344,-0.0490401079828076,0.0718094516254359,8.82974645270226
"SL18-LD-13",-0.0591487103715647,-0.636000846110203,0.108288790298333,23.6029593965095
"SL18-FW-2",0.0668028425944765,0.6772205973457,0.0255560316539986,15.391680694181
"SL18-FI-1",0.0647504079183215,0.618930050467544,0.00949080256128956,18.5997039583816
"SL18-FI-2",0.0608150399984474,0.593168653322301,0.00902357962587014,15.3895670707518
"SL18-CC-1",-0.0229586272003865,-0.179585246554266,0.0631600211104834,3.41590365986233
"SL18-CC-2",0.140363755214103,2.07379296362067,-0.129920274069831,1.59387843951696
"SL18-CC-3",0.124959376910311,0.871800592315504,0.0834234598159984,-3.44937236848085
"SL18-CC-4",-0.00422704956615098,0.111307200731446,-0.0453579434245251,-12.3237061871637
"SL18-CC-5",0.135703573871975,1.5717801408771,-0.177816977585422,-7.56726117640839
"SL18-CC-6",-0.0733816390344867,-0.570908684035171,-0.104294727077883,-23.0373315894099
"SL18-CC-7",0.0994656573890139,1.16694763014077,-0.0944927810815074,9.42506389542565
"SL18-CC-8",-0.0777192395543654,-0.452797141531181,-0.139907628113921,-9.84303658458338
"SL18-CC-9",0.00122410750615795,0.224415637903813,-0.0762797304614855,0.0348809545524835
"SL18-CC-12",0.201317164296269,2.11650636977969,-0.0054102946422222,39.1470585109835
"SL18-FW-14",0.056383170504753,0.528686393076478,0.0396522185957881,9.58136543978456
"SL18-NC-2",0.103103303037506,1.21019863087215,-0.0949930547785193,11.4463434730514
"SL18-NC-1",-0.106552120945651,-0.991222162959853,-0.0675058369052064,-9.30456617057065
"SL18-NC-5",-0.184217400447153,-1.7355846033226,-0.196773876387479,-20.2999535445025
"SL18-JS-6",0.182914809587479,1.16815723601758,0.596605641061263,-11.2085037723217
"SL18-JS-5",-0.117731054858122,-0.606774065986919,-0.327451405225766,-28.9357241313697
"SL18-JS-9",-0.240038852516714,-2.25908109903346,-0.132218898291464,-26.3869103548719
"SL18-NC-8",-0.158827597514582,-1.45642118817331,0.0168780865794518,-25.5094313411173
"SL18-NC-10",-0.214837572017325,-1.72359780397446,-0.511204330950485,-9.92040691475585
"SL18-NC-9",-0.096156917321642,-0.95553574553628,0.100254280953859,-11.7842294363424
"SL18-NC-12",-0.148473271214713,-1.42752557426838,-0.0466036345770258,-13.6218694399429
"SL18-NL-2",-0.0967386913632383,-1.09808357171992,-0.0793484449929733,-15.5182034425677
"SL18-NL-3",-0.0793544554088603,-0.593345822342164,-0.150775968640867,-20.1813154059825
"SL18-NL-5",-0.0511318557619301,-0.655390871050666,-0.0438142897490466,-9.61928171285816
"SL18-NL-7",-0.10282833715186,-1.07286929826938,0.0542920272376779,-39.4308343367014
"SL18-NL-6",0.00295398924548919,0.352426905462836,-0.220631166163684,75.2131997098183
"SL18-NL-9",-0.0896653011802827,-0.531602754872061,-0.31277124116504,-6.9576830063901
"SL18-NL-10",-0.0625188084346356,-0.370927069700355,-0.0906643109691017,14.7409893210444
"SL18-JS-19",-0.174633786788547,-1.62149107345981,-0.0347551045737952,-48.9958485324674
"SL18-JS-16",-0.149700041872303,-1.4759694734974,-0.0752315768990464,-23.9655951319061
"SL18-JS-11",-0.126554432604473,-0.987678799360294,-0.185758074334512,0.737018618743335
"SL18-BL-10",0.0401229084186247,0.456048972229519,0.00871455154182672,15.1544831584648
"SL18-BL-11",0.0636645506076867,0.603263164056405,0.0169039557949549,14.9715865194292
"SL18-BL-12",0.0666957649606966,0.59586922783415,0.0563533373938238,14.7721362725683
"SL18-BL-13",0.057857263819284,0.617440944255283,0.00778383126603903,14.6155317508959
"SL18-BL-14",0.0613169853208556,0.584123501645583,0.0324056577421962,11.6765091766847
"SL18-BL-15",0.0603763487025381,0.567690643517136,0.0293095855857557,15.3502941834116
