"","dryWgtPerM","wetWgtPerM","percDryWgt","plotDensity"
"h2hMat",0.357229318380996,0.429954720700663,0.0595438946491292,0.266867869488677
"Vus",0.0432127101766402,3.82567781665934,0.428887882604276,5395.26643829001
"ErrVars",0.0777535934080854,5.07218428943624,6.77399807458006,14821.7287684669
