"","dryWgtPerM","wetWgtPerM","percDryWgt","plotDensity"
"h2hMat",0.440856845543784,0.498739788423764,0.0211252281087989,0.35904677654929
"Vus",0.00375812495903949,0.0927753214762787,0.11483287307221,9766.54317369346
"ErrVars",0.00476646754083189,0.0932441693076616,5.32098407909511,17434.76821965
