Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S218,5,,,,,,,,,,,,,,,
S219,1,,,,,,,,,,,,,,,
S219,2,,,,,,,,,,,,,,,
S219,3,,,,,,,,,,,,,,,
S219,4,,,,,,,,,,,,,,,
S219,5,,,,,,,,,,,,,,,
S220,1,158.3,20.6,0.85,4.9,3.48,170.9,17.12,10.01755413,,,No,Yes,Yes,No,
S220,2,132.8,18.3,0.84,3.7,3.26,148.18,14.65,9.886624376,,,No,Yes,Yes,No,
S220,3,133.1,18.3,0.8,3.3,2.94,135.6,12.88,9.498525074,,,No,Yes,No,No,
S220,4,72.4,10,0.62,3.7,2.79,34.06,2.83,8.308866706,,,No,Yes,No,No,
S220,5,56,11.6,0.53,NA,NA,29.8,2.37,7.953020134,,,No,Yes,No,No,no stipe
S221,1,,,,,,,,,,,,,,,
S221,2,,,,,,,,,,,,,,,
S221,3,,,,,,,,,,,,,,,
S221,4,,,,,,,,,,,,,,,
S221,5,,,,,,,,,,,,,,,
S222,1,,,,,,,,,,,,,,,
S222,2,,,,,,,,,,,,,,,
S222,3,,,,,,,,,,,,,,,
S222,4,,,,,,,,,,,,,,,
S222,5,,,,,,,,,,,,,,,
Check1,1,,,,,,,,,,,,,,,
Check1,2,,,,,,,,,,,,,,,
Check1,3,,,,,,,,,,,,,,,
Check1,4,,,,,,,,,,,,,,,
Check1,5,,,,,,,,,,,,,,,
S223,1,181.1,11.8,0.81,10.6,3.99,147,15.49,10.53741497,,,No,Yes,No,Yes,
S223,2,217.3,8.8,0.79,15,4.88,118.8,11.56,9.730639731,,,No,Yes,No,Yes,
S223,3,210.7,7.6,0.79,11.5,3.97,83.32,8.76,10.51368219,,,No,Yes,No,Yes,
S223,4,207.6,10.7,0.87,5.7,3.81,165.11,16.65,10.0841863,,,No,Yes,No,Yes,
S223,5,207.3,8.8,0.73,6.5,2.92,120.19,12.43,10.34195857,,,No,Yes,No,Yes,
S224,1,,,,,,,,,,,,,,,
S224,2,,,,,,,,,,,,,,,
S224,3,,,,,,,,,,,,,,,
S224,4,,,,,,,,,,,,,,,
S224,5,,,,,,,,,,,,,,,
S225,1,,,,,,,,,,,,,,,
S225,2,,,,,,,,,,,,,,,
S225,3,,,,,,,,,,,,,,,
S225,4,,,,,,,,,,,,,,,
S225,5,,,,,,,,,,,,,,,
S226,1,,,,,,,,,,,,,,,
S226,2,,,,,,,,,,,,,,,
S226,3,,,,,,,,,,,,,,,
S226,4,,,,,,,,,,,,,,,
S226,5,,,,,,,,,,,,,,,
