Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S284,3,263.9,3.9,0.9,33.9,4.7,73.65,6.27,8.513238289,,,No,Yes,No,Yes,broken stipe and blade
S284,4,310.9,7.1,1.11,14.5,5.1,177.1,19.27,10.88085827,,,No,Yes,Yes,Yes,broken stipe and blade
S284,5,205.4,5.3,1.02,22.8,5.15,60.42,5.62,9.301555776,,,No,Yes,No,Yes,
S285,1,137,12.7,1.06,10,4.75,133.17,12.51,9.394007659,,,Yes,Yes,Yes,Yes,
S285,2,169.5,13.6,1.07,12.8,5.52,126.71,11.32,8.93378581,,,Yes,Yes,No,Yes,
S285,3,166.1,11.6,1.04,11,5,129.89,13.69,10.53968743,,,Yes,Yes,No,Yes,
S285,4,118.5,14.1,0.91,8.6,4.64,84.14,7.96,9.460423104,,,Yes,Yes,No,Yes,
S285,5,140.1,15.7,0.9,6.7,4.96,105.96,10.31,9.730086825,,,Yes,Yes,Yes,Yes,
Check3,1,,,,,,,,,,,,,,,
Check3,2,,,,,,,,,,,,,,,
Check3,3,,,,,,,,,,,,,,,
Check3,4,,,,,,,,,,,,,,,
Check3,5,,,,,,,,,,,,,,,
S286,1,,,,,,,,,,,,,,,
S286,2,,,,,,,,,,,,,,,
S286,3,,,,,,,,,,,,,,,
S286,4,,,,,,,,,,,,,,,
S286,5,,,,,,,,,,,,,,,
S287,1,77.4,22.6,0.64,13,5.04,69.17,7.46,10.78502241,,,Yes,Yes,No,Yes,
S287,2,76.6,22,0.78,24.5,5.55,80.56,6.95,8.627110228,,,No,Yes,No,Yes,
S287,3,149,34,0.75,70.5,8.49,337.49,33.87,10.03585291,,,No,Yes,No,Yes,
S287,4,28.3,10.9,0.24,6.6,2.67,8.06,0.71,8.808933002,,,No,Yes,No,Yes,
S287,5,94.6,28.1,0.85,25.7,5.47,123.86,12.81,10.34232198,,,No,Yes,No,Yes,
S288,1,84.6,13.2,0.81,22,5.81,62.5,6.23,9.968,,,No,Yes,No,Yes,broken blade
S288,2,143.2,12.1,0.63,10.4,4.72,128.78,15.49,12.02826526,,,No,Yes,Yes,Yes,
S288,3,111.6,15.6,0.69,21.5,5.9,103.12,11.33,10.98719938,,,No,Yes,No,Yes,broken blade
S288,4,36.4,11.6,0.52,8.7,4.17,43.25,4.92,11.37572254,,,No,Yes,No,Yes,
S288,5,59.5,16.2,0.52,8.6,4.3,47.91,4.15,8.662074723,,,No,No,No,Yes,broken blade
S289,1,,,,,,,,,,,,,,,
S289,2,,,,,,,,,,,,,,,
S289,3,,,,,,,,,,,,,,,
S289,4,,,,,,,,,,,,,,,
S289,5,,,,,,,,,,,,,,,
S290,1,,,,,,,,,,,,,,,
S290,2,,,,,,,,,,,,,,,
S290,3,,,,,,,,,,,,,,,
S290,4,,,,,,,,,,,,,,,
S290,5,,,,,,,,,,,,,,,
S291,1,143.8,23.5,0.84,7.6,3.76,191.91,20.21,10.53097806,,,No,Yes,Yes,Yes,
S291,2,179.4,22.6,0.98,10,3.8,249.04,28.22,11.33151301,,,No,Yes,Yes,Yes,
S291,3,136.7,24.8,0.95,7.9,4.11,237.04,24.09,10.16284171,,,No,Yes,Yes,Yes,
S291,4,166.8,23.1,0.78,10.3,3.68,204.55,19.37,9.469567343,,,No,Yes,No,Yes,
S291,5,124.4,19.5,1.02,11,5.37,141.78,14.94,10.53745239,,,No,Yes,No,Yes,
S292,1,181.4,22.5,1.07,41.4,7.2,232.4,22.92,9.862306368,,,Yes,Yes,Yes,No,
S292,2,213.4,23.8,0.95,13.1,6.01,259.59,28.42,10.94803344,,,Yes,Yes,Yes,No,
S292,3,189.6,17.5,0.94,19.7,5.49,173.3,18.72,10.80207732,,,Yes,Yes,Yes,No,
S292,4,149.6,19.1,0.81,14.1,4.15,136.35,12.87,9.438943894,,,Yes,Yes,Yes,No,
S292,5,141.9,22.4,0.81,12.3,5.37,142.78,15.44,10.81383947,,,Yes,Yes,Yes,No,
S293,1,,,,,,,,,,,,,,,
S293,2,,,,,,,,,,,,,,,
S293,3,,,,,,,,,,,,,,,
S293,4,,,,,,,,,,,,,,,
S293,5,,,,,,,,,,,,,,,
S294,1,,,,,,,,,,,,,,,
S294,2,,,,,,,,,,,,,,,
S294,3,,,,,,,,,,,,,,,
S294,4,,,,,,,,,,,,,,,
S294,5,,,,,,,,,,,,,,,
S295,1,,,,,,,,,,,,,,,
S295,2,,,,,,,,,,,,,,,
S295,3,,,,,,,,,,,,,,,
S295,4,,,,,,,,,,,,,,,
S295,5,,,,,,,,,,,,,,,
S296,1,147.5,23.4,0.87,67.4,8.38,174.58,15.85,9.078932295,,,No,Yes,No,Yes,ruffles
S296,2,165.1,22.3,0.83,63,8.03,202.24,18.38,9.088212025,,,No,Yes,No,Yes,ruffles
S296,3,105.2,19.5,0.83,41.5,7.14,276.99,23.09,8.336041012,,,No,Yes,No,Yes,ruffles
S296,4,218.8,20.7,1.03,63,8.61,275.7,28.15,10.21037359,,,Yes,Yes,Yes,Yes,ruffles
S296,5,176.1,20.6,0.8,53.5,7.05,174.88,18.89,10.80169259,,,No,Yes,No,Yes,ruffles
S297,1,,,,,,,,,,,,,,,
S297,2,,,,,,,,,,,,,,,
S297,3,,,,,,,,,,,,,,,
S297,4,,,,,,,,,,,,,,,
S297,5,,,,,,,,,,,,,,,
S298,1,,,,,,,,,,,,,,,
S298,2,,,,,,,,,,,,,,,
S298,3,,,,,,,,,,,,,,,
S298,4,,,,,,,,,,,,,,,
S298,5,,,,,,,,,,,,,,,
S299,1,,,,,,,,,,,,,,,
S299,2,,,,,,,,,,,,,,,
S299,3,,,,,,,,,,,,,,,
S299,4,,,,,,,,,,,,,,,
S299,5,,,,,,,,,,,,,,,
S300,1,,,,,,,,,,,,,,,
S300,2,,,,,,,,,,,,,,,
S300,3,,,,,,,,,,,,,,,
S300,4,,,,,,,,,,,,,,,
S300,5,,,,,,,,,,,,,,,
S301,1,,,,,,,,,,,,,,,
S301,2,,,,,,,,,,,,,,,
S301,3,,,,,,,,,,,,,,,
S301,4,,,,,,,,,,,,,,,
S301,5,,,,,,,,,,,,,,,
S302,1,,,,,,,,,,,,,,,
S302,2,,,,,,,,,,,,,,,
S302,3,,,,,,,,,,,,,,,
S302,4,,,,,,,,,,,,,,,
S302,5,,,,,,,,,,,,,,,
S303,1,,,,,,,,,,,,,,,
S303,2,,,,,,,,,,,,,,,
S303,3,,,,,,,,,,,,,,,
S303,4,,,,,,,,,,,,,,,
S303,5,,,,,,,,,,,,,,,
S304,1,,,,,,,,,,,,,,,
S304,2,,,,,,,,,,,,,,,
S304,3,,,,,,,,,,,,,,,
S304,4,,,,,,,,,,,,,,,
S304,5,,,,,,,,,,,,,,,
S305,1,,,,,,,,,,,,,,,
S305,2,,,,,,,,,,,,,,,
S305,3,,,,,,,,,,,,,,,
S305,4,,,,,,,,,,,,,,,
S305,5,,,,,,,,,,,,,,,
S306,1,,,,,,,,,,,,,,,
S306,2,,,,,,,,,,,,,,,
S306,3,,,,,,,,,,,,,,,
S306,4,,,,,,,,,,,,,,,
S306,5,,,,,,,,,,,,,,,
S307,1,,,,,,,,,,,,,,,
S307,2,,,,,,,,,,,,,,,
S307,3,,,,,,,,,,,,,,,
S307,4,,,,,,,,,,,,,,,
S307,5,,,,,,,,,,,,,,,
S308,1,135.1,12.9,0.84,7,3.64,86.22,10.08,11.69102296,,,No,Yes,Yes,Yes,
S308,2,83.4,6.1,0.72,6.9,3.16,28.31,2.86,10.1024373,,,No,Yes,No,Yes,
S308,3,116,19.1,0.8,13.8,4.48,88.47,8.86,10.01469425,,,No,Yes,No,Yes,broken blade
S308,4,51.9,9.2,0.67,10.5,4.05,21.4,1.96,9.158878505,,,No,Yes,No,Yes,broken blade
S308,5,53,7.4,0.95,6.6,3.45,35.31,3.51,9.940526763,,,No,Yes,No,Yes,broken blade
S309,1,69.1,12,0.73,11.8,5.74,33.95,3.5,10.30927835,,,No,Yes,No,Yes,
S309,2,57.1,13.3,0.98,15.3,5.43,35.53,3.89,10.94849423,,,No,Yes,No,Yes,
S309,3,83.6,13.1,0.92,10,6.35,58.16,5.91,10.16162311,,,No,Yes,No,Yes,
S309,4,75.2,13.7,0.83,8.2,5.14,45.08,4.6,10.20408163,,,No,Yes,No,Yes,
S309,5,48.8,9.8,1.7,8.1,5.07,27.41,2.31,8.427581175,,,No,Yes,No,Yes,
S310,1,13.5,4.4,0.41,4.2,2.28,2.87,0.22,7.665505226,,,Yes,No,No,Yes,
S310,2,37.6,7.9,0.31,6.1,2.93,10.14,0.88,8.678500986,,,No,No,No,No,
S310,3,76.4,14.8,0.43,5.5,3.01,49.47,5.24,10.59227815,,,No,Yes,No,Yes,
S310,4,18.2,5,0.28,4.4,3.41,5.47,0.56,10.23765996,,,No,Yes,No,Yes,
S310,5,7.7,5,0.35,4.5,3.08,2.67,0.28,10.48689139,,,No,No,No,Yes,broken blade
S311,1,180.4,20.3,1.1,25.7,6.83,190.06,19.58,10.30200989,,,Yes,Yes,No,No,
S311,2,149.8,21.1,0.99,10.9,5.1,163.1,15.81,9.693439608,,,Yes,Yes,Yes,No,wide blade
S311,3,184.8,22.6,0.87,28.1,7.8,196.65,18.94,9.631324689,,,Yes,Yes,Yes,No,
S311,4,127.5,16.1,1.02,16.1,6.96,107.15,10.54,9.836677555,,,Yes,Yes,No,No,
S311,5,154.4,15.1,0.99,8.7,5.4,90.67,7.34,8.095290614,,,Yes,Yes,No,No,
S312,1,,,,,,,,,,,,,,,
S312,2,,,,,,,,,,,,,,,
S312,3,,,,,,,,,,,,,,,
S312,4,,,,,,,,,,,,,,,
S312,5,,,,,,,,,,,,,,,
S313,1,,,,,,,,,,,,,,,
S313,2,,,,,,,,,,,,,,,
S313,3,,,,,,,,,,,,,,,
S313,4,,,,,,,,,,,,,,,
S313,5,,,,,,,,,,,,,,,
S314,1,,,,,,,,,,,,,,,
S314,2,,,,,,,,,,,,,,,
S314,3,,,,,,,,,,,,,,,
S314,4,,,,,,,,,,,,,,,
S314,5,,,,,,,,,,,,,,,
S315,1,,,,,,,,,,,,,,,
S315,2,,,,,,,,,,,,,,,
S315,3,,,,,,,,,,,,,,,
S315,4,,,,,,,,,,,,,,,
S315,5,,,,,,,,,,,,,,,
S316,1,,,,,,,,,,,,,,,
S316,2,,,,,,,,,,,,,,,
S316,3,,,,,,,,,,,,,,,
S316,4,,,,,,,,,,,,,,,
S316,5,,,,,,,,,,,,,,,
S317,1,106.3,19.1,1.15,NA,NA,146.7,12.85,8.75937287,,,Yes,Yes,No,No,broken stipe
S317,2,88.5,13.7,0.95,3.2,3.3,81.54,7.39,9.063036546,,,No,Yes,No,No,broken stipe
S317,3,93.7,22.3,1.01,3.9,3.9,134.03,12.64,9.430724465,,,Yes,Yes,No,No,
S317,4,142.5,18.2,1.13,3.9,4.2,221.25,19.26,8.705084746,,,Yes,Yes,No,No,
S317,5,114.2,19.9,1.08,5.4,4.73,201.3,18.45,9.165424739,,,Yes,Yes,No,No,
S318,1,,,,,,,,,,,,,,,
S318,2,,,,,,,,,,,,,,,
S318,3,,,,,,,,,,,,,,,
S318,4,,,,,,,,,,,,,,,
S318,5,,,,,,,,,,,,,,,
S319,1,,,,,,,,,,,,,,,
S319,2,,,,,,,,,,,,,,,
S319,3,,,,,,,,,,,,,,,
S319,4,,,,,,,,,,,,,,,
S319,5,,,,,,,,,,,,,,,
S320,1,,,,,,,,,,,,,,,
S320,2,,,,,,,,,,,,,,,
S320,3,,,,,,,,,,,,,,,
S320,4,,,,,,,,,,,,,,,
S320,5,,,,,,,,,,,,,,,
Check1,1,,,,,,,,,,,,,,,
Check1,2,,,,,,,,,,,,,,,
Check1,3,,,,,,,,,,,,,,,
Check1,4,,,,,,,,,,,,,,,
Check1,5,,,,,,,,,,,,,,,
S321,1,,,,,,,,,,,,,,,
S321,2,,,,,,,,,,,,,,,
S321,3,,,,,,,,,,,,,,,
S321,4,,,,,,,,,,,,,,,
S321,5,,,,,,,,,,,,,,,
S322,1,187.8,25.5,0.83,18.2,6.09,281.2,32.31,11.49004267,,,No,Yes,Yes,Yes,
S322,2,92.3,19.4,0.65,15.3,4.8,84.68,9.56,11.2895607,,,No,Yes,Yes,Yes,
S322,3,109,16.4,0.69,27.1,5.22,102.76,9.47,9.215648112,,,No,Yes,Yes,Yes,
S322,4,56.7,9.4,0.42,12.8,3.88,26.45,2.41,9.111531191,,,No,Yes,No,Yes,
S322,5,178.3,22.3,0.91,22.3,5.94,228.76,25.18,11.00716909,,,No,Yes,Yes,Yes,
S323,1,,,,,,,] ,,,,,,,,
S323,2,,,,,,,,,,,,,,,
S323,3,,,,,,,,,,,,,,,
S323,4,,,,,,,,,,,,,,,
S323,5,,,,,,,,,,,,,,,
S324,1,,,,,,,,,,,,,,,
S324,2,,,,,,,,,,,,,,,
S324,3,,,,,,,,,,,,,,,
S324,4,,,,,,,,,,,,,,,
S324,5,,,,,,,,,,,,,,,
S325,1,,,,,,,,,,,,,,,
S325,2,,,,,,,,,,,,,,,
S325,3,,,,,,,,,,,,,,,
S325,4,,,,,,,,,,,,,,,
S325,5,,,,,,,,,,,,,,,
S326,1,,,,,,,,,,,,,,,
S326,2,,,,,,,,,,,,,,,
S326,3,,,,,,,,,,,,,,,
S326,4,,,,,,,,,,,,,,,
S326,5,,,,,,,,,,,,,,,
S327,1,,,,,,,,,,,,,,,
S327,2,,,,,,,,,,,,,,,
S327,3,,,,,,,,,,,,,,,
S327,4,,,,,,,,,,,,,,,
S327,5,,,,,,,,,,,,,,,
S328,1,,,,,,,,,,,,,,,
S328,2,,,,,,,,,,,,,,,
S328,3,,,,,,,,,,,,,,,
S328,4,,,,,,,,,,,,,,,
S328,5,,,,,,,,,,,,,,,
S329,1,,,,,,,,,,,,,,,
S329,2,,,,,,,,,,,,,,,
S329,3,,,,,,,,,,,,,,,
S329,4,,,,,,,,,,,,,,,
S329,5,,,,,,,,,,,,,,,
S330,1,,,,,,,,,,,,,,,
S330,2,,,,,,,,,,,,,,,
S330,3,,,,,,,,,,,,,,,
S330,4,,,,,,,,,,,,,,,
S330,5,,,,,,,,,,,,,,,
S331,1,,,,,,,,,,,,,,,
S331,2,,,,,,,,,,,,,,,
S331,3,,,,,,,,,,,,,,,
S331,4,,,,,,,,,,,,,,,
S331,5,,,,,,,,,,,,,,,
Check1,1,,,,,,,,,,,,,,,
Check1,2,,,,,,,,,,,,,,,
Check1,3,,,,,,,,,,,,,,,
Check1,4,,,,,,,,,,,,,,,
Check1,5,,,,,,,,,,,,,,,
S332,1,,,,,,,,,,,,,,,
S332,2,,,,,,,,,,,,,,,
S332,3,,,,,,,,,,,,,,,
S332,4,,,,,,,,,,,,,,,
S332,5,,,,,,,,,,,,,,,
S333,1,170.9,13.2,0.71,9.8,3.73,121.36,13.52,11.1404087,,,No,Yes,No,No,
S333,2,155.3,12.7,0.71,8.9,5.47,109.82,10.71,9.752321981,,,No,Yes,No,No,
S333,3,126.8,8.7,0.6,10.1,4.24,46.19,4.49,9.72071877,,,No,Yes,No,No,
S333,4,148,13.2,0.68,13.2,4.47,75.53,8.12,10.75069509,,,No,Yes,No,No,
S333,5,155,10.3,0.84,22,5.4,74.95,7.51,10.02001334,,,No,Yes,No,No,
S334,1,70.6,18,0.53,18,5.12,56.12,5.09,9.069850321,,,No,Yes,No,Yes,ruffles
S334,2,156.9,19.1,0.68,17.8,5.08,170.7,19.5,11.42355009,,,No,Yes,No,Yes,"ruffles, broken blade"
S334,3,,,,,,,,,,,,,,,
S334,4,,,,,,,,,,,,,,,
S334,5,,,,,,,,,,,,,,,
S335,1,68.2,20.3,0.81,5.2,3.73,119.41,10.86,9.094715685,,,No,Yes,No,Yes,
S335,2,72.1,12.5,0.76,3.2,3.23,78.55,7.23,9.204328453,,,No,Yes,No,Yes,
S335,3,68.9,17.3,0.69,6.2,2.99,91.84,7.94,8.645470383,,,Yes,Yes,No,Yes,
S335,4,63.2,18.7,0.61,2.5,2.34,63.36,5.51,8.696338384,,,No,Yes,No,Yes,
S335,5,38.2,10.7,0.44,1.2,2,17.28,1.69,9.780092593,,,No,Yes,No,Yes,
S336,1,,,,,,,,,,,,,,,
S336,2,,,,,,,,,,,,,,,
S336,3,,,,,,,,,,,,,,,
S336,4,,,,,,,,,,,,,,,
S336,5,,,,,,,,,,,,,,,
Check2,1,,,,,,,,,,,,,,,
Check2,2,,,,,,,,,,,,,,,
Check2,3,,,,,,,,,,,,,,,
Check2,4,,,,,,,,,,,,,,,
Check2,5,,,,,,,,,,,,,,,
S337,1,,,,,,,,,,,,,,,
S337,2,,,,,,,,,,,,,,,
S337,3,,,,,,,,,,,,,,,
S337,4,,,,,,,,,,,,,,,
S337,5,,,,,,,,,,,,,,,
S338,1,,,,,,,,,,,,,,,
S338,2,,,,,,,,,,,,,,,
S338,3,,,,,,,,,,,,,,,
S338,4,,,,,,,,,,,,,,,
S338,5,,,,,,,,,,,,,,,
S339,1,213.6,13,0.82,13.3,4.4,108.17,10.53,9.734676897,,,No,Yes,No,Yes,
S339,2,210.4,15.3,0.73,8.4,4.24,116.11,11.39,9.80966325,,,No,No,Yes,Yes,
S339,3,150.9,8.7,0.78,12.2,3.94,57.71,5.95,10.31017155,,,No,Yes,No,No,
S339,4,162.9,7.8,0.91,15.7,4.13,53.12,4.76,8.960843373,,,No,No,No,No,
S339,5,184,13,0.59,13.2,4.43,91.81,9.24,10.06426315,,,No,No,No,Yes,
S340,1,,,,,,,,,,,,,,,
S340,2,,,,,,,,,,,,,,,
S340,3,,,,,,,,,,,,,,,
S340,4,,,,,,,,,,,,,,,
S340,5,,,,,,,,,,,,,,,
S341,1,105.5,15.3,0.71,4.3,3.32,71.53,6.15,8.597791137,,,Yes,Yes,No,No,
S341,2,102.2,17.7,0.65,5.6,3.59,84.45,6.69,7.921847247,,,Yes,Yes,No,No,
S341,3,94.8,9.4,0.6,6.1,3.57,57.79,4.49,7.769510296,,,Yes,Yes,No,No,
S341,4,102.3,14.3,0.69,3.9,2.9,74.23,5.94,8.002155463,,,No,Yes,No,No,
S341,5,112.5,15.4,0.69,6.2,3.41,74.3,7.05,9.488559892,,,Yes,Yes,No,No,
S342,1,131.3,13.3,0.71,8.1,3.64,76.89,9.22,11.9911562,,,Yes,Yes,No,Yes,
S342,2,98.7,16.4,0.75,5.4,3.6,86.54,8.63,9.97226716,,,Yes,Yes,No,Yes,
S342,3,137.3,14.6,0.84,8.3,4.12,83.6,8.71,10.41866029,,,No,Yes,No,Yes,
S342,4,111.7,23.7,0.7,5.3,3.38,122.68,14.9,12.14541898,,,Yes,Yes,Yes,Yes,
S342,5,78.9,10.3,0.61,8.5,4,34.08,3.15,9.242957746,,,No,Yes,No,Yes,
S343,1,,,,,,,,,,,,,,,
S343,2,,,,,,,,,,,,,,,
S343,3,,,,,,,,,,,,,,,
S343,4,,,,,,,,,,,,,,,
S343,5,,,,,,,,,,,,,,,
S344,1,,,,,,,,,,,,,,,
S344,2,,,,,,,,,,,,,,,
S344,3,,,,,,,,,,,,,,,
S344,4,,,,,,,,,,,,,,,
S344,5,,,,,,,,,,,,,,,
S345,1,81.8,9.8,0.86,8.5,3.34,27.93,2.78,9.953455066,,,No,Yes,No,Yes,
S345,2,134.8,13.7,0.76,5.3,3.97,98.99,10.25,10.35458127,,,No,Yes,No,Yes,
S345,3,124.6,13.2,0.94,8.1,3.74,193.09,19.48,10.08855974,,,No,Yes,Yes,Yes,
S345,4,96.8,11.9,1,12.2,5.56,92.4,7.75,8.387445887,,,No,Yes,No,Yes,
S345,5,70.5,11.1,0.63,5.7,3.47,33.19,3.45,10.3946972,,,No,Yes,No,Yes,
S346,1,,,,,,,,,,,,,,,
S346,2,,,,,,,,,,,,,,,
S346,3,,,,,,,,,,,,,,,
S346,4,,,,,,,,,,,,,,,
S346,5,,,,,,,,,,,,,,,
S347,1,,,,,,,,,,,,,,,
S347,2,,,,,,,,,,,,,,,
S347,3,,,,,,,,,,,,,,,
S347,4,,,,,,,,,,,,,,,
S347,5,,,,,,,,,,,,,,,
S348,1,,,,,,,,,,,,,,,
S348,2,,,,,,,,,,,,,,,
S348,3,,,,,,,,,,,,,,,
S348,4,,,,,,,,,,,,,,,
S348,5,,,,,,,,,,,,,,,
S349,1,,,,,,,,,,,,,,,
S349,2,,,,,,,,,,,,,,,
S349,3,,,,,,,,,,,,,,,
S349,4,,,,,,,,,,,,,,,
S349,5,,,,,,,,,,,,,,,
S350,1,,,,,,,,,,,,,,,
S350,2,,,,,,,,,,,,,,,
S350,3,,,,,,,,,,,,,,,
S350,4,,,,,,,,,,,,,,,
S350,5,,,,,,,,,,,,,,,
S351,1,,,,,,,,,,,,,,,
S351,2,,,,,,,,,,,,,,,
S351,3,,,,,,,,,,,,,,,
S351,4,,,,,,,,,,,,,,,
S351,5,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,
S352,1,20,3.4,0.17,0.44,0.5,0.65,,0,,,No,Yes,No,No,
S352,2,20.6,4.1,0.17,0.79,0.7,0.8,,0,,,No,Yes,No,No,
S352,3,19.5,3.7,0.2,0.63,0.74,0.87,,0,,,No,Yes,No,No,
S352,4,19.8,4.4,0.34,0.67,0.84,0.81,,0,,,No,Yes,No,No,
S352,5,23.9,3.8,0.19,0.74,0.75,1.01,,0,,,No,Yes,No,No,
S352,6,35.7,6,0.23,1.2,1.08,2.92,,0,,,Yes,Yes,No,No,
S352,7,31.1,5.2,0.2,0.67,1.05,2.14,,0,,,Yes,Yes,No,No,
S352,8,23.4,4.5,0.18,1.01,0.9,1.06,,0,,,Yes,Yes,No,No,
S352,9,25.4,4.3,0.17,NA,NA,1.12,,0,,,Yes,Yes,No,No,
S352,10,14,5.7,0.22,0.84,1.8,1.2,,0,,,No,Yes,No,No,
S353,1,,,,,,,,,,,,,,,
S353,2,,,,,,,,,,,,,,,
S353,3,,,,,,,,,,,,,,,
S353,4,,,,,,,,,,,,,,,
S353,5,,,,,,,,,,,,,,,
S354,1,20.4,4.6,0.34,2.34,0.63,1.42,,0,,,Yes,Yes,No,No,
S354,2,23.8,4.2,0.1,7.75,0.91,1.45,,0,,,No,Yes,No,No,
S354,3,23,3.2,0.14,6.86,0.81,1.11,,0,,,No,Yes,No,No,
S354,4,20.5,4.3,0.12,6.47,0.82,1.05,,0,,,No,Yes,No,No,
S354,5,21,3.2,0.14,8.91,0.53,0.83,,0,,,No,Yes,No,No,
S354,6,16.2,4.4,0.13,6.01,0.88,0.86,,0,,,No,Yes,No,No,
S354,7,17.9,3.6,0.13,6.23,0.74,0.81,,0,,,No,Yes,No,No,
S354,8,25.4,5,0.08,8.07,0.99,1.79,,0,,,Yes,Yes,No,No,
S354,9,20.8,3.7,0.09,8.54,0.76,0.8,,0,,,No,Yes,No,No,
S354,10,24.5,4,0.16,9.38,0.7,1.04,,0,,,No,Yes,No,No,
S355,1,,,,,,,,,,,,,,,
S355,2,,,,,,,,,,,,,,,
S355,3,,,,,,,,,,,,,,,
S355,4,,,,,,,,,,,,,,,
S355,5,,,,,,,,,,,,,,,
S356,1,,,,,,,,,,,,,,,
S356,2,,,,,,,,,,,,,,,
S356,3,,,,,,,,,,,,,,,
S356,4,,,,,,,,,,,,,,,
S356,5,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,
S357,1,,,,,,,,,,,,,,,
S357,2,,,,,,,,,,,,,,,
S357,3,,,,,,,,,,,,,,,
S357,4,,,,,,,,,,,,,,,
S357,5,,,,,,,,,,,,,,,
S358,1,,,,,,,,,,,,,,,
S358,2,,,,,,,,,,,,,,,
S358,3,,,,,,,,,,,,,,,
S358,4,,,,,,,,,,,,,,,
S358,5,,,,,,,,,,,,,,,
S359,1,,,,,,,,,,,,,,,
S359,2,,,,,,,,,,,,,,,
S359,3,,,,,,,,,,,,,,,
S359,4,,,,,,,,,,,,,,,
S359,5,,,,,,,,,,,,,,,
S360,1,,,,,,,,,,,,,,,
S360,2,,,,,,,,,,,,,,,
S360,3,,,,,,,,,,,,,,,
S360,4,,,,,,,,,,,,,,,
S360,5,,,,,,,,,,,,,,,
S361,1,,,,,,,,,,,,,,,
S361,2,,,,,,,,,,,,,,,
S361,3,,,,,,,,,,,,,,,
S361,4,,,,,,,,,,,,,,,
S361,5,,,,,,,,,,,,,,,
S362,1,,,,,,,,,,,,,,,
S362,2,,,,,,,,,,,,,,,
S362,3,,,,,,,,,,,,,,,
S362,4,,,,,,,,,,,,,,,
S362,5,,,,,,,,,,,,,,,
S363,1,,,,,,,,,,,,,,,
S363,2,,,,,,,,,,,,,,,
S363,3,,,,,,,,,,,,,,,
S363,4,,,,,,,,,,,,,,,
S363,5,,,,,,,,,,,,,,,
S364,1,10.2,2.3,0.08,0.5,0.52,0.36,,0,,,No,Yes,No,No,
S364,2,16.5,3.8,0.27,0.87,0.73,1.23,,0,,,No,Yes,No,No,
S364,3,17.5,3,0.18,1.09,0.67,0.8,,0,,,No,Yes,No,No,
S364,4,10.6,5.9,0.32,1.4,0.98,2.45,,0,,,No,Yes,No,No,
S364,5,13,2.7,0.16,0.9,0.51,0.61,,0,,,No,Yes,No,No,
S364,6,11.5,2.7,0.1,0.7,0.5,0.43,,0,,,No,Yes,No,No,
S364,7,13.7,3.4,0.25,0.9,0.6,0.86,,0,,,No,Yes,No,No,
S364,8,11.6,3.4,0.19,0.8,0.67,0.72,,0,,,No,Yes,No,No,
S364,9,15.1,3.8,0.17,0.12,0.7,0.96,,0,,,No,Yes,No,No,
S364,10,12.7,3.7,0.2,0.9,0.55,0.63,,0,,,No,Yes,No,No,
S365,1,,,,,,,,,,,,,,,
S365,2,,,,,,,,,,,,,,,
S365,3,,,,,,,,,,,,,,,
S365,4,,,,,,,,,,,,,,,
S365,5,,,,,,,,,,,,,,,
S366,1,,,,,,,,,,,,,,,
S366,2,,,,,,,,,,,,,,,
S366,3,,,,,,,,,,,,,,,
S366,4,,,,,,,,,,,,,,,
S366,5,,,,,,,,,,,,,,,
S367,1,20.7,7.7,0.3,0.92,1.2,1.19,,0,,,Yes,Yes,No,No,
S367,2,22.3,9.2,0.23,1.6,1.2,2.77,,0,,,Yes,Yes,No,No,
S367,3,23.1,8.3,0.35,0.74,0.95,1.76,,0,,,No,Yes,No,No,
S367,4,23.6,8.4,0.21,0.94,1.1,1.58,,0,,,Yes,Yes,No,No,
S367,5,25.8,8.6,0.26,0.79,0.86,1.79,,0,,,No,Yes,No,No,
S367,6,25.3,7.9,0.23,0.95,1.1,1.54,,0,,,Yes,Yes,No,No,
S367,7,29.7,8.3,0.3,1.3,0.91,2.66,,0,,,Yes,Yes,No,No,
S367,8,30.2,8.4,0.27,NA,NA,3.4,,0,,,Yes,Yes,No,No,
S367,9,30.8,8.2,0.22,1,0.98,1.79,,0,,,Yes,Yes,No,No,
S367,10,30.9,8.1,0.22,1.3,0.8,1.43,,0,,,Yes,Yes,No,No,
S368,1,,,,,,,,,,,,,,,
S368,2,,,,,,,,,,,,,,,
S368,3,,,,,,,,,,,,,,,
S368,4,,,,,,,,,,,,,,,
S368,5,,,,,,,,,,,,,,,
S369,1,,,,,,,,,,,,,,,
S369,2,,,,,,,,,,,,,,,
S369,3,,,,,,,,,,,,,,,
S369,4,,,,,,,,,,,,,,,
