Plot #,Cross ID,FemaleGP,Female Location,MaleGP,Male Location,Crosses,Cross Location,Category,Site,F_Keeper,M_Keeper,Painting Density ,Development Ranking,Contamination is Culture,Line ,Position,Block,Harvest Date,Sample Date,Time,Recorder,Photo,Photo Score,Wet Weight of Plot (kg),Length of Plot (m),Wet Weight per meter (kg),% Dry Weight (Subsample),Dry Yield (kg/m) (Subsample),% Dry Weight (Individual),Dry Yield (kg/m) (Individual),Sporphyte Density per Meter,Blade Length (cm),Blade Width Max (cm),Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),% Dry Weight,Stipe Hollow (Y),Stipe Hollow (N),Bullations (Y),Bullations (N),Fouling (Y),Fouling (N),Sorrus Tissue (Y),Sorrus Tissue (N)
S16,SL20_UCONN_S16,SL18-UCONN-S157-FG3,UCONN,SL18-LD-2-MG2,LD,SL18-UCONN-S157-FG3xSL18-LD-2-MG2,UCONN x LD,Top160,GOM,,,,,,1,16,2,6/7/21,6/8/21,10:12,,Yes,1,2.16,0.839,2.57,15.22,0.391819836,12.60602621,0.324541319,18.75,138.81,33.52,0.89,11.68,5.17,12.61,0,0,0,5,5,0,5,0
S17,SL20_UCONN_S17,SL19-UCONN-278,UCONN,SL19-UCONN-278,UCONN,SL19-UCONN-278xSL19-UCONN-278,UCONN x UCONN,1000,GOM,,,,,,1,17,2,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S18,SL20_UCONN_S18,SA18-CB-10-FG6,CB,SL18-NC-2-MG1,NC,SA18-CB-10-FG6xSL18-NC-2-MG1,CB x NC,Top160,GOM,,,,,,1,18,2,6/7/21,6/8/21,10:18,,Yes,3,24.42,0.85,28.73,10.86,3.119639475,14.36224994,4.126189925,562.5,312.55,12.48,0.86,25.1,5.28,14.36,0,0,0,5,5,0,2,3
S19,SL20_UCONN_S19,SL18-CC-9-FG1,CC,SL18-OI-9-MG3,OI,SL18-CC-9-FG1xSL18-OI-9-MG3,CC x OI,Extra,GOM,,,,,,1,19,2,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
Check3,Check3,SL-OI-15-FG,OI,SL-ME1-MG1,ME1,SL-OI-15-FGxSL-ME1-MG1,OI x ME1,Check16,GOM,,,,,,1,20,2,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S20,SL20_UCONN_S20,SL18-UCONN-S57-FG2,UCONN,SL18-OI-11-MG3,OI,SL18-UCONN-S57-FG2xSL18-OI-11-MG3,UCONN x OI,Top160,GOM,,,,,,1,21,2,6/7/21,6/8/21,10:22,,Yes,3,11.72,0.835,14.04,10.48,1.47135593,9.055777831,1.271062469,181.25,123.02,15.7,1.2,18.24,7.44,9.06,0,0,0,5,5,0,4,1
S21,SL20_UCONN_S21,SL18-CC-12-FG2,CC,SA18-CB-7-MG1,CB,SL18-CC-12-FG2xSA18-CB-7-MG1,CC x CB,Top160,GOM,,,,,,1,22,2,6/7/21,6/8/21,10:28,,Yes,3,19.76,0.845,23.38,10.71,2.503732239,10.42048896,2.436791264,331.25,295.64,9.5,0.98,10.9,3.85,10.42,0,0,2,3,5,0,4,1
S22,SL20_UCONN_S22,SL18-OI-15-FG1,OI,SL18-UCONN-S143-MG3,UCONN,SL18-OI-15-FG1xSL18-UCONN-S143-MG3,OI x UCONN,Top160,GOM,,,,,,1,23,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S23,SL20_UCONN_S23,SL19-UCONN-144,UCONN,SL19-UCONN-144,UCONN,SL19-UCONN-144xSL19-UCONN-144,UCONN x UCONN,4000,GOM,,,,,,1,24,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S24,SL20_UCONN_S24,SL18-OI-15-FG3,OI,SL18-LD-2-MG2,LD,SL18-OI-15-FG3xSL18-LD-2-MG2,OI x LD,Top160,GOM,,,,,,1,25,3,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
