"","varE","varGCA1","varGCA2","varSCA"
"wetWgtPerM",5.16499975935855,0.8002217063875,0.414074651850658,0.621638223532237
"percDryWgt",2.34428431404605,0.382677233429934,0.316512452894408,1.02457066429309
"dryWgtPerM",0.0728901084162171,0.0122643747725888,0.00502631264314474,0.00859748454433224
"Ash",7.44964394251974,1.65874368393816,1.12530968144342,1.95109542630625
"AshFDwPM",0.0319628439214145,0.00524484968612171,0.00262203642892105,0.00585256544705592
"densityBlades",13002.0227803651,1334.65179161382,935.672928183882,1247.05621333026
"bladeLength",14861.2805555099,1435.96386075329,1887.73305777204,2308.98576685493
"bladeMaxWidth",1332.54087921086,118.003260182928,122.636971963125,263.03395317523
"bladeThickness",103.520992779836,22.5052965804375,20.1514781705164,22.5469253374803
"stipeLength",2116.0660036375,133.353605504178,358.894795489803,318.6904764925
"stipeDiameter",2803.72647347039,2855.36674193092,683.778823662829,672.700255258553
