"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"378","SL18-UCONN-S72","SL18-NL-10-FG3","NL","SL18-NL-3-MG2","NL","NL X NL","GOM",2,4,"1",40,"7",2,0.43,0.91,0.472527473,10,0.04,100,"71","2019_72","2019","SL18-NL-10-FG3xSL18-NL-3-MG2","NL X NL","ES","1","0"
"507","SL18-UCONN-S73","SL18-NL-2-FG1","NL","SA18-CB-1-MG2","CB","NL X CB","GOM",2,1,"2",49,"9",3,4.54,0.93,4.88172043,8.26,0.38,320,"72","2019_73","2019","SL18-NL-2-FG1xSA18-CB-1-MG2","NL X CB","ES","0","0"
"575","SL18-UCONN-S75","SL18-NL-2-FG1","NL","SL18-LD-13-MG2","LD","NL X LD","GOM",2,4,"3",38,"7",3,3.27,0.86,3.802325581,9.37,0.31,520,"74","2019_75","2019","SL18-NL-2-FG1xSL18-LD-13-MG2","NL X LD","ES","0","0"
"478","SL18-UCONN-S76","SL18-NL-2-FG1","NL","SL18-SF-17-MG1","SF","NL X SF","GOM",1,4,"3",12,"2",3,3.54,0.88,4.022727273,11.91,0.42,220,"75","2019_76","2019","SL18-NL-2-FG1xSL18-SF-17-MG1","NL X SF","ES","0","0"
"576","SL18-UCONN-S77","SL18-NL-2-FG3","NL","SA18-CB-2-MG3","CB","NL X CB","GOM",1,1,"4",6,"1",3,1.78,0.89,2,9.65,0.17,120,"76","2019_77","2019","SL18-NL-2-FG3xSA18-CB-2-MG3","NL X CB","ES","0","0"
"577","SL18-UCONN-S78","SL18-NL-2-FG3","NL","SA18-CB-4-MG1","CB","NL X CB","GOM",1,1,"2",13,"3",3,1.28,0.82,1.56097561,7.78,0.1,40,"77","2019_78","2019","SL18-NL-2-FG3xSA18-CB-4-MG1","NL X CB","ES","0","0"
"578","SL18-UCONN-S79","SL18-NL-2-FG3","NL","SL18-LD-3-MG2","LD","NL X LD","GOM",2,1,"4",24,"4",3,1.31,0.73,1.794520548,9.38,0.12,NA,"78","2019_79","2019","SL18-NL-2-FG3xSL18-LD-3-MG2","NL X LD","ES","0","0"
"579","SL18-UCONN-S80","SL18-NL-2-FG3","NL","SL18-OI-16-MG1","OI","NL X OI","GOM",2,4,"4",16,"3",3,3.58,0.84,4.261904762,8.47,0.3,280,"79","2019_80","2019","SL18-NL-2-FG3xSL18-OI-16-MG1","NL X OI","ES","0","0"
"494","SL18-UCONN-S82","SL18-NL-3-FG1","NL","SA18-CB-7-MG2","CB","NL X CB","GOM",2,4,"3",15,"3",3,4.7,0.95,4.947368421,9.07,0.43,240,"81","2019_82","2019","SL18-NL-3-FG1xSA18-CB-7-MG2","NL X CB","ES","0","0"
"580","SL18-UCONN-S84","SL18-NL-3-FG1","NL","SL18-OI-11-MG2","OI","NL X OI","GOM",3,1,"4",10,"2",3,2.66,1.2,2.216666667,9.75,0.26,280,"83","2019_84","2019","SL18-NL-3-FG1xSL18-OI-11-MG2","NL X OI","ES","0","0"
"581","SL18-UCONN-S85","SL18-NL-3-FG1","NL","SL18-SF-13-MG2","SF","NL X SF","GOM",3,1,"4",27,"5",3,1.68,0.92,1.826086957,12.06,0.2,160,"84","2019_85","2019","SL18-NL-3-FG1xSL18-SF-13-MG2","NL X SF","ES","0","0"
"515","SL18-UCONN-S87","SL18-NL-3-FG2","NL","SL18-SF-17-MG2","SF","NL X SF","GOM",2,4,"4",48,"8",3,6.16,0.87,7.08045977,7.45,0.46,480,"86","2019_87","2019","SL18-NL-3-FG2xSL18-SF-17-MG2","NL X SF","ES","0","0"
"582","SL18-UCONN-S88","SL18-NL-3-FG3","NL","SA18-CB-2-MG2","CB","NL X CB","GOM",1,1,"4",44,"8",3,1.74,1.03,1.689320388,9.49,0.17,140,"87","2019_88","2019","SL18-NL-3-FG3xSA18-CB-2-MG2","NL X CB","ES","0","0"
"583","SL18-UCONN-S9","SL18-LD-10-FG1","LD","SL18-OI-18-MG1","OI","LD X OI","GOM",1,1,"2",3,"1",3,1.33,0.8,1.6625,11.87,0.16,80,"9","2019_9","2019","SL18-LD-10-FG1xSL18-OI-18-MG1","LD X OI","ES","0","0"
"516","SL18-UCONN-S94","SL18-NL-6-FG1","NL","SA18-CB-3-MG3","CB","NL X CB","GOM",3,4,"2",10,"2",3,7.62,1.08,7.055555556,6.24,0.48,620,"93","2019_94","2019","SL18-NL-6-FG1xSA18-CB-3-MG3","NL X CB","ES","0","0"
"506","SL18-UCONN-S95","SL18-NL-6-FG1","NL","SA18-CB-7-MG2","CB","NL X CB","GOM",2,4,"2",35,"6",3,5.3,0.89,5.95505618,8.75,0.46,400,"94","2019_95","2019","SL18-NL-6-FG1xSA18-CB-7-MG2","NL X CB","ES","0","0"
"584","SL18-UCONN-S96","SL18-NL-6-FG1","NL","SL18-LD-1-MG2","LD","NL X LD","GOM",2,1,"1",7,"2",3,2.05,0.91,2.252747253,8.96,0.18,360,"95","2019_96","2019","SL18-NL-6-FG1xSL18-LD-1-MG2","NL X LD","ES","0","0"
"585","SL18-UCONN-S97","SL18-NL-6-FG1","NL","SL18-LD-2-MG1","LD","NL X LD","GOM",2,4,"2",28,"5",3,3.58,0.92,3.891304348,7.67,0.27,400,"96","2019_97","2019","SL18-NL-6-FG1xSL18-LD-2-MG1","NL X LD","ES","0","0"
"514","SL18-UCONN-S98","SL18-NL-6-FG1","NL","SL18-LD-3-MG2","LD","NL X LD","GOM",3,4,"3",27,"5",3,4.51,0.88,5.125,7.7,0.35,600,"97","2019_98","2019","SL18-NL-6-FG1xSL18-LD-3-MG2","NL X LD","ES","0","0"
"586","SL18-UCONN-S99","SL18-NL-6-FG1","NL","SL18-NL-2-MG1","NL","NL X NL","GOM",2,4,"1",34,"6",3,2.69,0.94,2.861702128,9.09,0.24,420,"98","2019_99","2019","SL18-NL-6-FG1xSL18-NL-2-MG1","NL X NL","ES","1","0"
"519","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"2",47,"8",3,2.71,0.86,3.151162791,10.96,0.3,480,"570","Z1-A","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"520","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"2",8,"2",3,2.09,0.56,3.732142857,13.88,0.29,200,"571","Z1-B","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"521","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"2",22,"4",3,3.87,0.9,4.3,8.09,0.31,480,"572","Z1-C","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"522","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",2,1,"1",25,"5",3,1.15,0.85,1.352941176,9.1,0.1,140,"573","Z1-D","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"523","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",1,1,"1",45,"8",3,2.02,0.94,2.14893617,8.25,0.17,260,"574","Z1-E","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
"524","Check","SL18-ME-1-FG1","ME","SL18-ME-1-MG1","ME","ME X ME","GOM",2,1,"3",6,"1",3,4.41,0.87,5.068965517,9.31,0.41,300,"575","Z1-F","2019","SL18-ME-1-FG1xSL18-ME-1-MG1","ME X ME","Z1","1","1"
