"","percDryWgt","dryWgtPerM","AshFDwPM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"percDryWgt",1,0.191676604875453,0.232497844710385,-0.337170524677731,-0.122928773605764,-0.422886869927169,0.261503209012691,0.199064613189788,0.201606082538751
"dryWgtPerM",0.191676604875453,1,0.993942035256406,0.670743369303445,-0.55469298961003,-0.111988511556341,0.853824166572434,0.118461133109359,0.783371385238944
"AshFDwPM",0.232497844710385,0.993942035256406,1,0.613211084737488,-0.571417764958296,-0.083436173744133,0.83761568125434,0.145501511571665,0.759112924376371
"densityBlades",-0.337170524677731,0.670743369303445,0.613211084737488,1,-0.267600283744144,-0.0142991574648439,0.615879330542668,-0.0577831359915531,0.52790593726416
"bladeLength",-0.122928773605764,-0.55469298961003,-0.571417764958296,-0.267600283744144,1,-0.345529857456075,-0.606685341452044,-0.0461436400704139,-0.446892737960292
"bladeMaxWidth",-0.422886869927169,-0.111988511556341,-0.083436173744133,-0.0142991574648439,-0.345529857456075,1,-0.203451147466569,-0.122585910758328,-0.374343915548936
"bladeThickness",0.261503209012691,0.853824166572434,0.83761568125434,0.615879330542668,-0.606685341452044,-0.203451147466569,1,0.318220676152717,0.718736812021835
"stipeLength",0.199064613189788,0.118461133109359,0.145501511571665,-0.0577831359915531,-0.0461436400704139,-0.122585910758328,0.318220676152717,1,0.128662085335694
"stipeDiameter",0.201606082538751,0.783371385238944,0.759112924376371,0.52790593726416,-0.446892737960292,-0.374343915548936,0.718736812021835,0.128662085335694,1
