"","varE","varGCA1","varGCA2","varSCA"
"wetWgtPerM",5.15840421288014,0.811261907871889,0.422113760711219,0.634849497960646
"percDryWgt",2.37236619631311,0.391848883728488,0.3252895186867,1.02473869252908
"dryWgtPerM",0.0727424198471019,0.0124869226574487,0.00510802444462101,0.00881418159657165
"Ash",7.52470873331608,1.69705873181593,1.16350478006886,1.9773289657279
"AshFDwPM",0.0321030387751367,0.00535846864251998,0.00269148599618731,0.00593099419367696
"bladeLength",14877.3116172395,1471.45991312336,1935.00513799423,2342.51612975116
"bladeMaxWidth",1333.94280470504,120.539948243413,125.262459799741,266.130785004827
"bladeThickness",103.905478718607,22.9126879131005,20.599245397901,22.7700417561872
"stipeLength",2119.79158707787,136.970959707935,369.422142560538,322.907364308798
"stipeDiameter",2823.24930106442,2868.58312506088,697.910677418894,676.931250602297
