"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SL18-OI-4",0.0480574449338066,0.141037612868673,0.024175138857201,0.0219402046193122,0.22297910997273,32.2069162238175
"SL18-OI-5",-0.0150546384136711,-0.602672139774581,-0.0954835519647377,-0.388391586522149,0.160433275507991,-15.6885222864815
"SL18-OI-6",0.218567902860392,-0.983747360536167,0.157317486692994,0.347007660438984,0.508290758155729,-25.7026193747172
"SL18-OI-11",0.0470059080376121,0.303160921833194,0.0422121492334564,0.17512906852801,0.0347211661084122,10.0244429517913
"SL18-OI-15",0.073069170859436,0.235052073552168,0.0873410461459678,0.334475463102639,0.0734731384848414,47.9385865831426
"SL18-OI-16",-0.0432789514035774,0.0679447826093984,-0.0687231180524789,-0.191062433024203,0.131099236515516,12.7734978533145
"SL18-OI-17",0.0504173569306057,-0.450665839090302,0.0220086771178466,0.0156457224943599,-0.0309918747396877,-11.3114888568152
"SL18-OI-18",-0.0102199804635372,-0.294821106712145,-0.0248414421434464,-0.132659515886393,0.274024055108592,-53.041645772455
"SL18-LD-1",0.00523366199847938,-0.262447196471782,-0.066511563624398,-0.344812963409916,0.280635058826693,-31.778790132478
"SL18-LD-3",-0.0135436281419657,0.105425606055461,-0.0409265977643731,-0.186769299536013,0.144806414499242,-26.7360763034252
"SL18-LD-4",-0.000380949515841485,-0.0231041974267229,-0.0520836996424899,-0.231235750836771,0.166055652089526,-34.3445658663186
"SL18-LD-5",-0.0152043881260083,-0.146021170578468,-0.0647652733472777,-0.129765222614114,0.034626936294187,-30.3749671156831
"SL18-LD-9",-0.00668192063800558,-0.195792079486,-0.0249995913232022,-0.133511727605304,0.143416690453466,-46.748770092672
"SL18-LD-10",-0.0146749233983816,0.0910621520965926,-0.0201521022748872,-0.100025131847233,0.157486310379842,-16.8919877289563
"SL18-LD-13",-0.0512308471286377,-0.300701720333029,-0.0476143432214684,-0.166561213311142,0.14712839402933,13.0512231694522
"SL18-FW-2",0.000237042995666998,-0.915558838711409,0.068593367678458,0.220228171400738,0.00310431699458394,29.6057767866771
"SL18-FI-1",-0.00961817846623934,-1.17313506820128,0.0563205268122682,0.186429728913232,-0.00372238934937911,28.2005640217946
"SL18-FI-2",-0.0176431871900422,-1.05789817489056,0.0486673058469754,0.164433451241887,-0.00381774560565771,21.0167753458172
"SL18-CC-1",-0.00463854043832196,1.69130023259687,-0.00285669409894196,0.019999568279252,0.0480702887796171,6.22647664732787
"SL18-CC-2",0.0806441877351693,0.510168987604188,0.111339939731235,0.371448868310641,-0.142698117239952,10.9136606885455
"SL18-CC-3",0.0824662990439777,0.168790009074998,0.0867176963004868,0.190315621639728,0.0747301358796786,-2.50382976271835
"SL18-CC-4",0.0210098741515872,0.341983667176972,0.00624321299744643,0.0425978114950677,-0.0529586289405262,-7.96376597132512
