"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"464","SL19-UCONN-S10","SL18-OI-11-FG3","OI","SL18-CC-1-MG3","CC","OI X CC","GOM",3,1,"1",11,"2",3,7.98,0.895,8.92,11.56,1.031543485,150,"201","2020_10","2020","SL18-OI-11-FG3xSL18-CC-1-MG3","OI X CC","ES","0","0"
"346","SL19-UCONN-S101","SL18-JS-16-FG3","JS","SL18-NC-10-MG3","NC","JS X NC","GOM",3,1,"2",48,"8",2,1.59,1.04,1.53,9.56,0.145898646,60,"203","2020_101","2020","SL18-JS-16-FG3xSL18-NC-10-MG3","JS X NC","ES","0","0"
"312","SL19-UCONN-S104","SL18-OI-5-FG5","OI","SA18-CB-7-MG3","CB","OI X CB","GOM",3,1,"2",51,"9",2,0.52,0.95,0.55,16.92,0.09321362,80,"206","2020_104","2020","SL18-OI-5-FG5xSA18-CB-7-MG3","OI X CB","ES","0","0"
"587","SL19-UCONN-S111","SL18-CC-1-FG2","CC","SL18-OI-16-MG1","OI","CC X OI","GOM",3,1,"2",58,"10",3,3.33,1.03,3.23,14.82,0.478797213,130,"214","2020_111","2020","SL18-CC-1-FG2xSL18-OI-16-MG1","CC X OI","ES","0","0"
"336","SL19-UCONN-S112","SL18-NC-11-FG1","NC","SL18-NL-2-MG1","NL","NC X NL","GOM",1,1,"2",59,"10",2,2.17,1.015,2.14,12.94,0.276564855,50,"215","2020_112","2020","SL18-NC-11-FG1xSL18-NL-2-MG1","NC X NL","ES","0","0"
"434","SL19-UCONN-S113","SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","CC X CB","GOM",3,1,"2",60,"10",3,15.94,1.058,15.06,13.21,1.989688812,110,"216","2020_113","2020","SL18-CC-5-FG2xSA18-CB-10-MG1","CC X CB","ES","0","0"
"318","SL19-UCONN-S115","SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","LD X LD","GOM",1,1,"2",62,"11",2,0.33,0.988,0.33,11.71,0.03920757,150,"218","2020_115","2020","SL18-LD-13-FG2xSL18-LD-13-MG2","LD X LD","ES","1","1"
"463","SL19-UCONN-S119","SL18-CC-5-FG3","CC","SL18-OI-14-MG1","OI","CC X OI","GOM",3,1,"3",3,"1",3,13.58,0.98,13.86,10.79,1.495930496,90,"222","2020_119","2020","SL18-CC-5-FG3xSL18-OI-14-MG1","CC X OI","ES","0","0"
"344","SL19-UCONN-S12","SL18-CC-11-FG3","CC","SL18-CC-3-MG1","CC","CC X CC","GOM",3,1,"1",13,"3",2,1.05,0.85,1.24,13.13,0.162226696,40,"223","2020_12","2020","SL18-CC-11-FG3xSL18-CC-3-MG1","CC X CC","ES","1","0"
"461","SL19-UCONN-S121","SL18-CC-11-FG3","CC","SA18-CB-3-MG3","CB","CC X CB","GOM",3,1,"3",5,"1",3,17.06,0.98,17.41,10.98,1.912050785,740,"225","2020_121","2020","SL18-CC-11-FG3xSA18-CB-3-MG3","CC X CB","ES","0","0"
