"","BLUE_DwPM_2Yrs","CrossName","BLUE_DwPM_2019","BLUE_DwPM_2020","BLUE_DwPM_2019_2","BLUE_DwPM_2020_2","BV_DWpM"
"SL18-NC-8-FG1xSL18-NL-7-MG2",0.00424099892908451,"SL18-NC-8-FG1xSL18-NL-7-MG2",NA,-1.12031792175,NA,-1.12031792175,-0.108435753182132
"SL18-NC-9-FG2xSL18-JS-11-MG3",0.0345891981723272,"SL18-NC-9-FG2xSL18-JS-11-MG3",NA,-0.483809545999998,NA,-0.483809546,-0.0927584880218882
"SL18-NL-10-FG1xSA18-CB-4-MG3",-0.215602629117155,"SL18-NL-10-FG1xSA18-CB-4-MG3",-0.0252702702702695,NA,-0.0252702702702648,NA,-0.0253847495345799
"SL18-NL-10-FG1xSL18-LD-2-MG1",-0.379568824871162,"SL18-NL-10-FG1xSL18-LD-2-MG1",-0.376336336336336,NA,-0.376336336336331,NA,-0.0465015595076462
"SL18-NL-10-FG1xSL18-OI-15-MG1",0.0555626978236457,"SL18-NL-10-FG1xSL18-OI-15-MG1",0.211426426426427,NA,0.211426426426432,NA,0.0381929759147183
"SL18-NL-10-FG1xSL18-OI-7-MG1",-0.0768552757941103,"SL18-NL-10-FG1xSL18-OI-7-MG1",-0.0200900900900893,NA,-0.0200900900900846,NA,0.00218212982484968
"SL18-NL-10-FG1xSL18-SF-13-MG1",-0.10837724051476,"SL18-NL-10-FG1xSL18-SF-13-MG1",-0.0860960960960954,NA,-0.0860960960960907,NA,0.0624825186903302
"SL18-NL-10-FG3xSL18-NL-3-MG2",-0.292545224647415,"SL18-NL-10-FG3xSL18-NL-3-MG2",-0.213483483483483,NA,-0.213483483483478,NA,-0.0932409454044542
"SL18-NL-2-FG1xSA18-CB-1-MG2",-0.0955826634704041,"SL18-NL-2-FG1xSA18-CB-1-MG2",-0.0783483483483473,NA,-0.0783483483483431,NA,0.0340909289607367
"SL18-NL-2-FG1xSL18-LD-13-MG2",-0.153710551588217,"SL18-NL-2-FG1xSL18-LD-13-MG2",-0.0401801801801792,NA,-0.040180180180175,NA,-0.024509119803102
