"","X","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD","Category","FG","MG"
"592","SL18-OI-6-FG1xSL18-SF-15-MG1",0.136285937311309,-0.526332644526212,0.0534390455216905,0.230725322740125,0.0816921031173416,-18.0272792045217,"High_DWpM_Low_BD_BVs","SL18-OI-6-FG1","SL18-SF-15-MG1"
"687","SL18-SF-13-FG1xSA18-CB-7-MG1",0.0869350461139201,-0.568053317904353,0.05134013489974,0.1162158075789,0.188606953685361,-13.9816431726393,"High_DWpM_Low_BD_BVs","SL18-SF-13-FG1","SA18-CB-7-MG1"
"665","SL18-NL-6-FG1xSL18-NL-2-MG1",-0.0586905088632233,0.750791493341411,-0.00307587441705886,0.11252991272979,-0.176075967887533,106.201061250226,"High_BD_Low_DWpM_BVs","SL18-NL-6-FG1","SL18-NL-2-MG1"
"662","SL18-NL-6-FG1xSL18-LD-1-MG2",0.000825736644392824,0.396269971454087,-0.00178215424772142,0.0271166475208641,-0.0243135013990096,78.0591331183549,"High_BD_Low_DWpM_BVs","SL18-NL-6-FG1","SL18-LD-1-MG2"
"555","SL18-NL-9-FG2xSL18-SF-19-MG1",-0.0528661273751617,0.125256163185453,-0.0759833014982001,-0.170932319243102,0.0689826476713261,52.9017179495099,"High_BD_Low_DWpM_BVs","SL18-NL-9-FG2","SL18-SF-19-MG1"
"564","SL18-OI-16-FG3xSL18-NL-6-MG1",-0.0354360757725649,0.107318175866168,-0.0336696729508879,-0.0488821633907866,-0.0747957620212143,42.9314257182756,"High_BD_Low_DWpM_BVs","SL18-OI-16-FG3","SL18-NL-6-MG1"
"562","SL18-LD-13-FG2xSL18-LD-13-MG2",-0.102846327394552,-0.410930083649385,-0.0942022718587915,-0.317814397208694,0.169583710219087,31.953882283311,"High_BD_Low_DWpM_BVs","SL18-LD-13-FG2","SL18-LD-13-MG2"
"615","SL18-LD-1-FG3xSL18-OI-7-MG1",0.0562636019357259,-0.42371391838359,-0.0211677448549497,-0.161343746692994,0.143117722394546,30.1768558958404,"High_BD_Low_DWpM_BVs","SL18-LD-1-FG3","SL18-OI-7-MG1"
"648","SL18-NL-2-FG1xSL18-LD-13-MG2",-0.0635523256430558,-0.258000933397447,-0.024509119803102,-0.137963010841185,0.098798392348616,28.4710689931026,"High_BD_Low_DWpM_BVs","SL18-NL-2-FG1","SL18-LD-13-MG2"
"720","SL18-CC-8-FG1xSL18-OI-7-MG1",-0.0138287075679688,-0.343288612524376,-0.0946443278423198,-0.206769246339731,-0.171390511999165,26.5560112432385,"High_BD_Low_DWpM_BVs","SL18-CC-8-FG1","SL18-OI-7-MG1"
"602","SL18-SF-17-FG3xSL18-NL-10-MG2",-0.0183285643451143,0.211771512996406,-0.0463390716280823,-0.181461116746904,-0.070658575441082,19.3732458751397,"High_BD_Low_DWpM_BVs","SL18-SF-17-FG3","SL18-NL-10-MG2"
"700","SL18-CC-1-FG1xSL18-OI-16-MG3",-0.0557983737399108,1.50129764748839,-0.0760406944645997,-0.175830869718113,0.118394621996028,18.4417433652673,"High_BD_Low_DWpM_BVs","SL18-CC-1-FG1","SL18-OI-16-MG3"
"715","SL18-SF-17-FG2xSL18-OI-4-MG3",0.0348725060910882,-0.0130554051309309,-0.010312829434267,0.0683203171014781,0.107560163681866,18.0884666626736,"High_BD_Low_DWpM_BVs","SL18-SF-17-FG2","SL18-OI-4-MG3"
"737","SL18-CC-1-FG1xSL18-CC-4-MG11",-0.0175726729505626,1.52893024455679,-0.0258852972689119,0.0139892573365392,-0.000843428087903789,16.2383259048378,"High_BD_Low_DWpM_BVs","SL18-CC-1-FG1","SL18-CC-4-MG11"
"625","SL18-LD-3-FG1xSL18-SF-19-MG2",0.000769380276272249,0.293341297477655,-0.00792637963344069,-0.0462797955529167,0.164524307046475,14.7200427140855,"High_BD_Low_DWpM_BVs","SL18-LD-3-FG1","SL18-SF-19-MG2"
"563","SL18-OI-16-FG3xSL18-LD-3-MG2",-0.0227510056600225,0.257309471129365,-0.0378893804233439,-0.111417964517655,0.120688233037366,13.3367549711907,"High_BD_Low_DWpM_BVs","SL18-OI-16-FG3","SL18-LD-3-MG2"
"669","SL18-CC-1-FG2xSL18-OI-16-MG1",-0.0804194534159679,1.40310271943824,-0.0804644122951423,-0.125532104966947,0.0604803319900435,12.6036155698574,"High_BD_Low_DWpM_BVs","SL18-CC-1-FG2","SL18-OI-16-MG1"
"558","SL18-OI-15-FG1xSL18-NL-5-MG1",0.0072037320668186,0.428755437591767,-0.0198713379218682,-0.0969613797665905,-0.0175646421232627,11.3219632148421,"High_BD_Low_DWpM_BVs","SL18-OI-15-FG1","SL18-NL-5-MG1"
