,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
2019_23,-2.138275647,0.761592365,-0.130169263,-68.61900146,SL18-LD-1-FG3xSL18-NL-5-MG1,50.02320919,60.86211334,12.04862366,50.49818932,-11.07906467
2019_24,-0.215107765,2.055208583,0.057541019,50.50561139,SL18-LD-1-FG3xSL18-OI-11-MG2,7.123356517,-38.15876817,3.973514784,-1.770430097,0.154833308
2019_25,-0.538089199,-1.538539034,-0.0767808,30.08568393,SL18-LD-1-FG3xSL18-OI-15-MG1,-9.362411201,53.18746378,-11.67174973,31.94925035,11.95400703
2019_26,-1.780115307,-0.646685319,-0.121618815,-112.0052727,SL18-LD-1-FG3xSL18-OI-16-MG1,100.391114,49.82089304,15.49031942,-16.93783498,12.24107016
2019_27,-0.622475783,0.683676993,-0.056122313,-177.3457582,SL18-LD-1-FG3xSL18-OI-6-MG2,-72.06502842,-0.159473754,-12.04570645,28.14479882,27.97331147
2019_28,-1.077513683,-0.90915114,-0.051265095,206.0760454,SL18-LD-1-FG3xSL18-OI-7-MG1,-27.84686277,-28.72199458,-8.747516623,-49.76279427,-70.69291466
2019_29,-0.296507785,-0.358906273,-0.01902448,76.13110489,SL18-LD-1-FG3xSL18-OI-9-MG3,-89.5697295,-23.29852009,4.970646786,35.96791345,-54.08757937
2019_3,0.130297356,-0.926966269,-0.000591366,-88.04747955,SA18-CB-4-FG3xSA18-CB-4-MG3,-135.920742,19.871397,13.31836121,12.44505301,-91.5152868
2019_30,-1.458827394,1.882771023,-0.100391344,-186.7966361,SL18-LD-1-FG3xSL18-NL-9-MG2,18.860959,-30.08339816,-4.608654673,68.73622399,27.34521481
2019_31,0.054108657,0.661191331,0.020395411,134.3373359,SL18-LD-1-FG3xSL18-OI-15-MG2,136.0034822,6.369295313,-11.613687,-6.800051868,22.76599406
2019_32,-0.005162441,-2.249747724,-0.030553206,-42.84168519,SL18-LD-2-FG2xSA18-CB-3-MG3,-112.9890503,51.20931073,-6.761798441,-11.16276503,-46.09262243
2019_33,-0.52905975,0.280875148,-0.001462832,-44.71624004,SL18-LD-2-FG2xSL18-LL-9-MG2,-80.50814532,47.25021147,-4.431168469,11.99900056,-18.61702229
2019_34,-2.992644365,0.493487333,-0.209255384,-228.8772544,SL18-LD-2-FG2xSL18-NL-9-MG1,253.8637308,-48.78219315,11.32203623,85.64506405,31.14595464
2019_35,-1.184828374,13.47468999,0.110399043,33.05733295,SL18-LD-2-FG2xSL18-SF-19-MG1,-75.86176634,-34.70345302,2.570661212,-39.18739811,-20.32642498
2019_37,-0.988426837,-1.629720934,-0.136237813,-156.5366575,SL18-LD-3-FG1xSL18-NL-9-MG1,225.4421304,-66.09160874,9.709593571,89.68062694,106.2894527
2019_38,-1.453456967,6.420398639,0.002324731,-112.0052727,SL18-LD-3-FG1xSL18-SF-19-MG2,-5.615369616,-71.49989189,27.10451208,0.289222536,86.31384985
2019_39,-0.013051112,-0.769006296,-0.025369066,-29.42194564,SL18-LD-3-FG2xSA18-CB-2-MG3,-57.28772178,18.477797,0.389014129,-54.98768768,29.37914016
2019_40,0.655968595,-3.142097421,-0.053618575,202.2640414,SL18-LD-3-FG2xSL18-LL-9-MG2,75.67095993,36.89553993,-21.71902366,83.51175123,3.844949609
2019_41,-2.019343542,1.793120996,-0.129843351,-228.7679752,SL18-LD-3-FG2xSL18-SF-17-MG3,94.05523111,-50.94875682,-0.515301511,-37.37287662,-2.407980727
2019_43,-0.537693097,-0.8769161,-0.053376877,117.2185321,SL18-LD-4-FG1xSA18-CB-2-MG1,-37.5141867,57.5358594,6.698542167,-38.71981482,-18.97755899
2019_44,-1.340427343,-0.289067351,-0.090690645,-5.827776409,SL18-LD-4-FG1xSL18-NL-3-MG2,55.13709446,72.18583765,-16.14691497,20.70488973,15.42103931
2019_45,-2.316368293,4.944280304,-0.156470227,-261.4108899,SL18-LD-4-FG2xSL18-LL-9-MG1,86.48477651,-41.2717998,-1.68882475,-8.901878264,56.63881778
2019_46,0.700849278,-0.22000752,0.017885989,-46.65294442,SL18-LD-4-FG2xSL18-SF-15-MG2,-153.7115965,5.032734512,-1.400460015,27.91759354,-7.941610106
2019_47,-1.323813029,1.220820659,-0.067311994,-222.3396265,SL18-LD-4-FG3xSL18-SF-17-MG1,97.84428311,-42.49202946,-2.645729413,-45.11820112,53.36146559
2019_48,-1.181967909,1.092539315,-0.076994528,-195.16217,SL18-LD-5-FG1xSA18-CB-10-MG1,-24.50022265,-66.5059796,4.948169154,31.8005952,-38.52569819
2019_5,2.113187741,-1.189275799,0.145497848,-22.09854097,SA18-CB-7-FG1xSL18-LL-9-MG3,-127.39373,-40.01151636,-0.150172111,-27.76209645,101.9763868
2019_51,-1.843294425,4.13201E-06,-0.129365458,-201.5964823,SL18-LD-9-FG2xSL18-SF-13-MG3,72.96011478,-45.91170495,-8.027954587,102.4731711,-33.90009993
2019_53,-1.893166086,0.543537243,-0.12644441,-228.8772544,SL18-LD-9-FG3xSL18-NL-7-MG1,163.4165927,-7.366123421,-6.72795858,8.527259242,95.50613418
2019_54,0.474842808,-0.408928534,0.066842616,97.56610445,SL18-LD-9-FG3xSL18-SF-17-MG1,46.17863652,-0.675398362,-8.497144301,17.45443923,112.2978735
2019_56,-2.269458127,-9.26418973,-0.230476121,-29.17209969,SL18-LL-9-FG3xSL18-NL-9-MG1,23.35870173,20.43787623,13.78995045,-6.056284226,-5.85423388
2019_57,5.06606131,-5.110741189,-0.011336152,235.0441228,SL18-NL-10-FG1xSA18-CB-4-MG3,-128.5490533,33.51593818,27.71214418,90.19114795,26.3320885
2019_58,-2.367374701,3.223906239,-0.155932377,-128.8113227,SL18-NL-10-FG1xSL18-LD-2-MG1,-192.6461851,-22.12977382,-24.6522007,13.36891878,-92.03397553
2019_6,-0.221579813,0.661737467,0.033369775,77.05661172,SL18-LD-10-FG1xSA18-CB-1-MG2,-215.2410352,47.59090986,-11.83396793,-9.403588909,-3.443873828
2019_60,2.092816154,-0.767134763,0.162046795,12.31418874,SL18-NL-10-FG1xSL18-OI-15-MG1,29.43501193,30.5403276,18.72560712,20.64017518,45.42056785
2019_62,1.75679216,-1.179346996,0.118042338,331.3652806,SL18-NL-10-FG1xSL18-OI-7-MG1,9.988079735,42.60436969,14.76578555,-12.25002541,-1.228315668
2019_63,1.52128297,-1.070712002,0.112850501,175.0741196,SL18-NL-10-FG1xSL18-SF-13-MG1,-114.2967274,10.75306926,7.258998315,59.89277631,34.29705839
2019_72,-2.378193595,0.681556748,-0.184810054,-152.6700468,SL18-NL-10-FG3xSL18-NL-3-MG2,-68.87893839,-89.77177012,-6.012255686,-175.3423385,-203.5791252
2019_73,1.645551841,-0.967006405,0.142725386,55.065948,SL18-NL-2-FG1xSA18-CB-1-MG2,-233.0462845,13.76726159,22.76451009,106.857903,-86.472821
2019_75,0.181754417,0.051276264,0.066269336,271.7103017,SL18-NL-2-FG1xSL18-LD-13-MG2,26.88587183,-23.33180832,-14.06757945,-24.08256877,39.35157471
2019_76,0.319870262,2.782485401,0.166509908,-36.72005894,SL18-NL-2-FG1xSL18-SF-17-MG1,-93.87053732,51.8914597,-12.01674852,-58.52726465,114.957444
2019_77,-1.053638544,0.441008278,-0.059502483,-125.3479674,SL18-NL-2-FG3xSA18-CB-2-MG3,-84.53761116,57.94393566,19.57448919,45.42100308,-80.94159347
2019_78,-1.864665449,-1.477724754,-0.148941891,-218.86865,SL18-NL-2-FG3xSA18-CB-4-MG1,-77.08344889,85.41886219,17.62015982,-30.67408601,-150.313024
2019_79,-1.031511118,0.181783129,-0.094874074,-239.5238223,SL18-NL-2-FG3xSL18-LD-3-MG2,-48.74254837,37.35658304,9.881678898,-15.89726577,-41.10278791
2019_80,1.217558881,-0.787151382,0.072077339,16.15301737,SL18-NL-2-FG3xSL18-OI-16-MG1,132.9394323,52.70147654,19.9547169,72.94752027,-32.01944509
2019_82,1.394250852,-0.186652798,0.185508117,-14.2031075,SL18-NL-3-FG1xSA18-CB-7-MG2,-76.55517169,-48.95202239,5.815891038,41.85802713,-36.27085179
2019_84,-1.015838084,0.620690498,0.021999758,44.30716964,SL18-NL-3-FG1xSL18-OI-11-MG2,117.1437957,14.51264323,23.87390762,57.77271735,57.6956347
2019_85,-1.053502418,2.801878128,-0.021887509,-95.32724146,SL18-NL-3-FG1xSL18-SF-13-MG2,183.0902149,-9.222801167,-15.2480472,65.03741111,-10.30610455
2019_87,4.666212962,-1.670236455,0.261549502,248.8093923,SL18-NL-3-FG2xSL18-SF-17-MG2,-49.68366266,-7.437547189,7.750816544,-10.26253599,84.36850971
2019_88,-0.933830559,0.371491786,-0.038344341,-103.8240593,SL18-NL-3-FG3xSA18-CB-2-MG2,85.81634045,35.80234947,14.79196984,2.291261691,29.8000922
2019_9,-1.689249194,2.662855457,-0.08423527,-169.3398552,SL18-LD-10-FG1xSL18-OI-18-MG1,205.6115481,-52.99557925,-8.263172428,0.670864696,-67.15493643
2019_94,3.709137853,-2.89222622,0.234789148,389.0062545,SL18-NL-6-FG1xSA18-CB-3-MG3,45.23697641,10.53508686,-5.95721798,-41.42257723,-68.27626064
2019_95,2.817482069,-0.577580752,0.23199899,146.223932,SL18-NL-6-FG1xSA18-CB-7-MG2,-91.27810914,22.73767664,-8.187960183,-67.82384806,-25.43283168
2019_96,-0.61378756,-0.169965972,-0.053217324,111.5046148,SL18-NL-6-FG1xSL18-LD-1-MG2,-0.786156241,18.15848357,-19.94713947,-7.036072179,49.02827473
2019_97,0.810315294,-1.59106003,0.036110446,171.7801135,SL18-NL-6-FG1xSL18-LD-2-MG1,-97.19755027,17.61826624,-3.468013814,21.1078104,-14.12826403
2019_98,1.839422225,-1.561039952,0.112123679,347.49158,SL18-NL-6-FG1xSL18-LD-3-MG2,124.1881373,-33.60627286,-15.06729055,-40.13265289,84.09442566
2019_99,0.25866499,-0.237241361,0.026511638,175.2876934,SL18-NL-6-FG1xSL18-NL-2-MG1,40.99389422,-20.06958434,16.89854321,42.80923016,-0.567632678
2020_10,5.310466902,-1.463158108,0.595692348,15.6652868,SL18-OI-11-FG3xSL18-CC-1-MG3,-49.71771976,26.70165608,20.25118055,10.17330449,263.1486461
2020_101,-1.935314821,-1.999163576,-0.293691017,-85.09346309,SL18-JS-16-FG3xSL18-NC-10-MG3,-116.8663584,-46.2534558,6.022449904,104.7293072,13.28631897
2020_104,-3.131654699,4.611183489,-0.36076978,-64.73255172,SL18-OI-5-FG5xSA18-CB-7-MG3,-96.098023,-17.30771932,-5.109304498,65.21200794,-68.50999224
2020_111,-0.841805462,2.308084478,0.007097714,-14.08931006,SL18-CC-1-FG2xSL18-OI-16-MG1,-1.489837413,-21.82593438,-12.46750223,66.34494539,-97.11375774
2020_112,-1.98532686,0.214520621,-0.199276778,-95.20612863,SL18-NC-11-FG1xSL18-NL-2-MG1,-177.2930438,-56.63297425,1.16357387,75.44427707,-16.46128232
2020_113,11.56907357,0.515192026,1.548935471,-34.36851471,SL18-CC-5-FG2xSA18-CB-10-MG1,-233.4882036,-35.62331955,19.10408519,-82.84409717,85.5663027
2020_115,-3.353550369,-0.748318226,-0.421781042,6.289049284,SL18-LD-13-FG2xSL18-LD-13-MG2,252.0400757,70.13093775,-22.0035671,33.85764152,-182.7154699
2020_119,9.684815948,-0.757087949,1.005337198,-42.99729417,SL18-CC-5-FG3xSL18-OI-14-MG1,24.7120765,-22.65303429,-0.002524224,-43.46708603,195.0277654
2020_12,-1.810684955,0.731126886,-0.272811755,-95.98599188,SL18-CC-11-FG3xSL18-CC-3-MG1,65.05954111,-0.144097798,-14.90528074,48.17677482,-49.7360596
2020_121,13.41791586,-0.543644894,1.429602383,614.9552459,SL18-CC-11-FG3xSA18-CB-3-MG3,-51.37793745,61.75186989,3.222621386,-126.371744,79.9294656
2020_128,-3.073412495,-0.475303121,-0.404471109,-53.59855304,SL18-JS-16-FG1xSL18-CC-4-MG11,98.39172348,-28.61759921,-15.86039372,-119.373514,-132.4214373
2020_130,1.9624915,0.353507985,0.173539794,-23.22998791,SL18-CC-11-FG3xSL18-JS-16-MG1,90.1689762,-15.04689792,12.54190117,119.5448958,103.0554608
2020_131,-1.349503451,-1.925722557,-0.247319094,-33.35284295,SL18-NC-12-FG2xSA18-CB-4-MG3,119.6680821,-44.778129,-3.11901057,22.62140064,-22.48885225
2020_132,-2.864453823,-0.824276218,-0.384152416,-2.984277824,SL18-OD-5-FG1xSL18-CC-8-MG2,316.1917421,-40.11643772,-14.99657113,93.31971139,-47.64108077
2020_133,-3.052516628,1.05145418,-0.397664603,-33.35284295,SL18-CC-1-FG3xSL18-OI-9-MG2,351.3993404,-30.20570414,-12.9771912,-136.4168805,-120.6909115
2020_135,-1.112809951,0.880223481,-0.260718766,-104.4038697,SA18-CB-9-FG1xSL18-JS-5-MG3,270.7094811,56.80937506,-9.944416165,90.95751942,-38.72540837
2020_137,-1.729771911,-1.410269341,-0.339680589,-114.5274287,SL18-CC-5-FG1xSL18-JS-9-MG1,190.1022312,30.54893545,3.456921188,-43.60578844,-131.3068321
2020_138,-1.325206691,-1.885654644,-0.306020581,-53.78607436,SL18-OI-15-FG1xSA18-CB-2-MG3,-22.85758767,42.48549891,-14.69826175,-15.99539119,-58.05674402
2020_139,1.203304055,1.657007123,0.15720789,57.7865125,SL18-CC-12-FG3xSL18-OI-15-MG2,21.19200688,-21.18671753,22.27987145,0.837672556,175.2846364
2020_14,-1.537603432,-0.076318083,-0.247493773,-45.24217053,SL18-SF-17-FG2xSL18-NC-1-MG1,-102.7277307,48.37203335,-5.217145544,-112.1062752,1.755463182
2020_140,-1.753461154,-1.789102214,-0.255377729,-104.1791682,SL18-JS-5-FG1xSL18-LD-2-MG4,-240.912424,-35.1759768,-10.49408983,32.55028768,-45.69382038
2020_141,-2.526608241,0.141155231,-0.306839288,-23.19632783,SL18-OD-5-FG3xSA18-CB-1-MG12,84.94435963,63.2669588,0.230579243,104.0532595,-59.24745487
2020_143,0.189854495,-7.045509493,-0.259624273,57.7865125,SL18-CC-5-FG3xSL18-JS-5-MG2,280.3144729,-98.6975763,16.32041179,22.97666802,59.69924142
2020_144,-2.108690897,-0.30596655,-0.268074133,-83.93345809,SL18-SF-13-FG1xSA18-CB-7-MG1,-290.0634315,5.962807867,-2.095811956,86.30217305,-27.26087747
2020_145,-3.309512934,-1.86961591,-0.450268616,108.5152969,SL18-LL-9-FG6xSA18-CB-10-MG3,190.3935291,120.4739447,-19.02663574,105.9092425,-74.1338085
2020_146,1.223349261,1.637417412,0.144839063,57.90187056,SL18-OI-15-FG2xSA18-CB-2-MG3,-308.7790759,-62.50745535,-3.069693933,90.65574634,-43.68962822
2020_147,-0.566764908,3.198541963,-0.04555967,-12.95692634,SA18-CB-2-FG3xSL18-NC-9-MG1,-390.2955248,-66.13392704,18.53124825,-23.89501872,19.38111086
2020_149,-3.204827895,-0.594331066,-0.435647442,-73.69303797,SL18-NL-2-FG3xSA18-CB-4-MG1,146.9112367,17.06769483,-22.93445823,-6.946689687,-96.93966398
2020_151,0.093754367,0.842077579,0.008483892,-73.79713901,SA18-CB-5-FG4xSL18-CC-1-MG3,-264.3883004,45.81606189,25.67336618,2.059498851,-71.65167499
2020_152,2.496779095,0.951131672,0.306342046,47.67712149,SL18-CC-3-FG1xSL18-JS-6-MG3,-536.7069654,-65.82398539,34.68658783,108.0673915,35.99686444
