UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM236,236,SL18-CC-3-FG1xSL18-LD-2-MG3,SL18-CC-3-FG1,SL18-LD-2-MG3,Extra,7,Scott,Y,,SP_100,Green; not healthy,EmbrSP,Green,GP,,11/2/2020,19,,11/16/2020,11/30/2020,12/14/2020,GP,MD,GREEN
GOM237,237,SL18-CC-3-FG1xSL18-OI-7-MG1,SL18-CC-3-FG1,SL18-OI-7-MG1,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,29,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM238,238,SL18-CC-6-FG1xSL18-CC-11-MG6,SL18-CC-6-FG1,SL18-CC-11-MG6,Extra,7,Scott,Y,,SP_300,"not healthy, bacteria",EmbrSP,not healthy,GP,,11/2/2020,13,,11/16/2020,11/30/2020,12/14/2020,SP,LD,GREEN
GOM240,240,SL18-CC-6-FG1xSL18-OD-10-MG1,SL18-CC-6-FG1,SL18-OD-10-MG1,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,18,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM241,241,SL18-CC-6-FG1xSA18-CB-2-MG2,SL18-CC-6-FG1,SA18-CB-2-MG2,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,130,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM242,242,SL18-CC-6-FG1xSL18-OI-9-MG3,SL18-CC-6-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,bacteria,10/22/2020,112,,11/5/2020,11/19/2020,12/3/2020,SP,LD,GREEN
GOM243,243,SL18-CC-6-FG2xSL18-CC-11-MG6,SL18-CC-6-FG2,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM245,245,SL18-CC-6-FG2xSL18-OI-9-MG3,SL18-CC-6-FG2,SL18-OI-9-MG3,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,"green,bacteria",10/22/2020,57,,11/5/2020,11/19/2020,12/3/2020,GP,LD,GREEN
GOM246,246,SL18-CC-6-FG2xSL18-OI-14-MG1,SL18-CC-6-FG2,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,LSP,LD,
GOM247,247,SL18-CC-6-FG2xSL18-OI-18-MG1,SL18-CC-6-FG2,SL18-OI-18-MG1,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,99,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM248,248,SL18-CC-6-FG3xSL18-OI-14-MG1,SL18-CC-6-FG3,SL18-OI-14-MG1,Extra,8,Michael,Y,,Throw away,dead,GP,"Almost dead, green",GP,,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM249,249,SL18-CC-6-FG3xSL18-OI-18-MG1,SL18-CC-6-FG3,SL18-OI-18-MG1,Extra,8,Michael,Y,,Painted,,Painted,,SP_100,,10/22/2020,92,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM250,250,SL18-CC-6-FG3xSL18-OI-11-MG2,SL18-CC-6-FG3,SL18-OI-11-MG2,Extra,8,Michael,Y,,Painted,,Painted,,SP_100,,10/22/2020,79,,11/5/2020,11/19/2020,12/3/2020,SP,HD,
GOM251,251,SL18-CC-6-FG3xSL18-CC-2-MG6,SL18-CC-6-FG3,SL18-CC-2-MG6,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,174,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM252,252,SL18-CC-6-FG3xSL18-CC-7-MG1,SL18-CC-6-FG3,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,Painted,,SP_100,,10/22/2020,68,,11/5/2020,11/19/2020,12/3/2020,SP,MD,
GOM255,255,SL18-CC-9-FG1xSL18-CC-11-MG6,SL18-CC-9-FG1,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,2,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM256,256,SL18-CC-9-FG1xSL18-OI-9-MG3,SL18-CC-9-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,0,,11/12/2020,11/26/2020,12/10/2020,GP,LD,GREEN
GOM257,257,SL18-CC-9-FG1xSL18-OI-14-MG1,SL18-CC-9-FG1,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM258,258,SL18-CC-9-FG1xSL18-OI-18-MG1,SL18-CC-9-FG1,SL18-OI-18-MG1,Extra,7,Scott,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,54,,11/12/2020,11/26/2020,12/10/2020,SP,LD,
GOM259,259,SL18-CC-9-FG1xSL18-OI-11-MG2,SL18-CC-9-FG1,SL18-OI-11-MG2,Extra,7,Scott,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,144,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM264,264,SL18-JS-16-FG1xSL18-CC-2-MG6,SL18-JS-16-FG1,SL18-CC-2-MG6,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,121,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
GOM265,265,SL18-JS-16-FG1xSL18-CC-7-MG1,SL18-JS-16-FG1,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,41,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
GOM266,266,SL18-JS-16-FG1xSL18-CC-7-MG2,SL18-JS-16-FG1,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,127,,11/12/2020,11/26/2020,12/10/2020,SP,LD,
GOM267,267,SL18-JS-16-FG1xSL18-OI-18-MG3,SL18-JS-16-FG1,SL18-OI-18-MG3,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,87,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM268,268,SL18-JS-16-FG1xSL18-OI-18-MG4,SL18-JS-16-FG1,SL18-OI-18-MG4,Extra,8,Michael,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,81,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM270,270,SL18-JS-19-FG2xSL18-LD-1-MG3,SL18-JS-19-FG2,SL18-LD-1-MG3,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,22,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM271,271,SL18-JS-19-FG2xSL18-CC-11-MG6,SL18-JS-19-FG2,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,Almost dead,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM272,272,SL18-JS-19-FG2xSL18-OI-7-MG2,SL18-JS-19-FG2,SL18-OI-7-MG2,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM273,273,SL18-JS-19-FG2xSL18-LD-2-MG3,SL18-JS-19-FG2,SL18-LD-2-MG3,Extra,7,Scott,Y,,Throw away,,GP,"not healthy, green",GP,"not heatlhy, green",NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM274,274,SL18-JS-19-FG2xSL18-OI-7-MG1,SL18-JS-19-FG2,SL18-OI-7-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM275,275,SL18-JS-19-FG3xSL18-LD-1-MG3,SL18-JS-19-FG3,SL18-LD-1-MG3,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,108,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM276,276,SL18-JS-19-FG3xSL18-UCONN-S32-MG1,SL18-JS-19-FG3,SL18-UCONN-S32-MG1,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,59,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
