"","Name","Year","plotNo","Region","plotNo_Numeric","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","line","position","block","PhotoScore","Ash"
"292","SL19-UCONN-S119","2020","2020_119","GOM","119","SL18-CC-5-FG3","CC","SL18-OI-14-MG1","OI","SL18-CC-5-FG3xSL18-OI-14-MG1","CC X OI",3,3,1,3,43.1
"429","SL19-UCONN-S255","2020","2020_255","GOM","255","SL18-CC-6-FG3","CC","SL18-OI-14-MG2","OI","SL18-CC-6-FG3xSL18-OI-14-MG2","CC X OI",5,23,4,2,42.74
"573","SL19-UCONN-S58","2020","2020_58","GOM","58","SL18-CC-8-FG1","CC","SL18-NC-8-MG2","NC","SL18-CC-8-FG1xSL18-NC-8-MG2","CC X NC",2,1,1,2,35.47
"377","SL19-UCONN-S207","2020","2020_207","GOM","207","SL18-CC-8-FG1","CC","SL18-OI-7-MG1","OI","SL18-CC-8-FG1xSL18-OI-7-MG1","CC X OI",4,35,6,2,40.34
"19","SL19-UCONN-S172","2020","2020_172","GOM","172","SL18-CC-8-FG2","CC","SL18-JS-5-MG3","JS","SL18-CC-8-FG2xSL18-JS-5-MG3","CC X JS",3,60,10,3,40.7
"371","SL19-UCONN-S201","2020","2020_201","GOM","201","SL18-CC-8-FG2","CC","SL18-LD-9-MG1","LD","SL18-CC-8-FG2xSL18-LD-9-MG1","CC X LD",4,29,5,3,39.57
"385","SL19-UCONN-S215","2020","2020_215","GOM","215","SL18-CC-9-FG3","CC","SL18-JS-9-MG3","JS","SL18-CC-9-FG3xSL18-JS-9-MG3","CC X JS",4,43,8,2,42.32
"300","SL19-UCONN-S128","2020","2020_128","GOM","128","SL18-JS-16-FG1","JS","SL18-CC-4-MG11","CC","SL18-JS-16-FG1xSL18-CC-4-MG11","JS X CC",3,13,3,2,39.75
"439","SL19-UCONN-S264","2020","2020_264","GOM","264","SL18-JS-16-FG3","JS","SA18-CB-4-MG3","CB","SL18-JS-16-FG3xSA18-CB-4-MG3","JS X CB",5,33,6,2,42.7
"273","SL19-UCONN-S101","2020","2020_101","GOM","101","SL18-JS-16-FG3","JS","SL18-NC-10-MG3","NC","SL18-JS-16-FG3xSL18-NC-10-MG3","JS X NC",2,48,8,2,41.26
"331","SL19-UCONN-S163","2020","2020_163","GOM","163","SL18-JS-16-FG3","JS","SL18-OD-6-MG2","OD","SL18-JS-16-FG3xSL18-OD-6-MG2","JS X OD",3,50,9,2,37.05
"438","SL19-UCONN-S263","2020","2020_263","GOM","263","SL18-JS-5-FG1","JS","SA18-CB-1-MG12","CB","SL18-JS-5-FG1xSA18-CB-1-MG12","JS X CB",5,32,6,2,40.83
"30","SL19-UCONN-S140","2020","2020_140","GOM","140","SL18-JS-5-FG1","JS","SL18-LD-2-MG4","LD","SL18-JS-5-FG1xSL18-LD-2-MG4","JS X LD",3,26,5,2,39.71
"605","SL19-UCONN-S88","2020","2020_88","GOM","88","SL18-JS-5-FG2","JS","SL18-OI-5-MG3","OI","SL18-JS-5-FG2xSL18-OI-5-MG3","JS X OI",2,34,6,2,38.62
"558","SL19-UCONN-S43","2020","2020_43","GOM","43","SL18-JS-9-FG3","JS","SA18-CB-10-MG1","CB","SL18-JS-9-FG3xSA18-CB-10-MG1","JS X CB",1,47,8,2,37.06
"11","SL18-UCONN-S17","2019","2019_17","GOM","17","SL18-LD-1-FG1","LD","SL18-NL-2-MG2","NL","SL18-LD-1-FG1xSL18-NL-2-MG2","LD X NL",3,4,1,3,43.75
"178","SL18-UCONN-S19","2019","2019_19","GOM","19","SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","SL18-LD-1-FG2xSA18-CB-4-MG3","LD X CB",3,16,3,3,47.9
"195","SL18-UCONN-S24","2019","2019_24","GOM","24","SL18-LD-1-FG3","LD","SL18-OI-11-MG2","OI","SL18-LD-1-FG3xSL18-OI-11-MG2","LD X OI",2,16,3,3,45.74
"89","SL18-UCONN-S10","2019","2019_10","GOM","10","SL18-LD-10-FG1","LD","SL18-OI-4-MG1","OI","SL18-LD-10-FG1xSL18-OI-4-MG1","LD X OI",3,53,9,3,44.57
"99","SL18-UCONN-S11","2019","2019_11","GOM","11","SL18-LD-10-FG2","LD","SA18-CB-7-MG2","CB","SL18-LD-10-FG2xSA18-CB-7-MG2","LD X CB",2,36,6,3,51.32
