Trait,Both,2019,2020
AshFDwPM,0.480,0.093,0.543
AshOnly,0.110,0.409,0.234
wetWgtPlot,0.516,0.509,0.403
dryWgtPerM,0.456,0.452,0.352
percDryWgt,0.057,0.046,0.238
densityBladesPerM,0.217,0.276,0.269
