"","testing","Crosses","yBLUE","yPred","popChk","Year"
"49",171,"SL18-OI-6-FG3xSL18-CC-11-MG5",0.793086789487111,-0.0271259160451262,"ES",2020
"50",172,"SL18-CC-8-FG1xSL18-OI-7-MG1",-0.14326996551289,-0.00124245477828749,"ES",2020
"51",173,"SL18-JS-5-FG1xSL18-OI-14-MG1",-0.19882989451289,-0.000610877258847268,"ES",2020
"52",174,"SL18-NC-10-FG1xSL18-OI-11-MG4",-0.248528176394311,0.00296830523897252,"ES",2020
"53",175,"SL18-SF-17-FG2xSA18-CB-7-MG2",0.270569582605689,-0.00395485222523505,"ES",2020
"54",176,"SL18-CC-9-FG3xSL18-JS-9-MG3",0.0112005592546228,-0.0126389604121842,"ES",2020
"55",177,"SL18-CC-5-FG2xSL18-NC-10-MG2",0.183477920347684,0.00589793785040551,"ES",2020
"56",178,"SL18-OI-11-FG3xSL18-NC-2-MG1",0.848318325172327,-0.0128985710704498,"ES",2020
"57",179,"SL18-NC-9-FG2xSL18-JS-11-MG3",0.0345891981723272,0.0170380994602228,"ES",2020
"58",180,"SL18-LD-9-FG4xSL18-OI-6-MG2",0.350706588172327,-0.0163181749229886,"ES",2020
"59",181,"SL18-CC-3-FG2xSL18-OI-11-MG3",0.236301593047662,0.00627403431022865,"ES",2020
"60",182,"SL18-OI-9-FG4xSA18-CB-1-MG12",0.786473094047663,0.0126348546835119,"ES",2020
"61",183,"SL18-CC-3-FG2xSA18-CB-4-MG2",0.105245827440696,0.00928130852002498,"ES",2020
"62",184,"SL18-NC-5-FG2xSL18-JS-11-MG3",-0.0903258715104736,0.019554435160109,"ES",2020
"63",185,"SL18-CC-8-FG1xSL18-OI-18-MG3",0.0806246675058248,-0.00133765913023508,"ES",2020
"64",186,"SL18-CC-6-FG3xSL18-JS-9-MG2",-0.105662681494175,0.000840716861869481,"ES",2020
"65",187,"SL18-NL-7-FG4xSA18-CB-1-MG12",-0.0233780905593039,-0.00752753376599671,"ES",2020
"66",188,"SL18-CC-1-FG1xSL18-NC-15-MG3",0.539755977066131,0.00404877232957794,"ES",2020
"67",189,"SL18-CC-1-FG1xSL18-CC-4-MG11",0.143774240066132,-0.0301973700983094,"ES",2020
"68",190,"SL18-CC-5-FG2xSL18-NC-9-MG2",-0.0189189272151628,-0.000478231557563893,"ES",2020
"69",191,"SA18-CB-9-FG1xSL18-JS-19-MG1",0.632607996784839,0.00476046973935552,"ES",2020
"70",192,"SL18-NL-3-FG1xSL18-OD-3-MG1",-0.128956512215162,0.00356670638851461,"ES",2020
"71",193,"SL18-CC-5-FG3xSA18-CB-1-MG12",0.143213095440696,0.00362265910867251,"ES",2020
"72",194,"SL18-CC-8-FG2xSL18-NC-5-MG3",-0.196100125215163,0.00333462349089444,"ES",2020
"73",195,"SL18-CC-6-FG3xSL18-OI-14-MG2",0.0398134917057782,-0.000579710352088316,"ES",2020
"74",196,"SL18-NC-12-FG2xSA18-CB-3-MG1",0.258400501047665,0.00771034746340487,"ES",2020
"75",197,"SL18-CC-3-FG3xSL18-OD-6-MG3",0.442661217047664,0.000629497418723431,"ES",2020
"76",198,"SL18-CC-6-FG2xSL18-OI-14-MG1",0.135763131440696,0.000216246797660467,"ES",2020
"77",199,"SL18-JS-19-FG3xSA18-CB-3-MG2",-0.0885071939523353,-0.000369961487152956,"ES",2020
"78",200,"SL18-NC-12-FG2xSL18-NL-5-MG2",NA,0.000696979822461715,"ES",2020
"79",201,"SL18-JS-5-FG1xSA18-CB-1-MG12",-0.246608951326765,0.029612663771543,"ES",2020
"80",202,"SL18-JS-16-FG3xSA18-CB-4-MG3",-0.220389804326765,0.000638430785383858,"ES",2020
"81",203,"SL18-OI-4-FG2xSA18-CB-7-MG2",1.69954432367323,-0.00189072540091459,"ES",2020
"82",204,"SL18-NC-1-FG1xSL18-NC-12-MG3",-0.366464320208186,0.0168473835419176,"ES",2020
"83",205,"SL18-NC-15-FG3xSL18-CC-1-MG2",-0.365739017208187,-0.00343251654105075,"ES",2020
"84",206,"SL18-SF-17-FG2xSL18-NC-12-MG1",0.0412713587918137,-0.00232530951897994,"ES",2020
"85",207,"SL18-CC-5-FG2xSL18-NC-10-MG2",0.183477920347684,0.0109669274443983,"ES",2020
"86",208,"SL18-LL-9-FG2xSA18-CB-5-MG3",-0.142672500559253,0.00488619092314474,"ES",2020
"87",209,"SL18-SF-17-FG2xSA18-CB-7-MG3",1.55497742644075,0.002280216215382,"ES",2020
"88",210,"SA18-CB-4-FG6xSL18-JS-6-MG3",0.924804632358453,0.0027898777883287,"ES",2020
