,BLUE_DwPM_2Yrs,Rank_2Yrs,BLUE_DwPM_2019,Rank_2019,BLUE_DwPM_2020,Rank_2020,BV_DWpM,Rank_BV,,,,
SL18-LD-4-FG1xSA18-CB-2-MG1,-0.285582663,202,-0.2683,101,NA,NA,-0.025830108,144,,,,
SL18-NL-3-FG3xSA18-CB-2-MG2,-0.3126914,216,-0.2749,102,NA,NA,0.028572142,77,,,,
SL18-LD-3-FG1xSL18-NL-9-MG1,-0.369977851,234,-0.2786,103,NA,NA,-0.097526223,212,,,,
SL18-OI-9-FG1xSL18-LL-9-MG2,-0.305582663,214,-0.2883,104,NA,NA,-0.045092792,158,,,,
SL18-LD-9-FG2xSL18-SF-13-MG3,-0.295254665,209,-0.3075,105,NA,NA,-0.048295256,165,,,,
SL18-OI-6-FG1xSL18-SF-19-MG1,-0.37497506,238,-0.3136,106,NA,NA,-0.034926483,152,,,,
SL18-OI-2-FG2xSL18-LD-1-MG2,-0.305254665,213,-0.3175,107,NA,NA,-0.066888656,178,,,,
SL18-LD-1-FG3xSL18-NL-5-MG1,-0.353122575,225,-0.3186,108,NA,NA,-0.092182246,202,,,,
SL18-OI-18-FG3xSL18-OI-7-MG1,-0.307541148,215,-0.3323,109,NA,NA,0.016954463,92,,,,
SL18-LD-1-FG3xSL18-NL-9-MG2,-0.3726914,235,-0.3349,110,NA,NA,-0.085719009,196,,,,
SL18-NL-6-FG1xSL18-OI-11-MG2,-0.3726914,236,-0.3349,111,NA,NA,0.04396316,64,,,,
SL18-LD-1-FG1xSL18-OI-18-MG1,-0.398129124,241,-0.3439,112,NA,NA,-0.081707714,191,,,,
SL18-LD-1-FG3xSL18-OI-16-MG1,-0.398705239,242,-0.3469,113,NA,NA,-0.091484128,200,,,,
SL18-LD-2-FG2xSL18-LL-9-MG2,-0.294418572,208,-0.3538,114,NA,NA,-0.069360928,179,,,,
SL18-LD-1-FG1xSL18-NL-2-MG2,-0.408129124,243,-0.3539,115,NA,NA,-0.09086982,199,,,,
SL18-OI-6-FG1xSL18-LD-2-MG1,-0.337541148,223,-0.3623,116,NA,NA,-0.0177428,129,,,,
SL18-OI-18-FG2xSL18-LD-2-MG3,-0.369568825,232,-0.3663,117,NA,NA,-0.031951791,149,,,,
SL18-OI-2-FG3xSL18-NL-9-MG1,-0.369568825,233,-0.3663,118,NA,NA,-0.09534141,210,,,,
SL18-NL-10-FG1xSL18-LD-2-MG1,-0.379568825,239,-0.3763,119,NA,NA,-0.04650156,162,,,,
SL18-NL-2-FG3xSA18-CB-2-MG3,-0.397541148,240,-0.4223,120,NA,NA,-0.046849275,163,,,,
SL18-LD-10-FG1xSL18-OI-18-MG1,-0.374418572,237,-0.4338,121,NA,NA,-0.048430306,166,,,,
SL18-LD-10-FG2xSL18-NL-3-MG2,-0.424418572,245,-0.4838,122,NA,NA,-0.07009379,181,,,,
SL18-ME-1-FG1xSL18-ME-2-MG2,-0.36504792,229,NA,NA,NA,NA,NA,NA,SL18-OI-6-FG2xSA18-CB-4-MG2,2020_Top,1,1
SA18-CB-2-FG3xSL18-CC-2-MG5,1.221363957,9,NA,NA,NA,NA,0.147275055,25,,,,
SL18-SF-13-FG2xSL18-JS-11-MG3,0.620518725,26,NA,NA,NA,NA,0.085468627,40,,,,
