,BLUE_DwPM_2Yrs,Rank_2Yrs,BLUE_DwPM_2019,Rank_2019,BLUE_DwPM_2020,Rank_2020,BV_DWpM,Rank_BV,,,,
SL18-OI-6-FG3xSL18-JS-6-MG1,0.426040102,31,NA,NA,-0.86,48,0.18061816,16,,,,
SL18-NC-12-FG2xSA18-CB-3-MG1,0.258400501,44,NA,NA,-0.86,49,-0.02177676,136,,,,
SA18-CB-2-FG3xSL18-OI-2-MG2,0.231916065,48,NA,NA,-0.88,50,0.003215218,112,,,,
SL18-CC-1-FG2xSL18-OI-16-MG1,0.378749851,35,NA,NA,-0.88,51,-0.080464412,190,,,,
SL18-CC-3-FG2xSL18-OI-11-MG3,0.236301593,46,NA,NA,-0.88,52,0.04423619,63,,,,
SL18-SF-13-FG2xSL18-JS-9-MG2,0.40794373,34,NA,NA,-0.90,53,0.023627204,86,,,,
SL18-CC-12-FG3xSL18-OI-15-MG3,0.090399503,64,NA,NA,-0.91,54,0.080699722,42,,,,
SL18-JS-5-FG1xSL18-LD-2-MG4,0.076056025,70,NA,NA,-0.91,55,-0.120019209,222,,,,
SL18-CC-5-FG3xSL18-JS-5-MG2,0.071890048,72,NA,NA,-0.92,56,-0.011103263,125,,,,
SL18-SF-13-FG1xSA18-CB-7-MG1,0.063600502,73,NA,NA,-0.93,57,0.051340135,59,,,,
SL18-NC-12-FG2xSA18-CB-4-MG3,0.002978156,91,NA,NA,-0.93,58,-0.078361107,188,,,,
SL18-OI-4-FG2xSL18-JS-19-MG2,0.07768053,69,NA,NA,-0.93,59,0.0108921,100,,,,
SL18-LD-13-FG2xSA18-CB-7-MG1,0.205266907,49,NA,NA,-0.96,60,0.0075641,104,,,,
SL18-OD-5-FG3xSA18-CB-1-MG12,0.025570816,83,NA,NA,-0.96,61,-0.060450076,171,,,,
SL18-NC-12-FG2xSL18-OI-16-MG1,0.084840466,65,NA,NA,-0.96,62,-0.121110807,224,,,,
SA18-CB-9-FG1xSL18-JS-5-MG3,0.072652299,71,NA,NA,-0.99,63,0.077488363,43,,,,
SL18-SF-17-FG2xSL18-NC-12-MG1,0.041271359,78,NA,NA,-1.00,64,0.012274063,98,,,,
SL18-CC-5-FG3xSA18-CB-1-MG12,0.143213095,55,NA,NA,-1.02,65,0.044364019,62,,,,
SL18-CC-6-FG2xSL18-OI-11-MG4,0.258002904,45,NA,NA,-1.02,66,-0.020053832,134,,,,
SL18-CC-6-FG2xSL18-OI-14-MG1,0.135763131,57,NA,NA,-1.03,67,0.038101679,68,,,,
SL18-CC-5-FG2xSL18-NC-10-MG2,0.18347792,51,NA,NA,-1.03,68,-0.009331543,122,,,,
SL18-OI-15-FG1xSA18-CB-2-MG3,-0.031846901,103,-0.0651,44,-1.03,69,0.045515199,61,,,,
SL18-NL-5-FG1xSL18-OI-14-MG1,0.16925615,53,NA,NA,-1.03,70,0.005924476,108,,,,
SL18-NL-3-FG1xSL18-OI-7-MG3,0.234539668,47,NA,NA,-1.04,71,0.004867629,111,,,,
SL18-CC-3-FG1xSL18-OI-16-MG2,0.133503713,58,NA,NA,-1.05,72,0.014260526,95,,,,
SL18-CC-8-FG1xSL18-OI-18-MG3,0.080624668,68,NA,NA,-1.05,73,-0.156257716,237,,,,
SL18-CC-3-FG2xSA18-CB-4-MG2,0.105245827,61,NA,NA,-1.06,74,0.153507389,23,,,,
SL18-OD-5-FG1xSL18-CC-8-MG2,-0.131400628,137,NA,NA,-1.06,75,-0.121069695,223,,,,
SL18-CC-5-FG1xSL18-JS-9-MG1,-0.004900821,93,NA,NA,-1.06,76,-0.060667415,172,,,,
SL18-CC-5-FG3xSL18-JS-19-MG2,0.037278193,80,NA,NA,-1.07,77,-0.044840894,157,,,,
SL18-CC-1-FG3xSL18-OI-9-MG2,-0.144670431,145,NA,NA,-1.07,78,-0.06358606,175,,,,
SL18-CC-5-FG2xSL18-NC-9-MG2,-0.018918927,99,NA,NA,-1.08,79,0.055911594,53,,,,
SL18-JS-16-FG1xSL18-CC-4-MG11,-0.151354841,149,NA,NA,-1.08,80,-0.115499967,219,,,,
SL18-CC-1-FG1xSL18-CC-4-MG11,0.14377424,54,NA,NA,-1.08,81,-0.025885297,146,,,,
SL18-NC-11-FG1xSL18-NL-2-MG1,0.176517493,52,NA,NA,-1.08,82,-0.13141211,232,,,,
SL18-SF-17-FG2xSL18-NC-1-MG1,-0.014504453,97,NA,NA,-1.12,83,-0.008295845,121,,,,
SL18-NC-8-FG1xSL18-NL-7-MG2,0.004240999,90,NA,NA,-1.12,84,-0.108435753,216,,,,
SL18-JS-16-FG1xSL18-LD-2-MG2,-0.215034662,172,NA,NA,-1.12,85,-0.063589952,176,,,,
SL18-CC-8-FG1xSL18-OI-7-MG1,-0.143269966,143,NA,NA,-1.13,86,-0.094644328,208,,,,
SA18-CB-7-FG1xSL18-LD-1-MG1,0.196290533,50,NA,NA,-1.13,87,0.032901891,75,,,,
SL18-CC-11-FG3xSL18-CC-3-MG1,-0.039407465,107,NA,NA,-1.14,88,0.151846205,24,,,,
SL18-CC-6-FG3xSL18-OI-14-MG2,0.039813492,79,NA,NA,-1.15,89,-0.045412126,159,,,,
SL18-NL-2-FG3xSA18-CB-4-MG1,-0.278974948,199,-0.2351,92,-1.16,90,-0.094535798,207,,,,
SL18-CC-9-FG3xSL18-JS-9-MG3,0.011200559,88,NA,NA,-1.17,91,-0.12614081,226,,,,
SL18-NC-5-FG2xSL18-JS-11-MG3,-0.090325872,123,NA,NA,-1.17,92,-0.175934718,238,,,,
SL18-CC-1-FG2xSL18-OI-16-MG3,-0.060836453,112,NA,NA,-1.17,93,-0.116564498,221,,,,
SL18-LL-9-FG6xSA18-CB-10-MG3,-0.260413901,192,NA,NA,-1.17,94,0.006143216,107,,,,
SL18-JS-5-FG1xSL18-OI-14-MG1,-0.198829895,166,NA,NA,-1.18,95,-0.07923792,189,,,,
SL18-NL-7-FG4xSA18-CB-1-MG12,-0.023378091,101,NA,NA,-1.18,96,-0.073099892,185,,,,
SL18-NL-3-FG1xSL18-OD-3-MG1,-0.128956512,135,NA,NA,-1.19,97,-0.131135795,231,,,,
SL18-CC-1-FG2xSL18-NC-11-MG2,-0.071103979,116,NA,NA,-1.19,98,-0.091741079,201,,,,
SL18-JS-19-FG3xSA18-CB-3-MG2,-0.088507194,122,NA,NA,-1.21,99,-0.097187666,211,,,,
SL18-LD-2-FG2xSL18-SF-19-MG1,-0.017584899,98,0.1614,6,-1.21,100,-0.071731979,182,,,,
SL18-JS-19-FG2xSA18-CB-10-MG3,0.096386523,62,NA,NA,-1.21,101,0.006956563,106,,,,
SL18-JS-19-FG3xSL18-OI-17-MG1,-0.129762876,136,NA,NA,-1.21,102,-0.087940667,198,,,,
SL18-CC-12-FG3xSL18-NC-11-MG2,-0.097371254,125,NA,NA,-1.22,103,0.012358714,97,,,,
SL18-NC-10-FG1xSL18-OI-11-MG4,-0.248528176,187,NA,NA,-1.23,104,-0.128630986,229,,,,
