,AshFDwPM,AshOnly,dryWgtPerM,C.N.ratio,wetWgtPlot,percDryWgt,plotDensity,BL,BMx,BTh,SL
Both,0.300192261,0.135398162,0.45569241,0.045534074,0.51623591,0.056691042,0.216932554,0.059,0.079,0.53,0.42
2019,0.05101524,0.201400259,0.451860094,1.00003E-09,0.509064569,0.045551248,0.276220694,0.008,0.106,0.384,0.274
2020,0.361970621,0.182682176,0.352318103,5.25016E-05,0.403083745,0.238468805,0.269207715,0.175,0.079,0.766,0.555
