Scenario,Model,Matrix,Data,wetWgtPlot,dryWgtPerM,percDryWgt,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
c,2,Hmat,2019,0.224,0.16,0,0.008,0.106,0.384,0.274,0.464
c,2,Hmat,2020,0.368,0.276,0.182,0.175,0.079,0.766,0.555,0.82
c,2,Hmat,Both,0.368,0.378,0,0.059,0.079,0.53,0.42,0.656
