"","AshFDwPM","AshOnly","dryWgtPerM","C:N ratio","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.361970621366774,0.182682176025878,0.352318102628051,0.0000525016247209959,0.403083745312334,0.238468804719019,0.269207714777479
"Vus",0.0287259061518536,3.56285501139797,0.0268923603543567,0.000657042817345086,0.203261755373314,2.21969817995943,3867.90741987129
"ErrVars",0.0506338663163836,15.9401697987141,12.5140569462591,0.0494374113881628,0.301005057012817,7.08842991073504,10499.8361756954
