"","AshFDwPM","AshOnly","dryWgtPerM","C:N ratio","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.0510152399191477,0.201400258960406,0.45186009415076,0.00000000100002508413208,0.509064569340855,0.0455512484776385,0.276220694483203
"Vus",0.000213965235801801,3.56712162537137,0.00391820141420308,0.00000000222592202682716,0.0935348015991916,0.249010325287466,7630.14053187624
"ErrVars",0.00398017824251776,14.1444823407022,2.22586619067966,0.00475306977111164,0.0902037793833779,5.21758682867873,19993.2080595531
