Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-UCONN-S5-FG2,female,0.097816425,0.000107967,37,0.062920256,9.13E-05,50,0.149491389,0.131335191,0.130111704
SL18-UCONN-S5-FG3,female,0.097816425,0.000107967,36,0.062920256,9.13E-05,,0.149491389,0.131335191,0.130111704
SL18-BL-11-FG2,female,0.040127642,0.001727427,,0.06254594,0.002012533,,-0.065576022,0.20169032,-0.000773685
SL18-BL-11-FG3,female,0.040127642,0.001727427,,0.06254594,0.002012533,,-0.065576022,0.20169032,-0.000773685
SL18-CC-8-FG2,female,-0.002969447,0.002900269,,0.061784552,0.005601561,,-0.014463726,0.245898811,-0.220508792
SL18-FI-1-FG11,female,0.037308648,0.002965169,,0.059862536,0.002823312,,-0.075509058,0.192599677,-0.009498458
SL18-FW-14-FG1,female,0.022799865,0.001479905,,0.058069587,0.001649064,,-0.074084034,0.167867449,0.024794765
SL18-OD-6-FG2,female,-0.023618206,0.00113839,,0.057629885,0.000802264,,0.121550166,0.197205644,0.053411395
SL18-FW-14-FG12,female,0.013962335,0.002850742,,0.056840753,0.003444543,,-0.015510067,0.160797246,0.046951087
SL18-FI-1-FG2,female,0.034607595,0.000963535,,0.056316087,0.001094381,,-0.089778709,0.186415118,-0.003722007
SL18-FI-1-FG4,female,0.034607595,0.000963535,,0.056316087,0.001094381,,-0.089778709,0.186415118,-0.003722007
SL18-FI-1-FG6,female,0.034607595,0.000963535,,0.056316087,0.001094381,,-0.089778709,0.186415118,-0.003722007
SL18-BL-14-FG3,female,0.02685074,0.004501648,,0.055846205,0.004625859,,0.036999636,0.225067924,-0.014289276
SL18-UCONN-S157-FG1,female,0.065275185,0.000389885,,0.054009474,0.00055245,,-0.278738404,0.171380965,0.144621246
SL18-UCONN-S157-FG2,female,0.065275185,0.000389885,50,0.054009474,0.00055245,,-0.278738404,0.171380965,0.144621246
SL18-UCONN-S157-FG3,female,0.065275185,0.000389885,,0.054009474,0.00055245,,-0.278738404,0.171380965,0.144621246
SL18-FW-14-FG2,female,0.018828284,0.003377459,,0.053380095,0.002938944,,-0.019973275,0.14784388,-0.002513201
SL18-UCONN-S143-FG2,female,0.069928223,0.00011323,45,0.053045049,9.77E-07,,-0.026247228,0.152192848,0.060363239
SL18-UCONN-S143-FG1,female,0.069928223,0.00011323,44,0.053045049,9.77E-07,,-0.026247228,0.152192848,0.060363239
SL18-UCONN-S143-FG3,female,0.069928223,0.00011323,46,0.053045049,9.77E-07,,-0.026247228,0.152192848,0.060363239
SL18-OI-7-FG1,female,0.045442507,0.00091716,,0.048748119,2.18E-07,,-0.255291387,0.194422415,-0.044415135
SL18-FI-2-FG7,female,0.026220177,0.001074015,,0.048663393,0.001254824,,-0.054680099,0.164420769,-0.003817459
SL18-FI-2-FG1,female,0.026220177,0.001074015,,0.048663393,0.001254824,,-0.054680099,0.164420769,-0.003817459
SL18-FI-2-FG4,female,0.026220177,0.001074015,,0.048663393,0.001254824,,-0.054680099,0.164420769,-0.003817459
SL18-FI-2-FG5,female,0.026220177,0.001074015,,0.048663393,0.001254824,,-0.054680099,0.164420769,-0.003817459
SA18-CB-4-FG3,female,0.029052358,1.87E-07,,0.047647246,1.04E-07,,0.558354946,0.17844801,-0.258403197
SL18-OI-4-FG3,female,0.050650123,0.003745716,,0.04660365,0.002211539,,0.188364458,0.106736062,0.023749617
SL18-FI-1-FG13,female,0.043905285,0.002150979,,0.045681318,0.001135022,,0.008170787,0.177320502,-0.010657682
SL18-OI-15-FG1,female,0.025987152,0.000231528,,0.045436744,0.000439701,,-0.598802937,0.277061849,-0.025536939
SL18-BL-15-FG1,female,0.016407702,0.00602007,,0.045043763,0.00601219,,0.077722302,0.187957859,-0.003481985
SL18-FI-1-FG12,female,0.029720007,0.003616081,,0.045003759,0.003574315,,-0.112771958,0.128558886,-0.015158654
SL18-UCONN-S32-FG1,female,0.048959517,4.58E-07,,0.043612013,1.71E-07,,0.305826218,-0.00685599,0.222934629
SL18-UCONN-S32-FG3,female,0.048959517,4.58E-07,,0.043612013,1.71E-07,,0.305826218,-0.00685599,0.222934629
SL18-UCONN-S32-FG2,female,0.048959517,4.58E-07,,0.043612013,1.71E-07,,0.305826218,-0.00685599,0.222934629
SL18-PI-1-FG10,female,0.021738052,0.004138437,,0.041395452,0.004362993,,-0.047271371,0.164278389,-0.072144385
SL18-FI-2-FG11,female,0.022396406,0.001904074,,0.039588127,0.002037808,,-0.020230481,0.155711014,-0.059416262
SA18-CB-1-FG2,female,0.002230052,6.41E-07,,0.039513971,2.22E-05,,-0.420598076,0.115081366,-0.011519682
SL18-FW-21-FG1,female,0.015320018,0.000792911,,0.03563077,0.00085594,,0.049026401,0.126269942,-0.007190202
SL18-FW-21-FG2,female,0.015320018,0.000792911,,0.03563077,0.00085594,,0.049026401,0.126269942,-0.007190202
SL18-FW-21-FG4,female,0.015320018,0.000792911,,0.03563077,0.00085594,,0.049026401,0.126269942,-0.007190202
