"","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.295359317493444,0.120496448136221,-0.316067701819471,-0.181660647595814,0.0960455357533535,-0.0929601691862477,0.31892595579883
"StdErr",0.000477481363112773,0.000949846641747512,0.000553408158757886,0.001105682150192,0.000544154074531765,0.00110122013333114,0.000435033714978989
