"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.381857880268217,-0.148929337581716,0.372752822084914,0.241872598285643,0.0750287992445518,0.244395062330637,0.341865621125444,0.294146866185079,0.156465188318186,-0.0496312670356135,0.390441530841085
"StdErr",0.00701498092482807,0.00868564489249675,0.00571686729566295,0.0100282944351706,0.0096466392208983,0.0087754082607323,0.00803715315369975,0.00912116324592752,0.00742194274899348,0.00742417560326967,0.00769689459838689
