"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.241151454801338,NA,NA,NA,NA,NA,NA,NA,NA
"StdErr",0.000754115986557569,NA,NA,NA,NA,NA,NA,NA,NA
