"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.294638002421637,NA,NA,NA,NA,NA,NA,NA,NA
"StdErr",0.000450543006935776,NA,NA,NA,NA,NA,NA,NA,NA
