"","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.197747787555113,0.0173971939809785,-0.254486236263905,-0.145458353777632,0.0739909426248793,-0.154791795524483,0.512848587332577
"StdErr",0.00050947384436557,0.00160350937969707,0.00178520926386891,0.00181260034062282,0.000986909115094646,0.00227978466401683,0.0019114076596581
