,wetWgtPerM,percDryWgt,dryWgtPerM,Ash,AshFDwPM,densityBlades,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
corMean,0.129145377,0.129093036,0.109416373,0.053258464,0.145311908,0.077466518,0.129598367,-0.250206484,0.26612455,-0.022303666,0.376492036
StdErr,0.007766427,0.008888665,0.00789085,0.007516254,0.006831762,0.008893414,0.004992689,0.006992704,0.00633874,0.007438138,0.008226953
