"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.193776965560342,-0.0354047145057401,0.148640478110187,-0.0428184285195332,-0.0200433297450381,-0.0342117296386602,0.0773063172010051,0.0747926931331445,0.0447504928651784,0.0704324800656173,0.360484043101821
"StdErr",0.000796400366258937,0.00117831347613882,0.00111663737171555,0.00220283473668579,0.0029074013912154,0.00139109875008634,0.000805111063574608,0.000777266932320823,0.00182765690606451,0.00179500427244083,0.00083748223413189
