"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.286218469900732,NA,NA,NA,NA,NA,NA,NA,NA
"StdErr",0.00045463132328603,NA,NA,NA,NA,NA,NA,NA,NA
