"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SA18-CB-7-FG1","SA18-CB-7-FG1",0.200953037838811,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.000171463475957699,NA,"Ne60",0.000171463475957699,0.200953037838811,9.14889380627583e-07,0.149647173975756
"SL18-LD-9-FG2","SL18-LD-9-FG2",-0.0125085647051439,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00377902787588891,NA,"Ne60",0.00377902787588891,-0.0125085647051439,0.00139561671892648,-0.0512694888754136
"SL18-LD-9-FG3","SL18-LD-9-FG3",-0.017601850987183,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00317021926171653,NA,"Ne60",0.00317021926171653,-0.017601850987183,0.00207175523624559,-0.034112291996346
"SL18-LL-9-FG3","SL18-LL-9-FG3",0.00945204530057039,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,5.96181224818177e-05,NA,"Ne60",5.96181224818177e-05,0.00945204530057039,2.12819559709918e-08,-0.125799852535618
"SL18-NL-10-FG1","SL18-NL-10-FG1",-0.0501765056401071,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00475374751116924,NA,"Ne60",0.00475374751116924,-0.0501765056401071,0.00594521154715569,-0.0524856570900479
"SL18-NL-2-FG1","SL18-NL-2-FG1",-0.0677069565932572,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00421834084268557,NA,"Ne60",0.00421834084268557,-0.0677069565932572,0.00840279519093442,0.00584271977997859
"SL18-NL-2-FG3","SL18-NL-2-FG3",-0.206209975079711,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,9.73117751050603e-08,NA,"Ne60",9.73117751050603e-08,-0.206209975079711,4.33624751603357e-08,-0.139292428574959
"SL18-NL-3-FG1","SL18-NL-3-FG1",-0.0873171634671531,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,6.87585495253772e-07,NA,"Ne60",6.87585495253772e-07,-0.0873171634671531,1.98391126150291e-08,-0.177269316264618
"SL18-NL-3-FG3","SL18-NL-3-FG3",-0.0133072402407714,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00748624679557293,NA,"Ne60",0.00748624679557293,-0.0133072402407714,0.00870152502605081,0.0254985894254376
"SL18-OI-11-FG3","SL18-OI-11-FG3",0.195451528147228,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0159370579532728,NA,"Ne60",0.0159370579532728,0.195451528147228,0.01821812244751,0.239969464186983
