"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SL18-CC-5-FG3","SL18-CC-5-FG3","SL18-CC-5-FG3",0.127931968922879,0.6774360097804,0.110644511290232,0.584806456707669,-0.396545663023759,NA,23,"female",2,0.5,TRUE,"141","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,8.61501455657275e-11,2.78920271416372e-11
"SL18-UCONN-S11-FG2","SL18-UCONN-S11-FG2","SL18-UCONN-S11-FG2",0.126063726812325,0.392275019412384,0.103667032039682,0.185204593586229,0.12220522185973,NA,552,"female",4,1.25,TRUE,"865","missing",1,"missing.Age1.female",0.0125,0,0,0.0243329696392176,0.99999990831671,0.0243323972358904,0.0243326763615724
"SL18-UCONN-S11-FG1","SL18-UCONN-S11-FG1","SL18-UCONN-S11-FG1",0.126063726812324,0.392275019412382,0.103667032039681,0.185204593586227,0.122205221859728,NA,552,"female",4,1.25,TRUE,"864","missing",1,"missing.Age1.female",0.0125,0,0,0.0243322922375948,0.99999990831671,0.0243327492577698,0.0243324598733099
"SL18-UCONN-S11-FG3","SL18-UCONN-S11-FG3","SL18-UCONN-S11-FG3",0.126063726812324,0.392275019412383,0.103667032039681,0.185204593586227,0.122205221859731,NA,552,"female",4,1.25,TRUE,"866","missing",1,"missing.Age1.female",0.0125,0,0,0.0243319947369656,0.99999990831671,0.0243324113477977,0.0243307172635474
"SA18-CB-4-FG6","SA18-CB-4-FG6","SA18-CB-4-FG6",0.124940791338116,0.547598135912465,0.127031641626209,0.386472894556864,-0.248559656742245,NA,65,"female",2,0.5,TRUE,"167","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.6215352613712e-10
"SL18-SF-13-FG2","SL18-SF-13-FG2","SL18-SF-13-FG2",0.118368458010984,0.118311562047967,0.279082034605287,0.979987227794673,-0.0768231397960138,NA,59,"female",2,0.5,TRUE,"169","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,6.54867986906705e-10,6.1471157173425e-11
"SL18-JS-6-FG3","SL18-JS-6-FG3","SL18-JS-6-FG3",0.109614303894825,0.181747079104281,0.100805804866209,0.164267300865623,0.525464013775053,NA,33,"female",2,0.5,TRUE,"358","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.69138270406991e-11
"SL18-OI-17-FG2","SL18-OI-17-FG2","SL18-OI-17-FG2",0.108830687808919,-0.081238957374318,-0.0550379193238833,-0.369258375668308,-0.0761108592909869,NA,7,"female",2,0.5,TRUE,"265","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,7.85598829597804e-11
"SL18-OI-17-FG1","SL18-OI-17-FG1","SL18-OI-17-FG1",0.103444388326799,-0.0542094512989916,-0.0111658666333703,-0.0239310931374447,-0.0758172642220892,NA,7,"female",2,0.5,TRUE,"113","missing",3,"missing.Age3.female",0,0,0,5.14486108935434e-10,0.99999990831671,0,2.72170565368831e-11
"SL18-SF-17-FG1","SL18-SF-17-FG1","SL18-SF-17-FG1",0.100819244382546,-0.548597735379192,0.0145329450995544,0.017948460600222,0.014640670711175,NA,82,"female",2,0.5,TRUE,"270","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,3.96884063048111e-10,2.43991924801525e-11
